Regularisierer	Zielgroesse	Top1	
8.131925	461872.000000	38.220000	
7.962021	461872.000000	44.270000	
7.791669	461872.000000	50.420000	
7.621505	461872.000000	54.700000	
7.451475	461872.000000	55.240000	
7.281592	461872.000000	60.510000	
7.111924	461872.000000	60.450000	
6.942401	461872.000000	63.120000	
6.773085	461872.000000	64.910000	
6.603932	461872.000000	65.120000	
6.435103	461872.000000	66.860000	
6.266382	461872.000000	67.120000	
6.097986	461872.000000	68.760000	
5.929918	461872.000000	69.770000	
5.762030	461872.000000	70.080000	
5.594488	461872.000000	71.250000	
5.427652	461872.000000	69.830000	
5.261254	461872.000000	71.950000	
5.095354	461872.000000	73.070000	
4.930436	461872.000000	74.840000	
4.766046	461872.000000	73.620000	
4.603004	461872.000000	74.630000	
4.441354	461872.000000	76.250000	
4.281162	461872.000000	76.580000	
4.123883	461872.000000	73.220000	
3.969726	461872.000000	74.300000	
3.821054	461872.000000	74.900000	
3.683444	461872.000000	76.170000	
3.568620	461872.000000	74.600000	
3.467726	461872.000000	76.220000	
3.372763	461872.000000	75.810000	
3.281478	461872.000000	74.840000	
3.191128	461872.000000	73.850000	
3.102513	461872.000000	77.400000	
3.016560	461872.000000	75.270000	
2.932863	461872.000000	77.000000	
2.851793	461872.000000	77.920000	
2.773618	461872.000000	65.430000	
2.698838	461872.000000	70.620000	
2.626134	461872.000000	78.090000	
2.554312	461872.000000	75.220000	
2.483647	461872.000000	77.660000	
2.413043	461872.000000	75.260000	
2.342988	461872.000000	79.380000	
2.274204	461872.000000	75.300000	
2.205305	461872.000000	77.140000	
2.137020	461872.000000	60.090000	
2.069663	461872.000000	63.660000	
2.003099	461872.000000	79.350000	
1.937716	461872.000000	56.720000	
1.872956	461872.000000	77.240000	
1.811284	461872.000000	74.940000	
1.751522	461872.000000	65.630000	
1.694221	461872.000000	71.420000	
1.643557	461872.000000	78.430000	
1.597372	461872.000000	68.050000	
1.559056	461872.000000	72.890000	
1.524641	461872.000000	68.430000	
1.491427	461872.000000	49.160000	
1.459747	461872.000000	72.550000	
1.430527	461872.000000	67.220000	
1.399561	461872.000000	75.720000	
1.369292	461872.000000	72.450000	
1.339930	461872.000000	75.890000	
1.311722	461872.000000	74.480000	
1.283119	461872.000000	78.950000	
1.256381	461872.000000	81.960000	
1.228321	461872.000000	78.430000	
1.200862	461872.000000	68.020000	
1.175259	461872.000000	81.350000	
1.148804	461872.000000	67.640000	
1.122788	461872.000000	71.910000	
1.097874	461872.000000	74.990000	
1.074105	461872.000000	61.920000	
1.051926	461872.000000	66.380000	
1.029335	461872.000000	72.260000	
1.004976	461872.000000	78.220000	
0.983892	461872.000000	71.380000	
0.961751	461872.000000	62.620000	
0.938643	461872.000000	70.660000	
0.917232	461872.000000	77.480000	
0.895385	461872.000000	78.800000	
0.872722	461872.000000	76.920000	
0.851107	461872.000000	61.170000	
0.828935	461872.000000	61.730000	
0.807856	461872.000000	72.800000	
0.785714	461872.000000	58.520000	
0.762366	461872.000000	78.000000	
0.741561	461872.000000	77.760000	
0.720653	461872.000000	78.750000	
0.699038	461872.000000	74.650000	
0.678031	461872.000000	80.160000	
0.656787	461872.000000	76.220000	
0.637410	461872.000000	78.780000	
0.616121	461872.000000	76.230000	
0.595480	461872.000000	80.820000	
0.577128	461872.000000	77.990000	
0.557519	461872.000000	71.740000	
0.537803	461872.000000	81.320000	
0.519921	461872.000000	78.600000	
0.501208	461872.000000	58.140000	
0.482819	461872.000000	81.420000	
0.465587	461872.000000	75.630000	
0.448273	461872.000000	57.890000	
0.433446	461872.000000	75.160000	
0.420279	461872.000000	81.790000	
0.406216	461872.000000	75.710000	
0.393773	461872.000000	70.340000	
0.383839	461872.000000	75.870000	
0.376374	461872.000000	46.050000	
0.368015	461872.000000	68.550000	
0.360726	461872.000000	73.220000	
0.354943	461872.000000	74.340000	
0.348777	461872.000000	72.310000	
