Regularisierer	Zielgroesse	Top1	
4.586349	461872.000000	37.720000	
4.539639	461872.000000	44.770000	
4.492764	461872.000000	49.760000	
4.445885	461872.000000	53.610000	
4.399045	461872.000000	55.900000	
4.352215	461872.000000	58.800000	
4.305475	461872.000000	61.290000	
4.258809	461872.000000	61.790000	
4.212162	461872.000000	64.060000	
4.165572	461872.000000	64.150000	
4.119020	461872.000000	63.940000	
4.072557	461872.000000	66.200000	
4.026150	461872.000000	66.060000	
3.979820	461872.000000	70.380000	
3.933595	461872.000000	68.760000	
3.887421	461872.000000	68.510000	
3.841268	461872.000000	72.230000	
3.795164	461872.000000	73.200000	
3.749136	461872.000000	73.530000	
3.703166	461872.000000	70.360000	
3.657221	461872.000000	69.920000	
3.611345	461872.000000	72.200000	
3.565522	461872.000000	74.800000	
3.519763	461872.000000	75.050000	
3.474029	461872.000000	74.840000	
3.428380	461872.000000	76.040000	
3.382741	461872.000000	77.550000	
3.337236	461872.000000	76.850000	
3.291784	461872.000000	77.940000	
3.246373	461872.000000	75.630000	
3.201073	461872.000000	78.320000	
3.155787	461872.000000	78.310000	
3.110541	461872.000000	77.210000	
3.065413	461872.000000	78.940000	
3.020389	461872.000000	78.090000	
2.975345	461872.000000	77.130000	
2.930386	461872.000000	77.550000	
2.885544	461872.000000	80.010000	
2.840797	461872.000000	80.440000	
2.796085	461872.000000	76.360000	
2.751514	461872.000000	80.730000	
2.707022	461872.000000	78.060000	
2.662574	461872.000000	81.420000	
2.618195	461872.000000	79.430000	
2.573901	461872.000000	81.200000	
2.529710	461872.000000	81.040000	
2.485687	461872.000000	82.160000	
2.441694	461872.000000	79.650000	
2.397769	461872.000000	81.640000	
2.353940	461872.000000	79.730000	
2.310294	461872.000000	76.960000	
2.266695	461872.000000	78.530000	
2.223154	461872.000000	79.960000	
2.179786	461872.000000	82.160000	
2.136497	461872.000000	81.080000	
2.093323	461872.000000	77.840000	
2.050308	461872.000000	82.010000	
2.007390	461872.000000	80.520000	
1.964653	461872.000000	81.570000	
1.922044	461872.000000	83.000000	
1.879555	461872.000000	82.780000	
1.837209	461872.000000	80.800000	
1.794999	461872.000000	83.640000	
1.753019	461872.000000	81.940000	
1.711211	461872.000000	81.120000	
1.669493	461872.000000	82.330000	
1.627978	461872.000000	82.930000	
1.586678	461872.000000	82.780000	
1.545597	461872.000000	81.530000	
1.504692	461872.000000	83.180000	
1.464020	461872.000000	81.660000	
1.423609	461872.000000	75.740000	
1.383508	461872.000000	81.970000	
1.343707	461872.000000	80.970000	
1.304094	461872.000000	82.260000	
1.264790	461872.000000	81.280000	
1.225876	461872.000000	82.300000	
1.187456	461872.000000	82.590000	
1.149718	461872.000000	79.400000	
1.112896	461872.000000	81.670000	
1.077087	461872.000000	81.610000	
1.043130	461872.000000	82.390000	
1.011675	461872.000000	80.360000	
0.983348	461872.000000	83.310000	
0.958544	461872.000000	79.210000	
0.937173	461872.000000	79.240000	
0.917210	461872.000000	76.120000	
0.898615	461872.000000	80.740000	
0.880567	461872.000000	80.920000	
0.863048	461872.000000	78.500000	
0.846245	461872.000000	82.640000	
0.830140	461872.000000	77.410000	
0.814439	461872.000000	73.690000	
0.799193	461872.000000	80.530000	
0.784382	461872.000000	80.740000	
0.769836	461872.000000	76.630000	
0.756082	461872.000000	83.620000	
0.742692	461872.000000	77.140000	
0.729633	461872.000000	82.230000	
0.716315	461872.000000	82.290000	
0.704027	461872.000000	78.430000	
0.691583	461872.000000	83.180000	
0.679763	461872.000000	78.710000	
0.667926	461872.000000	80.090000	
0.656297	461872.000000	81.060000	
0.644934	461872.000000	80.450000	
0.634266	461872.000000	76.480000	
0.624022	461872.000000	82.690000	
0.613889	461872.000000	73.900000	
0.604593	461872.000000	73.870000	
0.595177	461872.000000	82.920000	
0.586112	461872.000000	81.710000	
0.577261	461872.000000	80.460000	
0.568803	461872.000000	84.070000	
0.561004	461872.000000	77.320000	
0.553102	461872.000000	80.960000	
0.545612	461872.000000	80.150000	
0.538080	461872.000000	80.820000	
0.530155	461872.000000	80.080000	
0.522885	461872.000000	79.470000	
0.515446	461872.000000	81.160000	
0.508047	461872.000000	83.250000	
0.500673	461872.000000	77.170000	
0.493566	461872.000000	83.750000	
0.486782	461872.000000	82.650000	
0.480193	461872.000000	79.580000	
0.473704	461872.000000	79.210000	
0.467373	461872.000000	76.940000	
0.460018	461872.000000	83.340000	
0.453472	461872.000000	84.710000	
0.447057	461872.000000	79.120000	
0.440898	461872.000000	82.190000	
0.434577	461872.000000	76.750000	
0.428127	461872.000000	81.620000	
0.422342	461872.000000	82.540000	
0.416469	461872.000000	76.140000	
0.410898	461872.000000	80.470000	
0.405151	461872.000000	77.830000	
0.399139	461872.000000	79.250000	
0.393936	461872.000000	79.870000	
0.388970	461872.000000	78.220000	
0.383496	461872.000000	81.220000	
0.378498	461872.000000	81.140000	
0.373255	461872.000000	79.140000	
0.367984	461872.000000	81.160000	
0.362836	461872.000000	82.410000	
0.358088	461872.000000	64.530000	
0.353127	461872.000000	79.830000	
0.348874	461872.000000	82.040000	
0.344789	461872.000000	81.810000	
0.340376	461872.000000	80.490000	
0.336890	461872.000000	81.050000	
0.332486	461872.000000	72.710000	
0.328355	461872.000000	81.640000	
0.324356	461872.000000	79.140000	
0.320994	461872.000000	75.820000	
0.317785	461872.000000	74.700000	
0.314518	461872.000000	80.710000	
0.312248	461872.000000	82.090000	
0.308791	461872.000000	81.540000	
0.306087	461872.000000	80.460000	
0.303340	461872.000000	79.430000	
0.301028	461872.000000	77.510000	
0.298454	461872.000000	74.040000	
0.296352	461872.000000	79.290000	
0.293629	461872.000000	81.640000	
0.291442	461872.000000	80.180000	
0.289382	461872.000000	69.510000	
0.287487	461872.000000	78.970000	
0.285429	461872.000000	75.760000	
0.283078	461872.000000	70.610000	
0.281613	461872.000000	78.320000	
0.279397	461872.000000	84.580000	
0.277800	461872.000000	74.620000	
0.275644	461872.000000	77.310000	
0.273739	461872.000000	77.320000	
0.271549	461872.000000	83.340000	
0.270100	461872.000000	74.330000	
0.268727	461872.000000	76.450000	
0.266970	461872.000000	82.120000	
nan	336016.000000	36.520000	
