Regularisierer	Zielgroesse	Top1	
116.067329	461872.000000	26.430000	
71.573433	461872.000000	18.480000	
43.776226	461872.000000	27.830000	
26.116913	461872.000000	17.470000	
17.265490	461872.000000	19.440000	
10.983914	461872.000000	11.560000	
5.086442	461872.000000	12.220000	
2.095912	461872.000000	24.540000	
1.541384	461872.000000	14.520000	
1.165591	461872.000000	10.320000	
1.023511	461872.000000	10.960000	
0.904049	461872.000000	19.240000	
0.805876	461872.000000	16.610000	
0.724990	461872.000000	14.550000	
0.671835	461872.000000	13.420000	
0.636701	461872.000000	19.410000	
0.607190	461872.000000	16.750000	
0.590357	461872.000000	13.460000	
0.574875	461872.000000	10.010000	
0.562793	461872.000000	24.220000	
0.554614	461872.000000	13.020000	
0.545992	461872.000000	12.250000	
0.536928	461872.000000	13.390000	
0.529771	461872.000000	28.380000	
0.526064	461872.000000	15.910000	
0.521358	461872.000000	13.130000	
0.515324	461872.000000	14.470000	
0.509816	461872.000000	23.830000	
0.505450	461872.000000	25.540000	
0.503756	461872.000000	10.870000	
0.497559	461872.000000	14.250000	
0.495795	461872.000000	21.480000	
0.492516	461872.000000	15.000000	
0.490145	461872.000000	24.460000	
0.485491	461872.000000	21.100000	
0.483339	461872.000000	21.680000	
0.485047	461872.000000	27.020000	
0.479835	461872.000000	35.590000	
0.476356	461872.000000	19.980000	
0.473125	461872.000000	19.740000	
0.470061	461872.000000	18.720000	
0.467154	461872.000000	11.020000	
0.465928	461872.000000	15.250000	
0.466374	461872.000000	14.620000	
0.464453	461872.000000	18.550000	
0.461758	461872.000000	17.640000	
0.458303	461872.000000	12.400000	
0.455066	461872.000000	10.850000	
0.456093	461872.000000	19.000000	
0.449469	461872.000000	13.040000	
0.449932	461872.000000	18.020000	
0.446171	461872.000000	23.860000	
0.446387	461872.000000	22.520000	
0.442193	461872.000000	17.240000	
0.441954	461872.000000	17.080000	
0.438917	461872.000000	13.190000	
0.436544	461872.000000	19.540000	
0.438587	461872.000000	13.390000	
0.436094	461872.000000	10.000000	
0.436869	461872.000000	13.450000	
0.430189	461872.000000	16.520000	
0.424911	461872.000000	37.230000	
0.424280	461872.000000	15.850000	
0.424799	461872.000000	25.290000	
0.422500	461872.000000	19.690000	
0.423597	461872.000000	12.730000	
0.424274	461872.000000	14.370000	
0.426461	461872.000000	15.200000	
0.423863	461872.000000	25.060000	
0.425182	461872.000000	17.080000	
0.426017	461872.000000	26.490000	
0.420463	461872.000000	19.100000	
0.422270	461872.000000	27.880000	
0.424305	461872.000000	16.640000	
0.416942	461872.000000	14.990000	
0.419028	461872.000000	13.310000	
0.417250	461872.000000	20.140000	
0.414557	461872.000000	39.410000	
0.415604	461872.000000	26.150000	
0.413620	461872.000000	25.010000	
0.413086	461872.000000	16.840000	
0.413298	461872.000000	28.060000	
0.413601	461872.000000	19.290000	
0.415529	461872.000000	17.560000	
0.407945	461872.000000	30.550000	
0.409593	461872.000000	10.000000	
0.414240	461872.000000	22.620000	
0.408822	461872.000000	27.110000	
0.406275	461872.000000	21.480000	
0.407744	461872.000000	40.120000	
0.403743	461872.000000	29.430000	
0.403917	461872.000000	24.410000	
0.406713	461872.000000	11.840000	
0.405331	461872.000000	26.940000	
0.399377	461872.000000	14.450000	
0.398506	461872.000000	18.680000	
0.401825	461872.000000	28.440000	
0.400728	461872.000000	17.510000	
0.402574	461872.000000	18.380000	
0.397416	461872.000000	14.730000	
0.398233	461872.000000	13.240000	
0.394304	461872.000000	14.870000	
0.392873	461872.000000	20.160000	
0.395131	461872.000000	16.250000	
0.395779	461872.000000	16.450000	
0.395534	461872.000000	19.030000	
0.390462	461872.000000	23.490000	
0.390058	461872.000000	26.210000	
0.389503	461872.000000	13.230000	
0.393324	461872.000000	12.620000	
0.389481	461872.000000	15.900000	
0.389246	461872.000000	14.230000	
0.386392	461872.000000	18.060000	
0.390035	461872.000000	16.890000	
0.386785	461872.000000	15.040000	
0.387902	461872.000000	15.350000	
0.388728	461872.000000	15.940000	
0.388343	461872.000000	19.200000	
0.388248	461872.000000	22.030000	
0.394195	461872.000000	26.620000	
0.389788	461872.000000	17.850000	
0.389128	461872.000000	10.120000	
0.392239	461872.000000	18.490000	
0.382429	461872.000000	16.480000	
0.383576	461872.000000	14.370000	
0.380005	461872.000000	15.060000	
0.385621	461872.000000	15.820000	
0.387117	461872.000000	32.000000	
0.382457	461872.000000	16.040000	
0.387162	461872.000000	29.250000	
0.384748	461872.000000	10.780000	
