Regularisierer	Zielgroesse	Top1	
158.570297	461872.000000	22.470000	
75.141830	461872.000000	25.320000	
36.016342	461872.000000	10.000000	
18.889486	461872.000000	17.000000	
6.212645	461872.000000	17.780000	
2.267705	461872.000000	11.370000	
1.330101	461872.000000	14.900000	
0.965639	461872.000000	11.770000	
0.663468	461872.000000	10.190000	
0.423748	461872.000000	10.010000	
0.308468	461872.000000	10.000000	
0.255505	461872.000000	10.000000	
0.239623	461872.000000	10.000000	
0.226280	461872.000000	10.000000	
0.233168	461872.000000	10.000000	
0.231557	461872.000000	10.000000	
0.338578	461872.000000	10.000000	
0.227705	461872.000000	10.000000	
0.236542	461872.000000	10.000000	
0.326143	461872.000000	10.000000	
0.208866	461872.000000	10.000000	
0.159355	461872.000000	10.000000	
0.247796	461872.000000	10.000000	
0.231375	461872.000000	10.000000	
0.167583	461872.000000	10.000000	
0.281258	461872.000000	10.000000	
0.172148	461872.000000	10.000000	
0.267755	461872.000000	10.000000	
0.181757	461872.000000	10.000000	
0.412143	461872.000000	10.000000	
0.184461	461872.000000	10.000000	
0.164760	461872.000000	10.000000	
0.188430	461872.000000	10.000000	
0.173892	461872.000000	10.000000	
0.753011	461872.000000	10.000000	
0.175505	461872.000000	10.000000	
0.193593	461872.000000	9.990000	
0.175165	461872.000000	15.710000	
0.163937	461872.000000	10.000000	
0.165786	461872.000000	8.410000	
0.162317	461872.000000	10.000000	
0.166010	461872.000000	16.320000	
0.170162	461872.000000	10.000000	
0.167874	461872.000000	10.000000	
0.161366	461872.000000	10.000000	
0.154433	461872.000000	9.730000	
0.158329	461872.000000	10.000000	
0.146345	461872.000000	10.000000	
0.194957	461872.000000	10.000000	
0.268326	461872.000000	10.000000	
0.186524	461872.000000	10.000000	
0.167220	461872.000000	10.000000	
0.169837	461872.000000	10.000000	
0.164327	461872.000000	10.000000	
0.191496	461872.000000	10.000000	
0.163590	461872.000000	10.000000	
0.170437	461872.000000	10.000000	
0.217003	461872.000000	10.000000	
0.898265	461872.000000	10.000000	
0.132465	461872.000000	10.000000	
0.128972	461872.000000	10.000000	
0.131557	461872.000000	10.000000	
0.136935	461872.000000	10.000000	
0.145673	461872.000000	10.000000	
0.131066	461872.000000	15.400000	
0.137969	461872.000000	10.120000	
0.143297	461872.000000	10.000000	
0.148117	461872.000000	10.000000	
0.150884	461872.000000	10.000000	
0.154295	461872.000000	10.000000	
0.151021	461872.000000	10.000000	
0.168035	461872.000000	10.000000	
0.149907	461872.000000	10.000000	
0.963900	461872.000000	9.960000	
0.215261	461872.000000	9.580000	
0.142302	461872.000000	10.000000	
0.190155	461872.000000	10.000000	
0.141841	461872.000000	10.000000	
0.168353	461872.000000	10.000000	
0.148903	461872.000000	10.000000	
0.371110	461872.000000	10.000000	
0.149240	461872.000000	10.000000	
0.154188	461872.000000	10.000000	
0.343564	461872.000000	10.000000	
0.390898	461872.000000	10.000000	
0.134211	461872.000000	10.000000	
0.151635	461872.000000	10.000000	
0.381899	461872.000000	10.000000	
0.133525	461872.000000	10.000000	
0.354792	461872.000000	10.000000	
0.162087	461872.000000	10.000000	
0.135772	461872.000000	10.000000	
0.139181	461872.000000	10.000000	
0.143170	461872.000000	10.000000	
0.803805	461872.000000	10.000000	
0.132160	461872.000000	10.000000	
0.136641	461872.000000	10.000000	
0.139701	461872.000000	10.830000	
0.140923	461872.000000	10.020000	
0.147513	461872.000000	10.000000	
0.141129	461872.000000	9.980000	
0.136507	461872.000000	10.000000	
0.130073	461872.000000	10.000000	
0.135695	461872.000000	10.000000	
0.133543	461872.000000	10.000000	
0.135785	461872.000000	10.000000	
0.134025	461872.000000	9.670000	
0.138210	461872.000000	10.060000	
0.130965	461872.000000	9.990000	
0.131061	461872.000000	10.050000	
0.138463	461872.000000	9.980000	
0.134456	461872.000000	10.000000	
0.135801	461872.000000	10.000000	
0.138509	461872.000000	7.520000	
0.137293	461872.000000	10.010000	
0.136148	461872.000000	10.000000	
0.136770	461872.000000	11.910000	
0.133572	461872.000000	10.000000	
0.140889	461872.000000	10.260000	
0.132382	461872.000000	10.000000	
0.135253	461872.000000	10.000000	
0.137379	461872.000000	10.000000	
0.139718	461872.000000	10.000000	
0.137666	461872.000000	10.000000	
0.129779	461872.000000	8.700000	
0.147705	461872.000000	9.970000	
0.132403	461872.000000	10.000000	
0.138020	461872.000000	9.540000	
0.123617	461872.000000	11.960000	
0.134193	461872.000000	10.000000	
0.139253	461872.000000	10.050000	
0.152866	461872.000000	9.960000	
0.129065	461872.000000	11.720000	
0.130355	461872.000000	10.000000	
0.134582	461872.000000	10.000000	
0.135395	461872.000000	10.000000	
0.140020	461872.000000	10.000000	
0.138485	461872.000000	10.040000	
0.137559	461872.000000	10.000000	
0.132185	461872.000000	10.000000	
0.135045	461872.000000	10.000000	
0.131204	461872.000000	10.000000	
0.129851	461872.000000	10.000000	
0.129658	461872.000000	10.470000	
0.130044	461872.000000	20.550000	
0.130989	461872.000000	10.000000	
0.145728	461872.000000	10.000000	
0.131274	461872.000000	10.000000	
0.135275	461872.000000	10.000000	
0.133407	461872.000000	10.000000	
0.129268	461872.000000	10.000000	
0.129966	461872.000000	9.940000	
0.131823	461872.000000	10.000000	
0.137036	461872.000000	10.000000	
0.125841	461872.000000	9.410000	
0.125963	461872.000000	10.000000	
0.134728	461872.000000	10.000000	
0.126888	461872.000000	10.000000	
0.146707	461872.000000	10.000000	
0.132547	461872.000000	10.000000	
0.142805	461872.000000	10.000000	
0.136722	461872.000000	10.000000	
0.140347	461872.000000	10.000000	
0.132463	461872.000000	10.000000	
0.125716	461872.000000	10.000000	
0.136735	461872.000000	10.000000	
0.129203	461872.000000	10.000000	
0.131867	461872.000000	10.190000	
0.134368	461872.000000	10.000000	
0.134498	461872.000000	10.000000	
0.146297	461872.000000	10.000000	
0.131349	461872.000000	10.650000	
0.128811	461872.000000	10.000000	
0.130053	461872.000000	9.850000	
0.124575	461872.000000	10.000000	
0.130199	461872.000000	10.000000	
0.127250	461872.000000	10.000000	
0.125568	461872.000000	10.000000	
0.127932	461872.000000	10.000000	
0.129120	461872.000000	10.000000	
nan	903.000000	10.000000	
0.000000	0.000000	10.000000	
