Regularisierer	Zielgroesse	Top1	
1.365605	461872.000000	38.520000	
1.359861	461872.000000	45.640000	
1.354072	461872.000000	47.730000	
1.348262	461872.000000	53.580000	
1.342454	461872.000000	54.570000	
1.336867	461872.000000	58.630000	
1.331056	461872.000000	60.520000	
1.325235	461872.000000	63.790000	
1.319408	461872.000000	64.810000	
1.313586	461872.000000	64.800000	
1.308000	461872.000000	67.290000	
1.302204	461872.000000	69.990000	
1.296397	461872.000000	69.560000	
1.290587	461872.000000	66.930000	
1.284794	461872.000000	68.070000	
1.279237	461872.000000	70.220000	
1.273471	461872.000000	70.940000	
1.267694	461872.000000	72.400000	
1.261924	461872.000000	71.110000	
1.256158	461872.000000	75.520000	
1.250629	461872.000000	74.130000	
1.244883	461872.000000	75.420000	
1.239141	461872.000000	73.240000	
1.233404	461872.000000	76.570000	
1.227656	461872.000000	74.310000	
1.222150	461872.000000	77.970000	
1.216437	461872.000000	74.510000	
1.210715	461872.000000	70.520000	
1.205002	461872.000000	78.230000	
1.199295	461872.000000	78.540000	
1.193800	461872.000000	78.990000	
1.188104	461872.000000	78.760000	
1.182381	461872.000000	78.680000	
1.176721	461872.000000	76.970000	
1.171038	461872.000000	77.570000	
1.165597	461872.000000	77.850000	
1.159927	461872.000000	79.560000	
1.154274	461872.000000	78.600000	
1.148618	461872.000000	77.670000	
1.142966	461872.000000	80.860000	
1.137555	461872.000000	81.880000	
1.131937	461872.000000	79.040000	
1.126310	461872.000000	80.540000	
1.120689	461872.000000	79.050000	
1.115068	461872.000000	77.290000	
1.109681	461872.000000	82.140000	
1.104096	461872.000000	80.180000	
1.098488	461872.000000	80.280000	
1.092893	461872.000000	79.510000	
1.087315	461872.000000	81.610000	
1.081951	461872.000000	82.610000	
1.076391	461872.000000	83.060000	
1.070822	461872.000000	78.020000	
1.065260	461872.000000	82.340000	
1.059697	461872.000000	81.540000	
1.054378	461872.000000	79.300000	
1.048839	461872.000000	82.560000	
1.043309	461872.000000	81.440000	
1.037794	461872.000000	81.480000	
1.032271	461872.000000	81.430000	
1.026978	461872.000000	82.230000	
1.021467	461872.000000	81.620000	
1.015965	461872.000000	82.770000	
1.010479	461872.000000	79.770000	
1.004988	461872.000000	82.470000	
0.999711	461872.000000	82.910000	
0.994258	461872.000000	81.600000	
0.988799	461872.000000	82.990000	
0.983338	461872.000000	82.720000	
0.977887	461872.000000	77.820000	
0.972666	461872.000000	83.750000	
0.967257	461872.000000	83.170000	
0.961839	461872.000000	83.700000	
0.956424	461872.000000	81.960000	
0.951016	461872.000000	83.250000	
0.945836	461872.000000	82.320000	
0.940441	461872.000000	81.880000	
0.935073	461872.000000	83.360000	
0.929685	461872.000000	80.600000	
0.924331	461872.000000	81.730000	
0.919194	461872.000000	82.540000	
0.913847	461872.000000	83.820000	
0.908485	461872.000000	84.150000	
0.903137	461872.000000	83.650000	
0.897837	461872.000000	83.070000	
0.892719	461872.000000	83.520000	
0.887424	461872.000000	81.590000	
0.882130	461872.000000	84.160000	
0.876809	461872.000000	82.960000	
0.871505	461872.000000	83.330000	
0.866406	461872.000000	84.220000	
0.861159	461872.000000	83.810000	
0.855923	461872.000000	82.760000	
0.850700	461872.000000	84.000000	
0.845465	461872.000000	83.210000	
0.840437	461872.000000	82.520000	
0.835230	461872.000000	81.680000	
0.830023	461872.000000	83.170000	
0.824844	461872.000000	82.500000	
0.819633	461872.000000	83.720000	
0.814619	461872.000000	81.240000	
0.809449	461872.000000	84.060000	
0.804308	461872.000000	83.890000	
0.799146	461872.000000	84.440000	
0.793973	461872.000000	82.930000	
0.789042	461872.000000	84.710000	
0.783954	461872.000000	83.620000	
0.778853	461872.000000	81.540000	
0.773764	461872.000000	82.090000	
0.768650	461872.000000	84.290000	
0.763771	461872.000000	80.730000	
0.758741	461872.000000	81.010000	
0.753722	461872.000000	83.280000	
0.748688	461872.000000	83.570000	
0.743657	461872.000000	85.420000	
0.738862	461872.000000	83.140000	
0.733891	461872.000000	83.790000	
0.728896	461872.000000	84.850000	
0.723969	461872.000000	83.080000	
0.719052	461872.000000	83.360000	
0.714320	461872.000000	81.670000	
0.709392	461872.000000	83.450000	
0.704506	461872.000000	83.650000	
0.699579	461872.000000	83.900000	
0.694713	461872.000000	85.930000	
0.690015	461872.000000	82.360000	
0.685181	461872.000000	84.780000	
0.680337	461872.000000	85.320000	
0.675515	461872.000000	83.160000	
0.670754	461872.000000	83.790000	
0.666124	461872.000000	83.690000	
0.661385	461872.000000	84.080000	
0.656684	461872.000000	84.530000	
0.651983	461872.000000	83.740000	
0.647279	461872.000000	85.230000	
0.642862	461872.000000	84.110000	
0.638178	461872.000000	81.210000	
0.633581	461872.000000	84.320000	
0.629077	461872.000000	84.360000	
0.624517	461872.000000	83.790000	
0.620214	461872.000000	84.120000	
0.615716	461872.000000	80.090000	
0.611319	461872.000000	84.360000	
0.606996	461872.000000	84.990000	
0.602676	461872.000000	81.480000	
0.598508	461872.000000	83.690000	
0.594224	461872.000000	82.810000	
0.590105	461872.000000	83.640000	
0.586012	461872.000000	84.980000	
0.581951	461872.000000	82.580000	
0.578100	461872.000000	83.220000	
0.574253	461872.000000	84.670000	
0.570448	461872.000000	81.570000	
0.566706	461872.000000	76.500000	
0.562924	461872.000000	84.640000	
0.559427	461872.000000	82.000000	
0.555860	461872.000000	85.170000	
0.552356	461872.000000	81.390000	
0.548944	461872.000000	85.210000	
0.545667	461872.000000	83.340000	
0.542432	461872.000000	80.740000	
0.539208	461872.000000	82.020000	
0.536057	461872.000000	84.860000	
0.532926	461872.000000	84.140000	
0.529750	461872.000000	84.170000	
0.526607	461872.000000	81.980000	
0.523646	461872.000000	82.790000	
0.520512	461872.000000	84.360000	
0.517517	461872.000000	83.850000	
0.514437	461872.000000	84.290000	
0.511493	461872.000000	85.110000	
0.508582	461872.000000	83.500000	
0.505753	461872.000000	82.620000	
0.502887	461872.000000	81.590000	
0.499898	461872.000000	85.420000	
0.497114	461872.000000	82.060000	
0.494367	461872.000000	84.570000	
0.491532	461872.000000	82.980000	
0.488919	461872.000000	85.340000	
0.486249	461872.000000	83.790000	
0.000000	0.000000	83.790000	
