Regularisierer	Zielgroesse	Top1	
13.470919	461872.000000	36.630000	
13.007723	461872.000000	41.940000	
12.543690	461872.000000	48.850000	
12.080093	461872.000000	52.210000	
11.617147	461872.000000	55.350000	
11.172527	461872.000000	59.130000	
10.711523	461872.000000	59.130000	
10.250200	461872.000000	62.750000	
9.789661	461872.000000	64.970000	
9.330009	461872.000000	65.140000	
8.890052	461872.000000	64.650000	
8.434535	461872.000000	67.520000	
7.980784	461872.000000	69.950000	
7.530795	461872.000000	67.680000	
7.086548	461872.000000	64.400000	
6.670038	461872.000000	69.200000	
6.261957	461872.000000	66.320000	
5.928666	461872.000000	66.760000	
5.659684	461872.000000	70.620000	
5.409299	461872.000000	60.170000	
5.169222	457552.000000	53.300000	
4.943363	457552.000000	57.510000	
4.722628	457552.000000	47.240000	
4.512781	457552.000000	68.810000	
4.312045	457552.000000	72.930000	
4.115207	453808.000000	70.020000	
3.926246	453808.000000	76.000000	
3.736639	453808.000000	74.290000	
3.549606	453808.000000	69.890000	
3.362847	453808.000000	65.850000	
3.181015	451504.000000	67.790000	
3.003436	451504.000000	69.070000	
2.834219	451504.000000	67.640000	
2.684912	451504.000000	56.830000	
2.568543	451504.000000	61.570000	
2.470777	446896.000000	56.940000	
2.387620	446896.000000	60.120000	
2.305564	446896.000000	65.450000	
2.223118	446896.000000	62.730000	
2.142947	446896.000000	34.450000	
2.061249	440560.000000	59.330000	
1.986941	440560.000000	67.480000	
1.913626	440560.000000	76.440000	
1.842817	440560.000000	68.820000	
1.773119	440560.000000	72.560000	
1.707309	437392.000000	42.340000	
1.646136	437392.000000	67.680000	
1.584354	437392.000000	71.650000	
1.522818	437392.000000	55.350000	
1.462045	437392.000000	56.930000	
1.401123	433216.000000	66.770000	
1.343260	433216.000000	65.920000	
1.283790	433216.000000	64.540000	
1.223433	433216.000000	57.510000	
1.165457	433216.000000	75.830000	
1.106641	429760.000000	76.450000	
1.048697	429760.000000	72.630000	
0.991901	429760.000000	55.620000	
0.934051	429760.000000	61.140000	
0.876659	429760.000000	66.530000	
0.819021	424864.000000	73.790000	
0.765620	424864.000000	64.010000	
0.711209	424864.000000	71.100000	
0.659970	424864.000000	52.970000	
0.609569	424864.000000	69.310000	
0.561789	420400.000000	71.780000	
0.525446	420400.000000	73.610000	
0.497937	420400.000000	51.170000	
0.477107	420400.000000	59.330000	
0.461197	420400.000000	66.560000	
0.408898	381232.000000	69.330000	
0.400984	381232.000000	54.590000	
0.391491	381232.000000	66.300000	
0.383485	381232.000000	74.700000	
0.375886	381232.000000	66.800000	
0.355029	367408.000000	75.730000	
0.350184	367408.000000	44.600000	
0.345255	367408.000000	40.750000	
0.338184	367408.000000	57.350000	
0.333461	367408.000000	70.110000	
0.317451	353584.000000	76.820000	
0.312042	353584.000000	74.390000	
0.309813	353584.000000	57.000000	
0.306056	353584.000000	70.580000	
0.300340	353584.000000	67.340000	
0.291613	346096.000000	51.560000	
0.290646	346096.000000	52.680000	
0.288620	346096.000000	74.790000	
0.286284	346096.000000	69.450000	
0.285545	346096.000000	76.870000	
0.277303	338896.000000	58.450000	
0.276076	338896.000000	34.700000	
0.276662	338896.000000	41.650000	
0.276878	338896.000000	69.120000	
0.275524	338896.000000	67.960000	
0.267460	330544.000000	76.340000	
0.268031	330544.000000	77.260000	
0.267187	330544.000000	60.340000	
0.268256	330544.000000	61.030000	
0.267983	330544.000000	79.170000	
0.260967	327088.000000	72.660000	
0.261643	327088.000000	51.910000	
0.262399	327088.000000	71.600000	
0.261398	327088.000000	66.880000	
0.261806	327088.000000	75.710000	
0.251525	320752.000000	75.260000	
0.250653	320752.000000	63.740000	
0.252145	320752.000000	69.460000	
0.251419	320752.000000	71.760000	
0.250233	320752.000000	81.570000	
0.249023	320320.000000	63.410000	
0.250505	320320.000000	69.350000	
0.249948	320320.000000	78.250000	
0.248905	320320.000000	72.560000	
0.249090	320320.000000	81.020000	
0.244649	315136.000000	73.180000	
0.245172	315136.000000	78.630000	
0.245879	315136.000000	73.820000	
0.245797	315136.000000	71.970000	
0.244653	315136.000000	43.060000	
0.239118	311392.000000	77.420000	
0.239680	311392.000000	78.090000	
0.240879	311392.000000	77.020000	
0.240039	311392.000000	70.150000	
0.241224	311392.000000	81.540000	
0.238616	311392.000000	70.900000	
0.239370	311392.000000	73.210000	
0.239137	311392.000000	70.730000	
0.238423	311392.000000	68.840000	
0.238886	311392.000000	57.490000	
0.237839	310240.000000	67.240000	
0.239425	310240.000000	76.080000	
0.237839	310240.000000	60.110000	
0.237876	310240.000000	50.880000	
0.238277	310240.000000	67.390000	
0.236830	309088.000000	77.920000	
0.237684	309088.000000	73.200000	
0.238208	309088.000000	74.630000	
0.237066	309088.000000	73.490000	
0.236433	309088.000000	76.940000	
0.234982	307936.000000	65.830000	
0.235525	307936.000000	72.880000	
0.235888	307936.000000	64.720000	
0.236749	307936.000000	74.900000	
0.236925	307936.000000	68.290000	
0.234728	307360.000000	81.940000	
0.236099	307360.000000	68.170000	
0.235526	307360.000000	63.320000	
0.235501	307360.000000	70.170000	
0.235554	307360.000000	65.500000	
0.232844	305632.000000	70.410000	
0.232359	305632.000000	62.210000	
0.233581	305632.000000	60.000000	
0.233855	305632.000000	72.330000	
0.233782	305632.000000	75.680000	
0.232165	304480.000000	72.760000	
