Regularisierer	Zielgroesse	Top1	
20.050142	461872.000000	35.650000	
19.017075	461872.000000	44.870000	
17.982420	461872.000000	50.530000	
16.948679	461872.000000	52.710000	
15.916487	461872.000000	56.160000	
14.926352	461872.000000	59.820000	
13.900429	461872.000000	60.570000	
12.875713	461872.000000	62.400000	
11.857357	461872.000000	64.170000	
10.851398	461872.000000	62.100000	
9.911544	461872.000000	62.430000	
9.057884	461872.000000	52.570000	
8.445784	461872.000000	62.100000	
7.904815	461872.000000	51.590000	
7.392844	461872.000000	36.960000	
6.903583	452944.000000	51.840000	
6.457091	452944.000000	65.200000	
6.021714	452944.000000	47.150000	
5.591632	452944.000000	57.930000	
5.168675	452944.000000	52.570000	
4.753483	447472.000000	61.590000	
4.352910	447472.000000	58.170000	
3.994411	447472.000000	39.530000	
3.745533	447472.000000	44.170000	
3.551574	447472.000000	53.490000	
3.370173	437968.000000	44.560000	
3.193648	437968.000000	50.050000	
3.021212	437968.000000	42.710000	
2.852371	437968.000000	51.590000	
2.688670	437968.000000	48.040000	
2.529985	417808.000000	29.820000	
2.390938	417808.000000	52.910000	
2.251749	417808.000000	62.150000	
2.118140	417808.000000	43.080000	
1.982982	417808.000000	59.880000	
1.848586	409312.000000	41.950000	
1.714876	409312.000000	62.880000	
1.585318	409312.000000	48.980000	
1.454636	409312.000000	50.760000	
1.322928	409312.000000	64.070000	
1.193653	402112.000000	56.750000	
1.069385	402112.000000	60.920000	
0.946668	402112.000000	59.440000	
0.829439	402112.000000	51.730000	
0.729684	402112.000000	46.340000	
0.623121	378352.000000	38.800000	
0.584765	378352.000000	57.590000	
0.554940	378352.000000	60.150000	
0.528130	378352.000000	34.360000	
0.507612	378352.000000	46.350000	
0.446424	327952.000000	41.640000	
0.437755	327952.000000	46.010000	
0.427298	327952.000000	57.580000	
0.414670	327952.000000	67.780000	
0.404410	327952.000000	70.410000	
0.355020	300880.000000	46.330000	
0.347424	300880.000000	61.350000	
0.338849	300880.000000	55.410000	
0.334502	300880.000000	44.080000	
0.328297	300880.000000	55.800000	
0.311917	287056.000000	29.530000	
0.312030	287056.000000	34.750000	
0.311208	287056.000000	58.780000	
0.309986	287056.000000	53.010000	
0.309280	287056.000000	40.580000	
0.297208	274384.000000	50.950000	
0.298085	274384.000000	56.970000	
0.296656	274384.000000	57.230000	
0.296296	274384.000000	74.050000	
0.294987	274384.000000	47.860000	
0.284188	268624.000000	64.100000	
0.287303	268624.000000	55.020000	
0.287097	268624.000000	61.920000	
0.287051	268624.000000	69.730000	
0.286519	268624.000000	58.760000	
0.284181	268624.000000	66.890000	
0.284303	268624.000000	77.850000	
0.283670	268624.000000	61.480000	
0.282425	268624.000000	64.340000	
0.283220	268624.000000	67.810000	
0.279900	265888.000000	55.280000	
0.280745	265888.000000	66.630000	
0.280052	265888.000000	72.520000	
0.277926	265888.000000	71.710000	
0.277981	265888.000000	73.060000	
0.268326	260128.000000	35.930000	
0.270695	260128.000000	43.310000	
0.268762	260128.000000	56.720000	
0.268121	260128.000000	55.840000	
0.269080	260128.000000	58.030000	
0.266364	258400.000000	66.960000	
0.266683	258400.000000	54.270000	
0.268177	258400.000000	67.610000	
0.267124	258400.000000	64.860000	
0.267227	258400.000000	62.720000	
0.266714	257968.000000	68.990000	
