Regularisierer	Zielgroesse	Top1	Trainingszeit	
0.175706	68862592.000000	36.260000	23.546588	
0.150276	68862592.000000	48.050000	23.369586	
0.127210	68862592.000000	60.880000	24.211659	
0.106606	68862592.000000	70.620000	22.426920	
0.089403	68862592.000000	64.640000	23.257318	
0.075373	68862592.000000	58.660000	22.117874	
0.065001	68862592.000000	76.560000	23.293226	
0.057646	68862592.000000	64.090000	23.104799	
0.052647	68862592.000000	67.660000	23.238637	
0.049739	68862592.000000	76.740000	23.658038	
0.048119	68862592.000000	71.720000	22.956010	
0.046975	68862592.000000	77.090000	23.283832	
0.046027	68862592.000000	70.170000	23.394380	
0.045855	68862592.000000	71.830000	23.156095	
0.045490	68862592.000000	73.630000	22.560481	
0.045157	68862592.000000	76.390000	23.299541	
0.045048	68862592.000000	73.600000	23.041400	
0.045180	68862592.000000	75.620000	23.095179	
0.045152	68862592.000000	78.850000	23.644469	
0.045047	68862592.000000	69.150000	24.031467	
0.044812	68862592.000000	65.020000	23.620482	
0.044932	68862592.000000	64.690000	24.381747	
0.044952	68862592.000000	79.240000	24.368506	
0.044746	68862592.000000	76.980000	23.093035	
0.044930	68862592.000000	70.450000	22.720464	
0.045153	68862592.000000	79.200000	23.267063	
0.045103	68862592.000000	82.020000	23.483441	
0.045240	68862592.000000	75.160000	22.949045	
0.045097	68862592.000000	76.420000	23.191317	
0.044964	68862592.000000	80.570000	23.272566	
0.057932	68726130.000000	79.230000	24.279791	
0.056349	68726130.000000	78.510000	24.432298	
0.054973	68726130.000000	82.100000	23.266265	
0.053800	68726130.000000	76.680000	24.425618	
0.052315	68726130.000000	80.670000	23.550442	
0.051233	68726130.000000	81.440000	23.958112	
0.050168	68726130.000000	76.900000	24.118883	
0.049445	68726130.000000	73.650000	25.640373	
0.048686	68726130.000000	81.410000	26.219498	
0.047783	68726130.000000	80.550000	26.470018	
0.047474	68726130.000000	80.720000	25.763900	
0.046952	68726130.000000	76.630000	24.358208	
0.046724	68726130.000000	80.500000	23.967419	
0.046566	68726130.000000	78.400000	25.739714	
0.046288	68726130.000000	82.650000	26.500157	
0.046113	68726130.000000	77.790000	26.346490	
0.045848	68726130.000000	79.430000	26.287984	
0.045768	68726130.000000	83.420000	24.951042	
0.045761	68726130.000000	76.610000	23.699276	
0.045990	68726130.000000	74.780000	24.213475	
0.045802	68726130.000000	81.610000	23.769936	
0.045714	68726130.000000	76.930000	23.476812	
0.045813	68726130.000000	76.550000	24.122813	
0.045860	68726130.000000	80.970000	23.225503	
0.045834	68726130.000000	83.550000	23.926084	
0.045848	68726130.000000	82.880000	23.815863	
0.045874	68726130.000000	84.680000	24.037467	
0.046024	68726130.000000	79.320000	24.684601	
0.045786	68726130.000000	77.750000	23.476943	
0.046056	68726130.000000	68.950000	24.118945	
0.056977	68263592.000000	77.240000	25.592267	
0.055209	68263592.000000	83.450000	25.169957	
0.053518	68263592.000000	78.560000	26.393998	
0.052093	68263592.000000	84.260000	25.972191	
0.050769	68263592.000000	77.910000	25.536542	
0.049756	68263592.000000	79.280000	26.135475	
0.048818	68263592.000000	76.150000	26.249227	
0.048099	68263592.000000	75.570000	26.126756	
0.047619	68263592.000000	79.220000	25.664080	
0.046828	68263592.000000	82.570000	25.697735	
0.046456	68263592.000000	83.660000	25.213756	
0.046053	68263592.000000	75.840000	25.543343	
0.045819	68263592.000000	75.260000	25.398743	
0.045722	68263592.000000	77.980000	25.586300	
0.045182	68263592.000000	79.860000	26.013296	
0.045564	68263592.000000	83.450000	26.560966	
0.045391	68263592.000000	72.470000	28.073036	
0.045451	68263592.000000	83.540000	27.446522	
0.045289	68263592.000000	84.650000	28.332749	
0.045361	68263592.000000	77.930000	25.253789	
0.045174	68263592.000000	81.000000	25.198925	
0.045130	68263592.000000	83.170000	27.061454	
0.045366	68263592.000000	66.020000	26.690280	
0.045414	68263592.000000	77.940000	27.931945	
0.045222	68263592.000000	83.170000	27.764497	
0.045295	68263592.000000	81.420000	28.148477	
0.045132	68263592.000000	69.840000	25.360816	
0.045175	68263592.000000	83.820000	25.905268	
0.044902	68263592.000000	83.550000	25.667674	
0.045122	68263592.000000	78.860000	27.571951	
0.057986	68975538.000000	74.470000	28.219734	
0.056234	68975538.000000	56.220000	28.393347	
0.054585	68975538.000000	75.050000	27.025872	
0.053289	68975538.000000	83.480000	25.402533	
0.052114	68975538.000000	83.380000	26.261854	
0.050821	68975538.000000	82.510000	25.871510	
0.049750	68975538.000000	74.500000	25.694137	
0.049043	68975538.000000	76.830000	26.113286	
0.048386	68975538.000000	77.640000	26.175632	
0.047671	68975538.000000	83.340000	25.538216	
0.047101	68975538.000000	71.500000	26.060236	
0.046515	68975538.000000	82.790000	26.408507	
0.045984	68975538.000000	80.650000	26.154171	
0.045818	68975538.000000	74.220000	25.799013	
0.045830	68975538.000000	81.040000	27.114783	
0.045531	68975538.000000	76.890000	28.223887	
0.045317	68975538.000000	72.640000	28.024969	
0.045467	68975538.000000	80.750000	28.283766	
0.045423	68975538.000000	73.160000	26.266068	
0.045402	68975538.000000	82.390000	25.648798	
0.045280	68975538.000000	82.500000	26.080795	
0.045129	68975538.000000	77.180000	26.405323	
0.045069	68975538.000000	85.260000	25.272769	
0.045076	68975538.000000	83.370000	26.136258	
0.045146	68975538.000000	81.510000	26.190607	
0.045532	68975538.000000	82.820000	25.341552	
0.045410	68975538.000000	81.340000	25.535785	
0.045436	68975538.000000	66.730000	26.022117	
0.045451	68975538.000000	78.110000	25.128386	
0.045295	68975538.000000	81.920000	25.959811	
0.055255	68307368.000000	81.350000	26.249440	
0.053803	68307368.000000	77.470000	26.211069	
0.052293	68307368.000000	80.450000	26.692585	
0.050955	68307368.000000	76.890000	25.631492	
0.049634	68307368.000000	75.880000	26.158092	
0.048858	68307368.000000	79.590000	26.533515	
0.048101	68307368.000000	84.050000	25.871821	
0.047356	68307368.000000	77.460000	26.431200	
0.046862	68307368.000000	82.780000	26.467548	
0.046302	68307368.000000	81.450000	25.662850	
0.045840	68307368.000000	83.960000	26.254225	
0.045359	68307368.000000	75.230000	26.496367	
0.045218	68307368.000000	82.270000	26.074960	
0.044867	68307368.000000	80.960000	26.578565	
0.044583	68307368.000000	83.900000	26.449486	
0.044663	68307368.000000	78.210000	26.175206	
0.044373	68307368.000000	78.710000	26.285719	
0.044250	68307368.000000	74.630000	29.142158	
0.044332	68307368.000000	82.530000	26.684078	
0.044563	68307368.000000	83.120000	25.362109	
0.044276	68307368.000000	84.950000	25.012316	
0.044343	68307368.000000	81.930000	28.179535	
0.044290	68307368.000000	77.690000	26.925925	
0.044374	68307368.000000	79.200000	25.084743	
0.044431	68307368.000000	76.100000	26.544845	
0.044527	68307368.000000	84.610000	26.893251	
0.044517	68307368.000000	83.010000	25.838681	
0.044448	68307368.000000	77.380000	26.035068	
0.044142	68307368.000000	75.120000	26.127882	
0.044132	68307368.000000	84.140000	26.093273	
0.055375	68581544.000000	77.870000	25.123966	
0.053735	68581544.000000	77.850000	25.866705	
0.052425	68581544.000000	82.280000	25.222978	
0.051214	68581544.000000	74.720000	26.164276	
0.050180	68581544.000000	79.290000	25.293715	
