Regularisierer	Zielgroesse	Top1	
2.727274	461872.000000	37.020000	
2.706761	461872.000000	45.270000	
2.686161	461872.000000	50.470000	
2.665505	461872.000000	56.470000	
2.644867	461872.000000	58.020000	
2.624227	461872.000000	57.690000	
2.603614	461872.000000	62.430000	
2.583013	461872.000000	61.380000	
2.562417	461872.000000	66.190000	
2.541831	461872.000000	67.220000	
2.521277	461872.000000	67.520000	
2.500737	461872.000000	65.110000	
2.480237	461872.000000	69.620000	
2.459758	461872.000000	68.620000	
2.439277	461872.000000	70.050000	
2.418783	461872.000000	73.710000	
2.398338	461872.000000	71.400000	
2.377914	461872.000000	72.630000	
2.357509	461872.000000	73.480000	
2.337135	461872.000000	74.950000	
2.316796	461872.000000	76.540000	
2.296497	461872.000000	77.880000	
2.276185	461872.000000	75.470000	
2.255863	461872.000000	74.000000	
2.235592	461872.000000	74.910000	
2.215365	461872.000000	74.120000	
2.195156	461872.000000	77.160000	
2.174973	461872.000000	77.000000	
2.154802	461872.000000	79.480000	
2.134674	461872.000000	77.170000	
2.115353	461872.000000	78.500000	
2.095301	461872.000000	79.180000	
2.075218	461872.000000	79.030000	
2.055191	461872.000000	77.670000	
2.035223	461872.000000	79.440000	
2.015218	461872.000000	76.070000	
1.995243	461872.000000	78.660000	
1.975294	461872.000000	77.880000	
1.955362	461872.000000	78.240000	
1.935489	461872.000000	78.910000	
1.915696	461872.000000	80.220000	
1.895954	461872.000000	80.790000	
1.876180	461872.000000	81.220000	
1.856449	461872.000000	79.940000	
1.836735	461872.000000	81.150000	
1.817095	461872.000000	79.770000	
1.797497	461872.000000	82.450000	
1.777884	461872.000000	80.560000	
1.758359	461872.000000	81.340000	
1.738889	461872.000000	77.740000	
1.719411	461872.000000	80.350000	
1.700027	461872.000000	83.050000	
1.680658	461872.000000	81.530000	
1.661322	461872.000000	81.300000	
1.642117	461872.000000	83.110000	
1.622931	461872.000000	80.640000	
1.603783	461872.000000	82.110000	
1.584690	461872.000000	82.630000	
1.565642	461872.000000	80.720000	
1.546732	461872.000000	82.430000	
1.528584	461872.000000	82.720000	
1.509775	461872.000000	83.860000	
1.491025	461872.000000	80.860000	
