Regularisierer	Zielgroesse	Top1	
5.437899	461872.000000	36.630000	
5.360756	461872.000000	45.280000	
5.283354	461872.000000	49.960000	
5.205952	461872.000000	52.970000	
5.128641	461872.000000	57.730000	
5.051369	461872.000000	61.160000	
4.974143	461872.000000	61.160000	
4.896997	461872.000000	63.280000	
4.819952	461872.000000	63.190000	
4.743006	461872.000000	66.690000	
4.666117	461872.000000	66.600000	
4.589345	461872.000000	66.000000	
4.512654	461872.000000	69.460000	
4.436104	461872.000000	70.890000	
4.359577	461872.000000	69.680000	
4.283177	461872.000000	68.560000	
4.206873	461872.000000	68.420000	
4.130637	461872.000000	72.300000	
4.054450	461872.000000	74.560000	
3.978505	461872.000000	75.210000	
3.902734	461872.000000	74.570000	
3.827000	461872.000000	75.150000	
3.751479	461872.000000	74.470000	
3.676110	461872.000000	77.400000	
3.600915	461872.000000	76.760000	
3.525870	461872.000000	75.990000	
3.451087	461872.000000	77.480000	
3.376664	461872.000000	77.550000	
3.302482	461872.000000	79.380000	
3.228469	461872.000000	76.060000	
3.157764	461872.000000	78.500000	
3.084645	461872.000000	78.100000	
3.011943	461872.000000	77.270000	
2.939631	461872.000000	78.210000	
2.867817	461872.000000	78.630000	
2.796911	461872.000000	77.080000	
2.726996	461872.000000	80.240000	
2.658008	461872.000000	80.060000	
2.590352	461872.000000	79.460000	
2.524943	461872.000000	80.360000	
2.463215	461872.000000	76.270000	
2.407219	461872.000000	78.940000	
2.357218	461872.000000	77.950000	
2.311413	461872.000000	82.090000	
2.266773	461872.000000	79.050000	
2.223761	461872.000000	76.140000	
2.182535	461872.000000	73.030000	
2.141206	461872.000000	80.590000	
2.099658	461872.000000	79.760000	
2.059633	461872.000000	73.630000	
2.020685	461872.000000	71.470000	
1.982602	461872.000000	77.550000	
1.944829	461872.000000	79.920000	
1.908631	461872.000000	80.270000	
1.873237	461872.000000	78.820000	
1.838994	461872.000000	78.860000	
1.805240	461872.000000	79.720000	
1.772193	461872.000000	77.710000	
1.740788	461872.000000	75.390000	
1.708696	461872.000000	81.220000	
1.676428	461296.000000	77.880000	
1.645109	461296.000000	76.680000	
1.614217	461296.000000	77.610000	
1.582870	461296.000000	77.160000	
1.551251	461296.000000	70.350000	
1.521268	461296.000000	77.990000	
1.490132	461296.000000	79.640000	
1.459341	461296.000000	71.100000	
1.428936	461296.000000	70.540000	
1.399043	461296.000000	77.270000	
1.369037	461296.000000	78.910000	
1.340698	461296.000000	77.420000	
1.310884	461296.000000	76.760000	
1.282570	461296.000000	73.580000	
1.254198	461296.000000	67.620000	
1.226606	461296.000000	77.910000	
1.200860	461296.000000	80.130000	
1.174917	461296.000000	69.790000	
1.150277	461296.000000	69.430000	
1.127137	461296.000000	78.690000	
1.104677	461296.000000	69.410000	
1.085207	461296.000000	78.110000	
1.066942	461296.000000	80.220000	
1.049468	461296.000000	75.150000	
1.033142	461296.000000	83.000000	
1.017871	461296.000000	79.750000	
1.003674	461296.000000	67.340000	
0.988813	461296.000000	74.790000	
0.974159	461296.000000	79.780000	
0.960253	461296.000000	80.150000	
0.945460	459856.000000	74.750000	
0.932334	459856.000000	67.280000	
0.919070	459856.000000	82.950000	
0.906805	459856.000000	79.060000	
0.893430	459856.000000	79.590000	
0.879677	459856.000000	81.580000	
0.867471	459856.000000	72.350000	
0.854878	459856.000000	70.950000	
0.842920	459856.000000	82.110000	
0.830152	459856.000000	74.160000	
0.818907	459856.000000	75.880000	
0.806936	459856.000000	70.110000	
0.795187	459856.000000	77.130000	
0.783156	459856.000000	76.570000	
0.772534	459856.000000	76.800000	
0.761985	459856.000000	82.750000	
0.750473	459856.000000	75.720000	
0.739053	459856.000000	82.760000	
0.729179	459856.000000	78.690000	
0.718051	459856.000000	74.500000	
0.707294	459856.000000	82.650000	
0.697232	459856.000000	80.460000	
0.687275	459856.000000	77.140000	
0.676250	459856.000000	78.420000	
0.666838	459856.000000	80.000000	
0.656622	459856.000000	73.510000	
0.646986	459856.000000	82.270000	
0.636552	459856.000000	80.510000	
0.628234	459856.000000	80.200000	
0.617706	459856.000000	78.770000	
0.605785	457840.000000	80.970000	
0.595881	457840.000000	79.100000	
0.586107	457840.000000	73.800000	
0.576631	457840.000000	80.230000	
0.567271	457840.000000	76.850000	
0.556977	457840.000000	78.420000	
0.547494	457840.000000	77.770000	
0.538363	457840.000000	79.780000	
0.528184	457840.000000	80.290000	
0.518918	457840.000000	83.330000	
0.509490	457840.000000	75.100000	
0.500287	457840.000000	76.640000	
0.490900	457840.000000	80.150000	
0.482025	457840.000000	76.730000	
0.472520	457840.000000	75.570000	
0.463904	457840.000000	84.890000	
0.454810	457840.000000	82.640000	
0.445977	457840.000000	73.570000	
0.438378	457840.000000	79.340000	
0.428919	457840.000000	77.190000	
0.418710	457840.000000	79.930000	
0.410996	457840.000000	82.170000	
0.402764	457840.000000	76.810000	
0.395183	457840.000000	81.160000	
0.387033	457840.000000	82.030000	
0.378808	457840.000000	72.740000	
0.370785	457840.000000	80.020000	
0.362493	457840.000000	74.120000	
0.355957	457840.000000	80.150000	
0.348709	457840.000000	78.830000	
0.340742	456976.000000	82.750000	
0.334491	456976.000000	82.440000	
0.327957	456976.000000	79.490000	
0.322438	456976.000000	74.290000	
0.317153	456976.000000	64.630000	
0.311261	456976.000000	80.130000	
0.305826	456976.000000	75.530000	
0.301605	456976.000000	78.810000	
0.297422	456976.000000	81.560000	
0.294276	456976.000000	84.660000	
0.289126	456976.000000	71.970000	
0.286297	456976.000000	79.150000	
0.284181	456976.000000	80.690000	
0.281411	456976.000000	52.800000	
0.277203	456976.000000	81.150000	
0.275147	456976.000000	79.760000	
0.273609	456976.000000	81.500000	
0.271052	456976.000000	74.250000	
0.268011	456976.000000	81.530000	
0.266962	456976.000000	83.010000	
0.263730	456976.000000	82.880000	
0.262194	456976.000000	65.870000	
0.260565	456976.000000	81.720000	
0.258947	456976.000000	83.360000	
0.256717	456976.000000	79.940000	
0.255043	456976.000000	83.220000	
0.252945	456976.000000	75.230000	
0.251868	456976.000000	79.420000	
0.249797	456976.000000	64.020000	
0.248592	456976.000000	74.920000	
0.238497	446608.000000	69.650000	
0.238390	446608.000000	77.280000	
0.237755	446608.000000	81.250000	
0.236796	446608.000000	77.170000	
0.235886	446608.000000	66.470000	
0.235375	446608.000000	74.940000	
0.232701	446608.000000	72.430000	
0.232383	446608.000000	80.050000	
0.231165	446608.000000	82.260000	
0.230057	446608.000000	80.300000	
0.228429	446608.000000	79.420000	
0.226729	446608.000000	70.300000	
0.227409	446608.000000	76.930000	
0.226309	446608.000000	75.860000	
0.225833	446608.000000	69.350000	
0.225747	446608.000000	75.070000	
0.224765	446608.000000	71.290000	
0.223864	446608.000000	79.810000	
0.223352	446608.000000	84.770000	
0.222690	446608.000000	57.980000	
