Regularisierer	Zielgroesse	Top1	Trainingszeit	
0.909950	17326400.000000	27.270000	22.211733	
0.343902	17326400.000000	49.890000	21.727907	
0.208156	17326400.000000	51.770000	22.462613	
0.181109	17326400.000000	46.750000	22.457993	
0.178702	17326400.000000	42.730000	22.033940	
0.176897	17326400.000000	53.280000	21.915131	
0.177903	17326400.000000	56.160000	22.122855	
0.178609	17326400.000000	58.860000	22.741442	
0.179044	17326400.000000	38.630000	22.391472	
0.176759	17326400.000000	65.160000	22.214070	
0.174562	17326400.000000	53.320000	21.874053	
0.176004	17326400.000000	39.190000	21.752671	
0.174471	17326400.000000	58.030000	21.940359	
0.173609	17326400.000000	65.490000	22.036152	
0.174371	17326400.000000	48.010000	22.061763	
0.174914	17326400.000000	66.270000	21.926203	
0.171689	17326400.000000	44.700000	22.315576	
0.173109	17326400.000000	57.070000	21.760471	
0.173483	17326400.000000	56.660000	22.022777	
0.172652	17326400.000000	55.420000	22.032276	
0.171179	17326400.000000	61.810000	22.853034	
0.171904	17326400.000000	58.090000	22.478788	
0.172561	17326400.000000	37.610000	22.083732	
0.173310	17326400.000000	64.800000	22.046008	
0.170660	17326400.000000	56.150000	22.165985	
0.169444	17326400.000000	71.230000	22.329339	
0.170450	17326400.000000	65.150000	22.137325	
0.172208	17326400.000000	53.530000	22.459178	
0.172217	17326400.000000	52.880000	21.806136	
0.170052	17326400.000000	59.560000	21.532003	
2.327724	69963052.000000	41.170000	25.757009	
0.475183	69963052.000000	44.950000	26.311127	
0.309823	69963052.000000	60.070000	25.509761	
0.294997	69963052.000000	63.270000	26.432336	
0.310903	69963052.000000	51.100000	26.192840	
0.327453	69963052.000000	41.050000	25.907592	
0.291054	69963052.000000	47.610000	25.782442	
0.266673	69963052.000000	35.570000	25.929404	
0.355142	69963052.000000	20.680000	26.332529	
0.349034	69963052.000000	25.270000	26.064398	
0.291238	69963052.000000	34.960000	26.443120	
0.345162	69963052.000000	31.490000	26.210066	
0.382940	69963052.000000	28.980000	26.265430	
0.309913	69963052.000000	57.270000	26.190653	
0.256785	69963052.000000	45.970000	26.455373	
0.255935	69963052.000000	31.530000	26.467386	
0.264618	69963052.000000	30.350000	26.321679	
0.252929	69963052.000000	41.560000	25.633923	
0.269076	69963052.000000	50.350000	26.736516	
0.282355	69963052.000000	53.360000	26.109041	
0.254652	69963052.000000	32.190000	26.237959	
0.250459	69963052.000000	36.900000	25.993437	
0.247695	69963052.000000	17.900000	26.413710	
0.261532	69963052.000000	46.070000	26.587289	
0.287159	69963052.000000	36.530000	26.401777	
0.239268	69963052.000000	55.940000	26.344622	
0.238727	69963052.000000	33.920000	26.379431	
0.238352	69963052.000000	44.570000	26.521157	
0.250240	69963052.000000	41.340000	26.615656	
0.310202	69963052.000000	35.990000	26.191264	
2.110688	68968776.000000	38.050000	34.168169	
0.675704	68968776.000000	38.610000	34.015795	
0.715759	68968776.000000	51.730000	34.142234	
0.779483	68968776.000000	66.750000	34.095612	
0.417269	68968776.000000	59.230000	34.934577	
0.304105	68968776.000000	28.850000	34.543735	
0.410340	68968776.000000	42.950000	34.469487	
0.732898	68968776.000000	40.180000	34.502798	
0.422013	68968776.000000	62.890000	34.850024	
0.412361	68968776.000000	29.540000	34.301048	
0.385856	68968776.000000	40.520000	34.303005	
0.271017	68968776.000000	44.340000	34.599073	
1.044354	68968776.000000	32.290000	34.057510	
0.545108	68968776.000000	54.860000	35.192521	
0.985513	68968776.000000	43.520000	34.694802	
1.345667	68968776.000000	34.110000	34.572777	
0.819281	68968776.000000	9.910000	33.886373	
0.743810	68968776.000000	53.780000	34.884149	
0.668924	68968776.000000	33.080000	34.108545	
1.115057	68968776.000000	53.540000	35.576720	
1.039395	68968776.000000	20.130000	34.392200	
1.796346	68968776.000000	62.640000	33.859353	
1.933110	68968776.000000	51.360000	34.004441	
1.047374	68968776.000000	49.630000	33.668418	
0.366856	68968776.000000	24.330000	34.161624	
0.814378	68968776.000000	67.950000	33.644000	
1.194775	68968776.000000	29.870000	33.346823	
1.091533	68968776.000000	41.620000	33.928800	
