Regularisierer	Zielgroesse	Top1	
23.948467	461872.000000	33.680000	
22.465178	461872.000000	43.080000	
20.980413	461872.000000	48.560000	
19.497162	461872.000000	52.960000	
18.015852	461872.000000	53.400000	
16.595200	461872.000000	55.740000	
15.125411	461872.000000	58.540000	
13.664702	461872.000000	62.940000	
12.234128	461872.000000	62.640000	
10.948713	461872.000000	54.400000	
10.046377	456688.000000	32.680000	
9.316699	456688.000000	43.700000	
8.614589	456688.000000	41.840000	
7.940526	456688.000000	40.220000	
7.292503	456688.000000	34.800000	
6.666437	446608.000000	56.340000	
6.067895	446608.000000	59.180000	
5.476902	446608.000000	47.780000	
4.922552	446608.000000	46.060000	
4.521030	446608.000000	48.120000	
4.241930	437680.000000	40.580000	
3.987989	437680.000000	52.600000	
3.735205	437680.000000	27.380000	
3.483442	437680.000000	22.780000	
3.247345	437680.000000	32.380000	
3.016371	414496.000000	70.500000	
2.817389	414496.000000	57.620000	
2.621655	414496.000000	62.620000	
2.426672	414496.000000	44.540000	
2.235521	414496.000000	56.480000	
2.036144	402256.000000	61.940000	
1.847385	402256.000000	58.580000	
1.658005	402256.000000	70.540000	
1.472105	402256.000000	61.120000	
1.288924	402256.000000	60.800000	
1.111124	395200.000000	45.420000	
0.942118	395200.000000	59.760000	
0.799815	395200.000000	40.640000	
0.711800	395200.000000	34.740000	
0.657097	395200.000000	57.720000	
0.536080	320032.000000	61.720000	
0.520348	320032.000000	49.240000	
0.502407	320032.000000	46.180000	
0.483180	320032.000000	61.580000	
0.464968	320032.000000	59.740000	
0.394929	283024.000000	60.720000	
0.384501	283024.000000	49.960000	
0.372124	283024.000000	68.240000	
0.359447	283024.000000	55.660000	
0.349953	283024.000000	65.360000	
0.327408	267616.000000	57.860000	
0.327088	267616.000000	55.980000	
0.324465	267616.000000	57.060000	
0.324312	267616.000000	65.040000	
0.320902	267616.000000	59.520000	
0.297567	250912.000000	69.860000	
0.298274	250912.000000	61.260000	
0.298413	250912.000000	67.740000	
0.298932	250912.000000	55.600000	
0.298703	250912.000000	55.080000	
0.287186	240832.000000	72.780000	
0.288159	240832.000000	53.500000	
0.288231	240832.000000	45.600000	
0.287305	240832.000000	71.200000	
0.286590	240832.000000	68.840000	
0.272601	233344.000000	56.300000	
0.273261	233344.000000	51.140000	
0.273665	233344.000000	75.020000	
0.274310	233344.000000	47.140000	
0.271079	233344.000000	61.160000	
0.265993	228880.000000	67.780000	
0.266561	228880.000000	61.940000	
0.266799	228880.000000	44.860000	
0.265338	228880.000000	55.800000	
0.266206	228880.000000	56.380000	
0.260614	223552.000000	58.600000	
0.259577	223552.000000	63.220000	
0.259581	223552.000000	51.360000	
0.258330	223552.000000	52.080000	
0.258092	223552.000000	59.740000	
0.258092	221824.000000	36.760000	
0.257974	221824.000000	56.820000	
0.257092	221824.000000	66.040000	
0.256904	221824.000000	60.400000	
0.256722	221824.000000	72.880000	
0.250273	216064.000000	55.940000	
0.251256	216064.000000	76.660000	
0.251053	216064.000000	66.400000	
0.250523	216064.000000	68.940000	
0.250274	216064.000000	63.000000	
0.247140	214336.000000	63.620000	
0.248760	214336.000000	63.000000	
0.250078	214336.000000	63.020000	
0.249927	214336.000000	78.840000	
0.248201	214336.000000	70.720000	
0.243613	211744.000000	70.480000	
0.244413	211744.000000	65.900000	
0.244078	211744.000000	53.340000	
0.244224	211744.000000	65.700000	
0.243971	211744.000000	80.040000	
0.242500	210016.000000	70.840000	
0.243722	210016.000000	76.820000	
0.243010	210016.000000	52.520000	
0.243408	210016.000000	70.500000	
0.242560	210016.000000	68.320000	
0.240833	208864.000000	51.840000	
0.239860	208864.000000	73.820000	
0.239998	208864.000000	76.800000	
0.239750	208864.000000	75.400000	
0.240762	208864.000000	61.080000	
0.238452	206560.000000	48.580000	
0.238036	206560.000000	60.900000	
0.238607	206560.000000	70.880000	
0.239737	206560.000000	72.780000	
0.240042	206560.000000	54.360000	
0.238426	206560.000000	58.680000	
0.238281	206560.000000	67.060000	
0.238695	206560.000000	68.800000	
0.238528	206560.000000	57.460000	
0.239081	206560.000000	76.740000	
0.236533	205984.000000	66.500000	
0.238811	205984.000000	53.520000	
0.237428	205984.000000	66.020000	
0.238226	205984.000000	76.120000	
0.238211	205984.000000	73.800000	
0.236970	205984.000000	73.900000	
0.236699	205984.000000	69.680000	
0.237135	205984.000000	62.480000	
0.237261	205984.000000	73.740000	
0.238099	205984.000000	76.080000	
0.235750	205408.000000	73.520000	
0.236453	205408.000000	67.240000	
0.236934	205408.000000	74.360000	
0.237198	205408.000000	75.060000	
0.237095	205408.000000	76.400000	
0.234072	204832.000000	58.440000	
0.235479	204832.000000	70.100000	
0.236294	204832.000000	65.540000	
0.235519	204832.000000	77.140000	
0.237445	204832.000000	68.360000	
0.235351	204832.000000	71.720000	
0.236595	204832.000000	71.900000	
0.235241	204832.000000	79.800000	
0.234756	204832.000000	60.600000	
0.236300	204832.000000	64.440000	
0.234681	204832.000000	58.160000	
0.235787	204832.000000	61.560000	
0.234550	204832.000000	71.940000	
0.235318	204832.000000	64.860000	
0.235083	204832.000000	81.580000	
0.234537	204832.000000	70.360000	
0.235711	204832.000000	68.000000	
0.235325	204832.000000	80.180000	
0.235008	204832.000000	74.760000	
0.235027	204832.000000	57.460000	
0.233350	203680.000000	76.580000	
0.234608	203680.000000	56.620000	
0.235298	203680.000000	82.820000	
0.234559	203680.000000	36.880000	
0.235309	203680.000000	72.240000	
