Regularisierer	Zielgroesse	Top1	
0.273464	461872.000000	38.360000	
0.273030	461872.000000	44.160000	
0.272586	461872.000000	50.500000	
0.272141	461872.000000	54.320000	
0.271694	461872.000000	54.780000	
0.271268	461872.000000	59.940000	
0.270827	461872.000000	60.900000	
0.270384	461872.000000	63.000000	
0.269939	461872.000000	65.280000	
0.269494	461872.000000	60.660000	
0.269067	461872.000000	65.060000	
0.268622	461872.000000	68.020000	
0.268175	461872.000000	71.820000	
0.267730	461872.000000	71.140000	
0.267284	461872.000000	69.700000	
0.266856	461872.000000	72.200000	
0.266410	461872.000000	71.260000	
0.265964	461872.000000	73.820000	
0.265517	461872.000000	76.160000	
0.265071	461872.000000	76.720000	
0.264641	461872.000000	76.960000	
0.264197	461872.000000	77.680000	
0.263754	461872.000000	79.880000	
0.263311	461872.000000	75.940000	
0.262865	461872.000000	78.440000	
0.262440	461872.000000	76.480000	
0.261999	461872.000000	80.200000	
0.261557	461872.000000	80.480000	
0.261115	461872.000000	81.460000	
0.260673	461872.000000	81.900000	
0.260250	461872.000000	80.780000	
0.259812	461872.000000	81.280000	
0.259372	461872.000000	81.440000	
0.258931	461872.000000	82.780000	
0.258492	461872.000000	83.380000	
0.258070	461872.000000	81.380000	
0.257631	461872.000000	84.980000	
0.257195	461872.000000	84.120000	
0.256758	461872.000000	81.700000	
0.256321	461872.000000	83.920000	
0.255901	461872.000000	84.660000	
0.255465	461872.000000	81.720000	
0.255029	461872.000000	85.440000	
0.254595	461872.000000	84.600000	
0.254160	461872.000000	85.800000	
0.253742	461872.000000	84.260000	
0.253308	461872.000000	84.520000	
0.252874	461872.000000	87.040000	
0.252441	461872.000000	87.440000	
0.252010	461872.000000	84.220000	
0.251598	461872.000000	87.680000	
0.251168	461872.000000	87.520000	
0.250737	461872.000000	84.840000	
0.250305	461872.000000	87.280000	
0.249875	461872.000000	83.980000	
0.249461	461872.000000	86.220000	
0.249032	461872.000000	89.300000	
0.248602	461872.000000	86.780000	
0.248173	461872.000000	84.580000	
0.247745	461872.000000	86.440000	
0.247333	461872.000000	88.960000	
0.246907	461872.000000	87.920000	
0.246481	461872.000000	88.720000	
0.246053	461872.000000	88.680000	
0.245628	461872.000000	87.200000	
0.245217	461872.000000	89.840000	
0.244794	461872.000000	86.960000	
0.244370	461872.000000	85.340000	
0.243945	461872.000000	88.680000	
0.243521	461872.000000	88.360000	
0.243114	461872.000000	89.880000	
0.242691	461872.000000	84.360000	
0.242270	461872.000000	88.760000	
0.241846	461872.000000	91.300000	
0.241425	461872.000000	88.660000	
0.241020	461872.000000	90.380000	
0.240602	461872.000000	91.440000	
0.240184	461872.000000	89.540000	
0.239766	461872.000000	88.500000	
0.239347	461872.000000	88.780000	
0.238944	461872.000000	88.860000	
0.238525	461872.000000	90.000000	
0.238108	461872.000000	90.120000	
0.237691	461872.000000	91.060000	
0.237276	461872.000000	91.420000	
0.236877	461872.000000	89.260000	
0.236462	461872.000000	91.780000	
0.236046	461872.000000	84.180000	
0.235628	461872.000000	92.320000	
0.235214	461872.000000	90.960000	
0.234816	461872.000000	86.220000	
0.234402	461872.000000	90.160000	
0.233991	461872.000000	90.340000	
0.233580	461872.000000	89.120000	
0.233168	461872.000000	91.820000	
0.232772	461872.000000	91.760000	
0.232362	461872.000000	91.800000	
0.231952	461872.000000	87.260000	
0.231543	461872.000000	89.800000	
0.231133	461872.000000	89.580000	
0.230743	461872.000000	92.020000	
0.230337	461872.000000	90.080000	
0.229930	461872.000000	91.840000	
0.229522	461872.000000	90.360000	
0.229115	461872.000000	92.020000	
0.228724	461872.000000	93.240000	
0.228318	461872.000000	88.580000	
0.227909	461872.000000	91.140000	
0.227505	461872.000000	90.040000	
0.227100	461872.000000	94.140000	
0.226712	461872.000000	93.080000	
0.226309	461872.000000	91.900000	
0.225905	461872.000000	94.080000	
0.225500	461872.000000	91.800000	
0.225094	461872.000000	90.120000	
0.224707	461872.000000	93.040000	
0.224306	461872.000000	92.980000	
0.223907	461872.000000	94.880000	
0.223506	461872.000000	92.920000	
0.223105	461872.000000	94.480000	
0.222717	461872.000000	94.280000	
0.222318	461872.000000	92.560000	
0.221917	461872.000000	91.220000	
0.221516	461872.000000	89.580000	
0.221117	461872.000000	91.540000	
0.220733	461872.000000	92.580000	
0.220337	461872.000000	90.760000	
0.219941	461872.000000	91.660000	
0.219543	461872.000000	94.460000	
0.219144	461872.000000	93.640000	
0.218762	461872.000000	94.220000	
0.218368	461872.000000	93.520000	
0.217969	461872.000000	85.840000	
0.217575	461872.000000	89.200000	
0.217181	461872.000000	94.400000	
0.216805	461872.000000	92.000000	
0.216413	461872.000000	92.680000	
0.216017	461872.000000	93.260000	
0.215629	461872.000000	93.980000	
0.215237	461872.000000	91.200000	
0.214857	461872.000000	93.740000	
0.214463	461872.000000	93.500000	
0.214073	461872.000000	93.680000	
0.213684	461872.000000	89.420000	
0.213297	461872.000000	94.180000	
0.212926	461872.000000	95.000000	
0.212537	461872.000000	95.100000	
0.212151	461872.000000	95.300000	
0.211762	461872.000000	94.900000	
0.211371	461872.000000	94.420000	
0.210999	461872.000000	88.900000	
0.210615	461872.000000	93.100000	
0.210225	461872.000000	93.800000	
0.209835	461872.000000	93.720000	
0.209451	461872.000000	94.260000	
0.209082	461872.000000	93.940000	
0.208698	461872.000000	91.780000	
0.208313	461872.000000	91.740000	
0.207932	461872.000000	92.680000	
0.207549	461872.000000	94.460000	
