Regularisierer	Zielgroesse	Top1	
8.226893	461872.000000	38.520000	
8.080975	461872.000000	48.540000	
7.934800	461872.000000	48.800000	
7.788791	461872.000000	52.720000	
7.642957	461872.000000	57.920000	
7.502997	461872.000000	58.180000	
7.357755	461872.000000	62.700000	
7.212359	461872.000000	62.720000	
7.067196	461872.000000	63.540000	
6.922143	461872.000000	66.940000	
6.782961	461872.000000	67.080000	
6.638543	461872.000000	67.500000	
6.494082	461872.000000	69.780000	
6.349801	461872.000000	71.560000	
6.205737	461872.000000	69.740000	
6.067562	461872.000000	72.820000	
5.924217	461872.000000	72.820000	
5.780840	461872.000000	70.940000	
5.637734	461872.000000	71.580000	
5.494811	461872.000000	74.820000	
5.357657	461872.000000	74.140000	
5.215504	461872.000000	76.380000	
5.073333	461872.000000	76.560000	
4.931522	461872.000000	76.220000	
4.789958	461872.000000	77.560000	
4.654268	461872.000000	77.960000	
4.513585	461872.000000	77.760000	
4.373077	461872.000000	78.120000	
4.232810	461872.000000	78.380000	
4.093082	461872.000000	80.800000	
3.959172	461872.000000	81.220000	
3.820405	461872.000000	80.980000	
3.681828	461872.000000	81.620000	
3.543851	461872.000000	79.660000	
3.406399	461872.000000	79.580000	
3.274978	461872.000000	80.940000	
3.139229	461872.000000	81.880000	
3.003771	461872.000000	81.680000	
2.869267	461872.000000	83.320000	
2.735546	461872.000000	82.880000	
2.607988	461872.000000	82.760000	
2.476638	461872.000000	80.060000	
2.346154	461872.000000	80.400000	
2.217263	461872.000000	81.120000	
2.090242	461872.000000	83.500000	
1.970193	461872.000000	83.900000	
1.850516	461872.000000	83.420000	
1.743140	461872.000000	81.140000	
1.658060	461872.000000	84.300000	
1.591076	461872.000000	79.460000	
1.432639	362800.000000	78.940000	
1.393266	362800.000000	76.320000	
1.353783	362800.000000	74.980000	
1.315645	362800.000000	80.100000	
1.279327	362800.000000	73.480000	
1.207699	320176.000000	75.580000	
1.176106	320176.000000	79.300000	
1.144432	320176.000000	83.120000	
1.113644	320176.000000	80.140000	
1.083350	320176.000000	78.600000	
1.029763	301744.000000	78.140000	
1.001009	301744.000000	83.580000	
0.972760	301744.000000	77.900000	
0.946515	301744.000000	81.620000	
0.922320	301744.000000	82.440000	
0.882571	262288.000000	77.640000	
0.863458	262288.000000	64.680000	
0.844383	262288.000000	85.740000	
0.825593	262288.000000	83.860000	
0.807120	262288.000000	78.740000	
0.781390	246736.000000	78.700000	
0.763685	246736.000000	82.520000	
0.745783	246736.000000	68.420000	
0.727881	246736.000000	81.740000	
0.710070	246736.000000	83.320000	
0.684857	236368.000000	85.220000	
0.667725	236368.000000	84.260000	
0.650616	236368.000000	76.020000	
0.633535	236368.000000	80.720000	
0.616795	236368.000000	86.300000	
0.593046	224272.000000	81.420000	
0.577218	224272.000000	79.700000	
0.561298	224272.000000	84.780000	
0.545823	224272.000000	82.300000	
0.530275	224272.000000	85.940000	
0.512123	219952.000000	82.740000	
0.497568	219952.000000	78.860000	
0.483877	219952.000000	76.100000	
0.470444	219952.000000	79.280000	
0.458177	219952.000000	85.760000	
0.443133	216496.000000	78.160000	
0.432427	216496.000000	81.560000	
0.422785	216496.000000	74.540000	
0.414577	216496.000000	77.740000	
0.406710	216496.000000	81.280000	
0.399258	216496.000000	75.560000	
0.392695	216496.000000	80.320000	
0.385996	216496.000000	78.500000	
0.379559	216496.000000	86.100000	
0.373930	216496.000000	80.800000	
0.368188	215632.000000	82.800000	
0.362865	215632.000000	70.980000	
0.357636	215632.000000	79.520000	
0.352045	215632.000000	71.760000	
0.346851	215632.000000	72.840000	
0.339365	214480.000000	78.180000	
0.335059	214480.000000	78.740000	
0.330945	214480.000000	83.960000	
0.325932	214480.000000	80.020000	
0.321095	214480.000000	84.320000	
0.313783	213328.000000	66.420000	
0.310049	213328.000000	76.240000	
0.305690	213328.000000	78.480000	
0.302092	213328.000000	77.560000	
0.297713	213328.000000	75.800000	
0.293772	213328.000000	81.800000	
0.290380	213328.000000	81.440000	
0.286447	213328.000000	80.880000	
0.283255	213328.000000	82.120000	
0.279888	213328.000000	73.740000	
0.276399	213328.000000	81.700000	
0.273902	213328.000000	77.020000	
0.270798	213328.000000	81.480000	
0.267889	213328.000000	85.300000	
0.265378	213328.000000	87.440000	
0.262365	213328.000000	82.540000	
0.260161	213328.000000	77.180000	
0.257477	213328.000000	74.240000	
0.255123	213328.000000	68.900000	
0.252548	213328.000000	76.740000	
0.250016	213328.000000	80.480000	
0.247388	213328.000000	80.680000	
0.245099	213328.000000	83.940000	
0.242985	213328.000000	68.140000	
0.241521	213328.000000	70.600000	
0.238712	213328.000000	69.080000	
0.236740	213328.000000	84.680000	
0.234883	213328.000000	78.160000	
0.233246	213328.000000	79.300000	
0.231187	213328.000000	82.600000	
0.228121	211312.000000	75.300000	
0.226479	211312.000000	76.760000	
0.224733	211312.000000	83.840000	
0.223061	211312.000000	86.060000	
0.221331	211312.000000	72.840000	
0.219454	211312.000000	68.820000	
0.217477	211312.000000	81.800000	
0.215988	211312.000000	78.140000	
0.214274	211312.000000	86.580000	
0.212607	211312.000000	75.680000	
0.210554	211312.000000	68.420000	
0.209814	211312.000000	84.800000	
0.208576	211312.000000	69.080000	
0.207400	211312.000000	79.980000	
0.205857	211312.000000	79.260000	
0.201053	210160.000000	86.720000	
0.199962	210160.000000	74.740000	
0.198465	210160.000000	85.920000	
0.196901	210160.000000	79.720000	
0.196377	210160.000000	69.400000	
