Regularisierer	Zielgroesse	Top1	
84.228348	461872.000000	35.380000	
66.993416	461872.000000	38.380000	
49.754902	461872.000000	47.540000	
32.578117	461872.000000	49.840000	
17.322958	461872.000000	45.720000	
10.825720	183088.000000	47.640000	
8.093029	183088.000000	51.300000	
6.061917	183088.000000	52.180000	
4.077684	183088.000000	48.040000	
2.828575	183088.000000	50.920000	
2.325240	58096.000000	51.140000	
1.927484	58096.000000	49.060000	
1.611011	58096.000000	52.180000	
1.366461	58096.000000	53.060000	
1.138917	58096.000000	52.700000	
0.926253	45136.000000	48.360000	
0.722903	45136.000000	43.240000	
0.562235	45136.000000	36.780000	
0.483087	45136.000000	42.140000	
0.431041	45136.000000	50.240000	
0.353669	39664.000000	41.200000	
0.323826	39664.000000	37.460000	
0.299384	39664.000000	44.060000	
0.286517	39664.000000	35.940000	
0.281973	39664.000000	34.980000	
0.277509	38800.000000	27.200000	
0.276524	38800.000000	33.580000	
0.276073	38800.000000	46.720000	
0.275908	38800.000000	29.620000	
0.276227	38800.000000	36.440000	
0.274782	38512.000000	25.920000	
0.274816	38512.000000	32.760000	
0.275167	38512.000000	40.160000	
0.274960	38512.000000	42.540000	
0.275848	38512.000000	43.520000	
0.273682	38224.000000	22.820000	
0.274793	38224.000000	28.440000	
0.273879	38224.000000	36.760000	
0.274692	38224.000000	51.420000	
0.273884	38224.000000	44.740000	
0.273112	38224.000000	34.160000	
0.272627	38224.000000	39.960000	
0.273172	38224.000000	34.940000	
0.272581	38224.000000	46.300000	
0.271359	38224.000000	24.500000	
0.270486	38224.000000	46.000000	
0.269977	38224.000000	39.200000	
0.269002	38224.000000	30.920000	
0.269640	38224.000000	31.880000	
0.269326	38224.000000	37.360000	
0.269034	38224.000000	49.680000	
0.267864	38224.000000	33.780000	
0.266651	38224.000000	50.440000	
0.267469	38224.000000	37.800000	
0.266321	38224.000000	41.680000	
0.264320	38224.000000	48.620000	
0.264199	38224.000000	18.760000	
0.265539	38224.000000	21.680000	
0.264964	38224.000000	40.680000	
0.262353	38224.000000	35.160000	
0.261706	38224.000000	25.660000	
0.262190	38224.000000	39.900000	
0.261413	38224.000000	34.800000	
0.261260	38224.000000	45.680000	
0.261136	38224.000000	44.540000	
0.260023	38224.000000	36.300000	
0.259783	38224.000000	37.740000	
0.258698	38224.000000	29.580000	
0.258495	38224.000000	24.640000	
0.257554	38224.000000	46.580000	
0.256676	38224.000000	45.400000	
0.256094	38224.000000	40.280000	
0.256869	38224.000000	31.160000	
0.255866	38224.000000	45.400000	
0.255134	38224.000000	30.420000	
0.253468	37448.000000	62.520000	
0.252391	37448.000000	26.120000	
0.252019	37448.000000	30.100000	
0.251271	37448.000000	44.700000	
0.250614	37448.000000	35.120000	
0.249365	36572.000000	29.720000	
0.249738	36572.000000	29.780000	
0.250122	36572.000000	35.340000	
0.248576	36572.000000	49.480000	
0.248145	36572.000000	40.280000	
0.249405	36328.000000	31.300000	
0.247229	36328.000000	34.980000	
0.246519	36328.000000	30.620000	
0.245706	36328.000000	44.080000	
0.247511	36328.000000	52.420000	
0.243820	35596.000000	25.500000	
0.245227	35596.000000	40.000000	
0.243713	35596.000000	26.820000	
0.244629	35596.000000	30.580000	
0.244554	35596.000000	37.500000	
0.241835	35108.000000	19.840000	
0.242297	35108.000000	43.160000	
0.240828	35108.000000	51.520000	
0.242623	35108.000000	35.520000	
0.240206	35108.000000	22.900000	
0.240205	34620.000000	45.580000	
0.239902	34620.000000	60.740000	
0.238707	34620.000000	39.540000	
0.240117	34620.000000	20.140000	
0.239612	34620.000000	57.500000	
0.238812	34620.000000	42.800000	
0.239239	34620.000000	45.180000	
0.237736	34620.000000	43.480000	
0.238166	34620.000000	36.020000	
0.237516	34620.000000	27.580000	
0.236589	34376.000000	34.160000	
0.237116	34376.000000	47.260000	
0.236278	34376.000000	28.140000	
0.235471	34376.000000	38.140000	
0.235142	34376.000000	58.300000	
0.234441	33644.000000	42.240000	
0.236131	33644.000000	52.260000	
0.233904	33644.000000	61.100000	
0.234535	33644.000000	62.040000	
0.233758	33644.000000	46.180000	
0.232363	33156.000000	42.600000	
0.231861	33156.000000	40.560000	
0.232122	33156.000000	27.160000	
0.232507	33156.000000	39.340000	
0.232903	33156.000000	33.280000	
0.232215	32912.000000	37.460000	
0.231860	32912.000000	34.100000	
0.230729	32912.000000	38.140000	
0.231112	32912.000000	49.040000	
0.231246	32912.000000	45.360000	
0.230306	32280.000000	44.480000	
0.230249	32280.000000	42.080000	
0.230325	32280.000000	26.700000	
0.230437	32280.000000	36.560000	
0.231002	32280.000000	23.800000	
0.229322	32036.000000	58.380000	
0.229874	32036.000000	44.280000	
0.229983	32036.000000	38.240000	
0.228926	32036.000000	52.560000	
0.227620	32036.000000	41.880000	
0.228461	31548.000000	41.480000	
0.227887	31548.000000	40.060000	
0.227590	31548.000000	38.360000	
0.227599	31548.000000	35.560000	
0.227155	31548.000000	61.440000	
0.225566	31548.000000	30.040000	
0.228401	31548.000000	45.620000	
0.227724	31548.000000	29.260000	
0.226809	31548.000000	23.760000	
0.226721	31548.000000	54.020000	
0.225198	30816.000000	17.040000	
0.224959	30816.000000	52.820000	
0.225605	30816.000000	54.560000	
0.225377	30816.000000	34.700000	
0.224444	30816.000000	53.380000	
0.223901	30816.000000	51.020000	
0.225253	30816.000000	44.280000	
0.224760	30816.000000	41.580000	
0.224806	30816.000000	27.620000	
0.226738	30816.000000	26.860000	
