Regularisierer	Zielgroesse	Top1	Trainingszeit	
0.000000	68862592.000000	36.160000	21.622336	
0.000000	68862592.000000	50.210000	23.961682	
0.000000	68862592.000000	51.740000	23.444787	
0.000000	68862592.000000	65.860000	27.468127	
0.000000	68862592.000000	58.710000	22.456873	
0.000000	68862592.000000	65.160000	22.930439	
0.000000	68862592.000000	74.340000	24.940301	
0.000000	68862592.000000	73.620000	22.845837	
0.000000	68862592.000000	72.620000	21.770771	
0.000000	68862592.000000	73.510000	24.503644	
0.000000	68862592.000000	77.280000	23.256095	
0.000000	68862592.000000	75.300000	22.681273	
0.000000	68862592.000000	75.480000	21.827899	
0.000000	68862592.000000	76.450000	27.021802	
0.000000	68862592.000000	71.200000	24.046533	
0.000000	68862592.000000	77.620000	27.048553	
0.000000	68862592.000000	76.210000	23.395555	
0.000000	68862592.000000	80.160000	27.451266	
0.000000	68862592.000000	80.690000	21.836283	
0.000000	68862592.000000	73.870000	24.905920	
0.000000	68862592.000000	75.920000	23.413492	
0.000000	68862592.000000	75.610000	24.133055	
0.000000	68862592.000000	77.770000	22.658009	
0.000000	68862592.000000	79.000000	24.562518	
0.000000	68862592.000000	74.360000	22.368439	
0.000000	68862592.000000	81.820000	22.127460	
0.000000	68862592.000000	80.550000	22.150031	
0.000000	68862592.000000	72.580000	26.150126	
0.000000	68862592.000000	77.050000	23.321342	
0.000000	68862592.000000	78.730000	22.014072	
0.000000	68862592.000000	80.440000	25.261398	
0.000000	68862592.000000	81.370000	24.710508	
0.000000	68862592.000000	76.470000	23.422305	
0.000000	68862592.000000	84.350000	21.892985	
0.000000	68862592.000000	78.510000	24.525562	
0.000000	68862592.000000	76.830000	22.981351	
0.000000	68862592.000000	76.980000	27.006868	
0.000000	68862592.000000	81.760000	22.417158	
0.000000	68862592.000000	75.560000	24.108562	
0.000000	68862592.000000	80.780000	22.976649	
0.000000	68862592.000000	81.440000	21.987986	
0.000000	68862592.000000	73.620000	22.827738	
0.000000	68862592.000000	84.230000	23.004006	
0.000000	68862592.000000	79.050000	22.392798	
0.000000	68862592.000000	78.720000	26.847051	
0.000000	68862592.000000	75.740000	24.343754	
0.000000	68862592.000000	77.710000	21.841026	
0.000000	68862592.000000	79.960000	23.129218	
0.000000	68862592.000000	75.290000	23.733177	
0.000000	68862592.000000	84.100000	21.833143	
0.000000	68862592.000000	81.490000	24.351192	
0.000000	68862592.000000	80.700000	21.953568	
0.000000	68862592.000000	80.580000	22.748599	
0.000000	68862592.000000	80.440000	22.959878	
0.000000	68862592.000000	78.410000	22.691715	
0.000000	68862592.000000	82.330000	23.014262	
0.000000	68862592.000000	80.290000	21.889705	
0.000000	68862592.000000	80.700000	21.963686	
0.000000	68862592.000000	80.110000	22.690320	
0.000000	68862592.000000	80.510000	23.344679	
0.000000	68862592.000000	83.200000	23.107895	
0.000000	68862592.000000	82.300000	23.127518	
0.000000	68862592.000000	82.140000	23.745603	
0.000000	68862592.000000	79.280000	23.032320	
0.000000	68862592.000000	83.760000	24.073702	
0.000000	68862592.000000	82.080000	23.370552	
0.000000	68862592.000000	81.720000	23.552179	
0.000000	68862592.000000	74.420000	23.551720	
0.000000	68862592.000000	83.550000	22.947250	
0.000000	68862592.000000	82.880000	23.649453	
0.000000	68862592.000000	82.710000	22.891469	
0.000000	68862592.000000	84.230000	23.660625	
0.000000	68862592.000000	86.340000	22.511581	
0.000000	68862592.000000	78.200000	22.982300	
0.000000	68862592.000000	83.990000	22.674807	
0.000000	68862592.000000	79.460000	23.039022	
0.000000	68862592.000000	78.360000	23.939865	
0.000000	68862592.000000	82.080000	23.307563	
0.000000	68862592.000000	79.870000	23.525475	
0.000000	68862592.000000	80.950000	23.344835	
0.000000	68862592.000000	85.580000	23.393184	
0.000000	68862592.000000	75.150000	22.448992	
0.000000	68862592.000000	80.030000	22.956428	
0.000000	68862592.000000	84.470000	23.717942	
0.000000	68862592.000000	84.480000	23.119573	
0.000000	68862592.000000	84.750000	22.784131	
