Regularisierer	Zielgroesse	Top1	
13.470598	461872.000000	38.770000	
13.007499	461872.000000	45.910000	
12.543474	461872.000000	49.620000	
12.079689	461872.000000	55.280000	
11.616203	461872.000000	56.580000	
11.171402	461872.000000	60.060000	
10.710127	461872.000000	61.670000	
10.248556	461872.000000	62.820000	
9.787971	461872.000000	62.680000	
9.328503	461872.000000	66.790000	
8.888218	461872.000000	66.730000	
8.432540	461872.000000	68.220000	
7.978589	461872.000000	70.180000	
7.529014	461872.000000	68.420000	
7.085366	461872.000000	66.470000	
6.669599	461872.000000	69.310000	
6.262981	461872.000000	68.460000	
5.931005	461872.000000	67.680000	
5.662960	461872.000000	62.290000	
5.413890	461872.000000	62.550000	
5.170412	461872.000000	53.520000	
4.944376	461872.000000	74.470000	
4.725639	461872.000000	66.900000	
4.515511	461872.000000	63.610000	
4.311779	461872.000000	48.300000	
4.114756	461872.000000	53.750000	
3.925612	461872.000000	63.140000	
3.736281	461872.000000	67.220000	
3.550001	461872.000000	67.540000	
3.364019	461872.000000	69.480000	
3.182575	461872.000000	66.330000	
3.006224	461872.000000	61.960000	
2.835632	461872.000000	62.920000	
2.686310	461872.000000	62.170000	
2.570038	461872.000000	71.470000	
2.475182	461872.000000	65.270000	
2.391718	461872.000000	48.880000	
2.312463	461872.000000	60.840000	
2.230245	461872.000000	29.610000	
2.150767	461872.000000	66.620000	
2.071849	461872.000000	63.690000	
1.997628	461872.000000	54.510000	
1.922629	461872.000000	69.780000	
1.850576	461872.000000	49.910000	
1.783558	461872.000000	68.830000	
1.717158	461872.000000	64.130000	
1.655166	461872.000000	65.960000	
1.593803	461872.000000	70.620000	
1.531794	461872.000000	70.440000	
1.470539	461872.000000	48.920000	
1.409271	461872.000000	65.560000	
1.350984	461872.000000	57.910000	
1.291055	461872.000000	72.430000	
1.233461	461872.000000	66.460000	
1.174281	461872.000000	63.420000	
1.115998	461872.000000	63.520000	
1.057735	461872.000000	49.750000	
1.000479	461872.000000	74.340000	
0.942988	461872.000000	63.540000	
0.886262	461872.000000	67.490000	
0.828230	461872.000000	70.220000	
0.773991	461872.000000	65.410000	
0.720176	461872.000000	78.220000	
0.668877	461872.000000	76.690000	
0.619147	461872.000000	66.080000	
0.570206	461872.000000	64.370000	
0.535138	461872.000000	63.330000	
0.505400	461872.000000	66.630000	
0.484619	461872.000000	71.660000	
0.467570	461872.000000	56.010000	
0.407166	461872.000000	42.660000	
0.399002	461872.000000	58.000000	
0.390617	461872.000000	65.800000	
0.383901	461872.000000	75.310000	
0.376079	461872.000000	63.170000	
0.353996	461872.000000	78.110000	
0.350186	461872.000000	61.590000	
0.343245	461872.000000	65.560000	
0.337837	461872.000000	72.790000	
0.332847	461872.000000	71.670000	
0.320608	461872.000000	63.520000	
0.316187	461872.000000	39.240000	
0.312035	461872.000000	77.590000	
0.306500	461872.000000	75.280000	
0.303935	461872.000000	67.250000	
0.289969	461872.000000	63.490000	
0.287529	461872.000000	63.630000	
0.286083	461872.000000	75.260000	
0.283367	461872.000000	76.440000	
0.283824	461872.000000	58.290000	
0.275375	461872.000000	73.230000	
0.276288	461872.000000	74.210000	
0.273813	461872.000000	69.780000	
0.274434	461872.000000	63.150000	
0.273279	461872.000000	64.830000	
0.263449	461872.000000	74.120000	
0.264364	461872.000000	63.590000	
0.263696	461872.000000	59.710000	
0.264351	461872.000000	68.370000	
0.264796	461872.000000	74.320000	
0.259097	461872.000000	70.820000	
0.260520	461872.000000	57.400000	
0.258985	461872.000000	66.950000	
0.259995	461872.000000	73.360000	
0.259026	461872.000000	63.340000	
0.256669	461872.000000	62.240000	
0.258072	461872.000000	69.220000	
0.258146	461872.000000	76.650000	
0.258349	461872.000000	70.300000	
0.258194	461872.000000	59.160000	
0.252580	461872.000000	71.150000	
0.252173	461872.000000	81.040000	
0.252948	461872.000000	72.370000	
0.252928	461872.000000	71.290000	
0.252143	461872.000000	65.040000	
0.250114	461872.000000	63.330000	
0.251687	461872.000000	61.790000	
0.250863	461872.000000	65.440000	
0.250892	461872.000000	40.260000	
0.250724	461872.000000	54.500000	
0.243689	461872.000000	57.160000	
0.244686	461872.000000	57.250000	
0.245488	461872.000000	66.590000	
0.245918	461872.000000	62.230000	
0.245269	461872.000000	62.830000	
0.241960	461872.000000	78.780000	
0.243494	461872.000000	74.060000	
0.244023	461872.000000	71.340000	
0.244581	461872.000000	56.250000	
0.243540	461872.000000	71.800000	
0.240662	461872.000000	66.970000	
0.241856	461872.000000	69.190000	
0.241962	461872.000000	64.720000	
0.241733	461872.000000	61.620000	
0.241913	461872.000000	72.970000	
0.238825	461872.000000	70.920000	
0.238822	461872.000000	66.460000	
0.239459	461872.000000	59.760000	
0.238717	461872.000000	68.590000	
0.238902	461872.000000	60.480000	
0.236263	461872.000000	68.300000	
0.238259	461872.000000	80.360000	
0.236617	461872.000000	65.040000	
0.234827	461872.000000	62.230000	
0.235700	461872.000000	69.050000	
0.231925	461872.000000	60.550000	
0.233681	461872.000000	52.850000	
0.234729	461872.000000	74.540000	
0.234931	461872.000000	72.300000	
0.233944	461872.000000	65.260000	
0.231035	461872.000000	72.570000	
0.232254	461872.000000	73.130000	
0.234196	461872.000000	62.130000	
0.233475	461872.000000	75.040000	
0.234943	461872.000000	70.790000	
0.231941	461872.000000	74.090000	
0.232352	461872.000000	79.340000	
0.234099	461872.000000	78.550000	
0.233198	461872.000000	59.850000	
0.232726	461872.000000	75.640000	
0.229845	461872.000000	81.910000	
0.230426	461872.000000	76.660000	
0.230898	461872.000000	77.780000	
0.230597	461872.000000	76.500000	
0.230985	461872.000000	77.760000	
0.230326	461872.000000	72.640000	
0.230154	461872.000000	60.860000	
0.232852	461872.000000	63.400000	
0.231329	461872.000000	53.600000	
0.230186	461872.000000	71.100000	
0.226687	461872.000000	72.150000	
0.229151	461872.000000	78.450000	
0.229757	461872.000000	74.810000	
0.228397	461872.000000	72.750000	
0.228579	461872.000000	70.880000	
0.225126	461872.000000	73.070000	
0.226006	461872.000000	75.300000	
0.225810	461872.000000	75.960000	
0.226113	461872.000000	75.420000	
0.226836	461872.000000	70.950000	
0.000000	0.000000	73.140000	
