Regularisierer	Zielgroesse	Top1	
23.300787	461872.000000	35.150000	
21.898293	461872.000000	43.320000	
20.494164	461872.000000	50.100000	
19.091684	461872.000000	53.550000	
17.691521	461872.000000	57.390000	
16.349218	461872.000000	57.760000	
14.960502	461872.000000	60.290000	
13.578544	461872.000000	60.900000	
12.217950	461872.000000	58.840000	
10.940898	461872.000000	37.260000	
10.030029	461872.000000	44.840000	
9.301431	461872.000000	57.020000	
8.613253	461872.000000	63.460000	
7.952763	461872.000000	58.880000	
7.331004	461872.000000	63.600000	
6.741276	461872.000000	63.180000	
6.172576	461872.000000	62.840000	
5.605984	461872.000000	61.850000	
5.053682	461872.000000	47.670000	
4.584384	461872.000000	37.190000	
4.282439	461872.000000	18.990000	
4.036877	461872.000000	56.130000	
3.794029	461872.000000	38.200000	
3.559274	461872.000000	50.930000	
3.324873	461872.000000	38.980000	
3.095045	461872.000000	47.620000	
2.896083	461872.000000	60.200000	
2.709100	461872.000000	72.450000	
2.522690	461872.000000	50.140000	
2.339306	461872.000000	56.220000	
2.156202	461872.000000	63.500000	
1.976019	461872.000000	66.300000	
1.794510	461872.000000	68.090000	
1.615972	461872.000000	69.510000	
1.440407	461872.000000	50.970000	
1.262037	461872.000000	51.930000	
1.094327	461872.000000	59.870000	
0.932656	461872.000000	62.680000	
0.797021	461872.000000	27.720000	
0.709512	461872.000000	51.720000	
0.568718	461872.000000	41.350000	
0.547544	461872.000000	56.390000	
0.524956	461872.000000	42.210000	
0.504515	461872.000000	55.240000	
0.485018	461872.000000	50.590000	
0.421003	461872.000000	64.890000	
0.409556	461872.000000	63.860000	
0.394582	461872.000000	52.070000	
0.382035	461872.000000	64.750000	
0.371614	461872.000000	54.850000	
0.343715	461872.000000	53.790000	
0.337252	461872.000000	53.330000	
0.336462	461872.000000	46.300000	
0.334791	461872.000000	53.090000	
0.333729	461872.000000	52.870000	
0.321915	461872.000000	61.140000	
0.322749	461872.000000	57.500000	
0.320886	461872.000000	60.990000	
0.321793	461872.000000	63.730000	
0.318793	461872.000000	68.280000	
0.302691	461872.000000	48.320000	
0.304947	461872.000000	41.720000	
0.302041	461872.000000	62.870000	
0.301950	461872.000000	73.480000	
0.302285	461872.000000	31.550000	
0.284268	461872.000000	66.680000	
0.287435	461872.000000	44.940000	
0.286199	461872.000000	71.970000	
0.285470	461872.000000	71.800000	
0.283718	461872.000000	52.850000	
0.278626	461872.000000	60.410000	
0.279956	461872.000000	73.740000	
0.279677	461872.000000	37.550000	
0.278194	461872.000000	49.770000	
0.280497	461872.000000	42.710000	
0.273755	461872.000000	62.410000	
0.273015	461872.000000	60.720000	
0.273351	461872.000000	68.060000	
0.273257	461872.000000	61.560000	
0.273420	461872.000000	45.690000	
0.266883	461872.000000	62.750000	
0.267362	461872.000000	57.550000	
0.265515	461872.000000	46.830000	
0.268120	461872.000000	72.150000	
0.268569	461872.000000	54.050000	
0.263752	461872.000000	47.530000	
0.265210	461872.000000	64.030000	
0.265399	461872.000000	56.300000	
0.263767	461872.000000	52.830000	
0.263605	461872.000000	61.090000	
0.261000	461872.000000	62.080000	
0.261245	461872.000000	58.080000	
0.262683	461872.000000	74.230000	
0.262797	461872.000000	59.040000	
0.262168	461872.000000	67.740000	
0.257430	461872.000000	77.290000	
0.257826	461872.000000	70.600000	
0.257106	461872.000000	70.360000	
0.257341	461872.000000	38.130000	
0.258515	461872.000000	55.580000	
0.251231	461872.000000	59.260000	
0.254195	461872.000000	70.310000	
0.252786	461872.000000	62.520000	
0.252801	461872.000000	50.270000	
0.252478	461872.000000	60.450000	
0.249314	461872.000000	60.360000	
0.251811	461872.000000	56.550000	
0.251272	461872.000000	78.530000	
0.250033	461872.000000	57.780000	
0.249645	461872.000000	46.220000	
0.250564	461872.000000	74.510000	
0.249552	461872.000000	65.590000	
0.249064	461872.000000	56.860000	
0.250185	461872.000000	69.800000	
0.250183	461872.000000	75.740000	
0.245975	461872.000000	66.200000	
0.248906	461872.000000	48.160000	
0.249879	461872.000000	46.040000	
0.247628	461872.000000	73.050000	
0.249068	461872.000000	38.060000	
0.246495	461872.000000	39.220000	
0.247414	461872.000000	62.390000	
0.247576	461872.000000	77.150000	
0.248444	461872.000000	57.390000	
0.248676	461872.000000	40.910000	
0.245212	461872.000000	53.150000	
0.246003	461872.000000	71.630000	
0.246306	461872.000000	41.730000	
0.245548	461872.000000	60.170000	
0.245255	461872.000000	71.710000	
0.243070	461872.000000	56.390000	
0.243634	461872.000000	66.710000	
0.244356	461872.000000	36.770000	
0.244329	461872.000000	55.890000	
0.244480	461872.000000	67.200000	
0.240404	461872.000000	40.970000	
0.240859	461872.000000	64.260000	
0.240897	461872.000000	68.850000	
0.240239	461872.000000	78.960000	
0.240384	461872.000000	61.830000	
0.239234	461872.000000	65.250000	
0.242184	461872.000000	55.040000	
0.241893	461872.000000	58.550000	
0.241263	461872.000000	71.640000	
0.239816	461872.000000	59.070000	
0.238512	461872.000000	72.620000	
0.241635	461872.000000	63.230000	
0.240073	461872.000000	56.790000	
0.239338	461872.000000	63.420000	
0.240493	461872.000000	68.470000	
0.240989	461872.000000	57.540000	
0.241038	461872.000000	65.530000	
0.240286	461872.000000	58.080000	
0.240801	461872.000000	53.640000	
0.239818	461872.000000	65.760000	
0.239267	461872.000000	59.190000	
0.240329	461872.000000	69.770000	
0.240906	461872.000000	72.330000	
0.240564	461872.000000	69.240000	
0.241579	461872.000000	70.520000	
0.239899	461872.000000	59.330000	
0.241494	461872.000000	66.630000	
0.237961	461872.000000	64.690000	
0.237525	461872.000000	59.240000	
0.239770	461872.000000	70.770000	
0.236782	461872.000000	41.000000	
0.238430	461872.000000	72.410000	
0.237481	461872.000000	72.500000	
0.237782	461872.000000	71.280000	
0.239015	461872.000000	52.760000	
0.235634	461872.000000	72.440000	
0.235644	461872.000000	64.130000	
0.237372	461872.000000	76.050000	
0.237465	461872.000000	82.100000	
0.236048	461872.000000	57.110000	
0.234911	461872.000000	64.710000	
0.236411	461872.000000	63.470000	
0.236039	461872.000000	53.450000	
0.235675	461872.000000	60.800000	
0.235713	461872.000000	69.700000	
0.000000	0.000000	56.880000	
