BatchSize Time
10 2440.807
20 1218.715
30 810.861
40 606.952
50 486.194
60 405.783
70 346.860
80 302.729
90 270.349
100 241.324
110 220.056
120 201.570
130 186.810
140 173.152
150 159.535
160 152.322
170 143.276
180 134.963
190 128.261
200 121.198
210 115.671
220 109.974
230 105.028
240 100.630
250 96.551
260 93.044
270 89.697
280 86.040
290 83.483
300 80.399
310 78.187
320 75.802
330 73.571
340 71.462
350 69.111
360 67.231
370 65.864
380 63.350
390 62.272
400 60.108
410 58.841
420 57.875
430 56.632
440 54.932
450 54.495
460 53.022
470 51.814
480 51.039
490 50.042
500 48.437
510 48.179
520 47.174
530 46.136
540 45.081
550 44.279
560 43.731
570 42.650
580 42.318
590 41.182
600 40.657
610 39.945
620 39.440
630 37.684
640 38.563
650 37.582
660 37.080
670 36.565
680 36.086
690 35.616
700 34.941
710 35.060
720 33.464
730 32.486
740 33.233
750 32.888
760 32.493
770 30.880
780 31.941
790 31.129
800 29.839
810 30.667
820 28.824
830 30.198
840 28.664
850 28.114
860 28.104
870 27.615
880 27.262
890 27.189
900 27.028
910 26.316
920 26.426
930 25.830
940 25.903
950 26.568
960 25.723
970 25.145
980 25.200
990 24.546
1000 24.228
1010 24.027
1020 24.194
1030 23.866
1040 23.657
1050 23.157
1060 23.208
1070 22.673
1080 22.701
1090 22.173
1100 22.499
1110 22.437
1120 21.852
1130 22.078
1140 21.491
1150 21.308
1160 21.325
1170 20.957
1180 21.308
1190 21.019
1200 20.657
1210 20.655
1220 20.275
1230 20.190
1240 20.213
1250 19.884
1260 19.803
1270 19.865
1280 20.101
1290 19.399
1300 19.594
1310 19.590
1320 18.993
1330 19.034
1340 19.288
1350 19.259
1360 18.695
1370 18.658
1380 18.744
1390 18.279
1400 18.322
1410 18.485
1420 18.414
1430 17.936
1440 17.783
1450 17.789
1460 17.974
1470 17.606
1480 17.347
1490 17.366
1500 17.564
1510 17.214
1520 16.894
1530 16.978
1540 16.865
1550 16.744
1560 17.031
1570 16.426
1580 16.570
1590 16.679
1600 16.536
1610 16.415
1620 16.155
1630 16.007
1640 16.191
1650 16.210
1660 16.189
1670 15.579
1680 15.604
1690 15.559
1700 15.769
1710 15.726
1720 15.531
1730 15.245
1740 15.159
1750 15.068
1760 15.219
1770 15.274
1780 15.082
1790 14.774
1800 14.753
1810 14.759
1820 14.662
1830 14.739
1840 14.873
1850 14.664
1860 14.345
