LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.043885	1.941554	23.028000	30.080000	33.095460	3.239655	
0.100000	1.762497	1.755550	34.262000	37.240000	33.778752	3.087808	
0.100000	1.509387	1.450069	44.770000	47.910000	33.805268	3.165025	
0.100000	1.209120	1.400758	56.352000	54.990000	34.082864	3.190894	
0.100000	0.961903	1.081383	65.934000	63.030000	34.120090	3.176157	
0.100000	0.822581	1.258631	71.438000	59.910000	34.033229	3.135668	
0.100000	0.724442	0.807758	75.152000	71.840000	33.865342	3.190768	
0.100000	0.668195	0.863450	77.056000	70.560000	33.756292	3.170520	
0.100000	0.623277	0.994483	78.472000	67.660000	33.781998	3.197421	
0.100000	0.584685	0.921886	79.908000	70.290000	33.939716	3.225343	
0.100000	0.564242	1.288976	80.506000	60.580000	33.631362	3.201286	
0.100000	0.535427	0.810166	81.602000	74.540000	34.019516	3.000053	
0.100000	0.517821	0.789339	82.244000	74.170000	33.866096	3.228381	
0.100000	0.504733	0.819936	82.504000	71.420000	33.878653	3.179068	
0.100000	0.490962	1.095704	83.162000	67.890000	33.672872	3.148053	
0.100000	0.479224	0.760986	83.488000	75.700000	33.875780	3.040161	
0.100000	0.467626	0.854398	84.008000	73.670000	33.824628	3.170281	
0.100000	0.457874	0.575077	84.336000	81.360000	33.541736	3.096725	
0.100000	0.445817	0.622240	84.632000	79.140000	33.913560	3.179547	
0.100000	0.438030	0.782088	84.974000	74.270000	33.774369	3.015846	
0.100000	0.434913	0.582067	85.040000	80.430000	33.905337	3.093830	
0.100000	0.420364	0.759494	85.642000	73.710000	33.865245	3.121783	
0.100000	0.412890	0.645997	85.766000	78.680000	34.002548	3.101847	
0.100000	0.410519	0.568870	85.948000	80.830000	33.868115	3.217890	
0.100000	0.403819	0.624141	86.200000	79.900000	33.577477	3.153620	
0.100000	0.401764	0.718280	86.206000	77.460000	33.889498	3.057480	
0.100000	0.399052	0.713933	86.320000	77.360000	33.737997	3.188277	
0.100000	0.388540	0.692303	86.814000	77.870000	33.632561	3.022762	
0.100000	0.383865	0.616907	86.738000	80.780000	33.912052	3.168573	
0.100000	0.374462	0.634926	87.136000	80.400000	33.929076	3.199056	
0.100000	0.371788	0.627433	87.246000	79.590000	33.828921	3.170735	
0.100000	0.370397	0.656722	87.228000	79.600000	34.140896	3.110011	
0.100000	0.366221	0.650729	87.420000	79.910000	33.619098	3.377622	
0.100000	0.367107	0.638419	87.454000	80.310000	33.641541	3.141825	
0.100000	0.361650	0.502457	87.644000	83.400000	33.886642	2.991966	
0.100000	0.361514	0.668324	87.596000	78.780000	33.927804	3.063660	
0.100000	0.353123	0.727609	87.906000	77.870000	33.885449	3.343148	
0.100000	0.352302	0.738520	87.868000	77.090000	33.827551	3.134253	
0.100000	0.345736	0.713314	88.224000	78.080000	33.709677	3.045650	
0.100000	0.345088	1.016023	88.164000	72.020000	33.842902	3.544792	
0.100000	0.336475	0.484087	88.488000	84.480000	33.870286	3.139824	
0.100000	0.336627	0.564398	88.482000	81.290000	33.874324	3.005490	
0.100000	0.333086	0.511831	88.708000	83.480000	33.640942	3.102552	
0.100000	0.331223	0.671658	88.608000	77.470000	33.883542	3.068469	
0.100000	0.337586	0.572658	88.426000	81.650000	33.988312	3.133899	
0.100000	0.332001	0.608388	88.516000	80.560000	33.794434	3.189882	
0.100000	0.316097	0.708943	89.244000	77.990000	33.801927	3.086020	
0.100000	0.322207	0.675034	88.910000	78.750000	33.856417	3.093524	
0.100000	0.316199	0.754010	89.240000	77.940000	34.015764	3.067677	
0.100000	0.321744	0.534744	88.936000	82.470000	33.883047	3.155856	
0.100000	0.317476	0.535626	89.010000	82.960000	33.875552	3.117675	
0.100000	0.310189	0.635260	89.380000	80.940000	33.783256	3.143167	
0.100000	0.308507	0.922633	89.370000	74.380000	33.807539	3.269376	
0.100000	0.316213	1.154211	89.150000	70.950000	33.720484	3.046994	
0.100000	0.312020	0.445870	89.296000	85.140000	33.874051	3.159359	
0.100000	0.307106	0.697807	89.408000	77.920000	33.734900	3.122757	
0.100000	0.312965	0.657206	89.318000	79.090000	33.692012	3.144106	
0.100000	0.304057	0.624728	89.628000	80.740000	33.848325	3.014061	
0.100000	0.311013	0.557589	89.434000	81.690000	34.009406	3.155480	
0.100000	0.299345	0.676576	89.712000	78.990000	33.615309	3.055805	
0.100000	0.306115	0.474248	89.460000	84.690000	33.993701	3.105837	
0.100000	0.296963	0.534843	89.684000	83.140000	33.784366	3.009163	
0.100000	0.298381	0.566515	89.748000	82.030000	33.907290	3.296619	
0.100000	0.301712	0.558497	89.578000	82.070000	33.621981	3.086108	
0.100000	0.302211	0.467028	89.660000	84.380000	33.937111	3.138573	
0.100000	0.297973	0.696975	89.732000	78.870000	33.762851	3.055712	
0.100000	0.295969	0.482776	89.860000	84.510000	33.735311	3.064866	
0.100000	0.295359	0.623349	89.716000	81.490000	33.708585	3.071243	
0.100000	0.294786	0.562011	89.920000	82.430000	33.783829	3.276639	
0.100000	0.296853	0.588634	89.716000	81.670000	33.548947	3.234789	
0.100000	0.293425	0.581194	89.966000	81.960000	33.520650	3.230699	
0.100000	0.293610	0.451028	90.048000	84.860000	33.995193	3.089537	
0.100000	0.286216	0.514913	90.172000	83.930000	34.413268	3.300683	
0.100000	0.288259	0.485800	90.158000	84.310000	34.006368	3.070172	
0.100000	0.289920	0.600386	90.070000	80.480000	34.486916	3.258843	
0.100000	0.291713	1.091345	89.986000	70.770000	34.678609	3.264853	
0.100000	0.283472	0.534050	90.186000	82.660000	34.699960	3.366239	
0.100000	0.285368	0.577571	90.144000	81.820000	34.047324	3.292796	
0.100000	0.292217	0.537233	89.992000	82.050000	34.875860	3.750115	
0.100000	0.282848	0.500227	90.308000	83.510000	34.562977	3.155091	
0.100000	0.284272	0.567604	90.220000	82.020000	34.670027	3.097374	
0.100000	0.290678	0.566689	89.956000	82.340000	34.374627	3.482998	
0.100000	0.281566	0.575974	90.342000	81.890000	34.530956	3.224972	
0.100000	0.276912	0.574948	90.414000	82.390000	35.185348	3.209851	
