batch time
10 1527.104
20 775.894
30 523.852
40 399.144
50 336.274
60 284.930
70 249.306
80 221.026
90 200.484
100 183.653
110 169.407
120 157.438
130 147.343
140 138.992
150 132.515
160 126.307
170 120.656
180 116.403
190 112.631
200 108.039
210 106.893
220 103.671
230 100.588
240 98.354
250 95.504
260 92.276
270 91.381
280 89.293
290 87.029
300 84.090
310 83.753
320 82.193
330 80.789
340 78.635
350 77.995
360 77.345
370 77.067
380 75.822
390 74.884
400 73.014
410 71.952
420 72.111
430 72.114
440 71.341
450 71.016
460 70.005
470 69.700
480 69.065
490 68.934
500 66.800
510 66.283
520 65.754
530 65.871
540 65.638
550 65.502
560 64.103
570 63.811
580 63.341
590 62.640
600 62.103
610 61.809
620 61.246
630 61.169
640 60.625
650 59.718
660 58.833
670 58.103
680 56.970
690 50.860
700 50.464
710 54.923
720 54.529
730 54.194
740 53.923
750 53.476
760 53.116
770 52.676
780 52.666
790 52.180
800 51.830
810 51.400
820 51.034
830 50.916
840 50.657
850 50.450
860 50.338
870 50.079
880 49.398
890 49.548
900 49.118
910 48.716
920 48.672
930 48.373
940 48.226
950 47.966
960 47.828
970 47.607
980 47.527
990 47.188
1000 46.726
1010 46.862
