lr acc time
0.01 73.78 40.242s
0.02 64.24 40.202s
0.03 72.27 40.223s
0.04 66.06 40.275s
0.05 77.1 40.229s
0.06 75.74 40.321s
0.07 74.99 40.207s
0.08 71.46 40.363s
0.09 74.24 40.399s
0.1 74.93 40.767s
0.11 61.28 40.652s
0.12 76.0 40.682s
0.13 70.9 40.739s
0.14 68.0 40.993s
0.15 73.02 40.554s
0.16 74.82 40.969s
0.17 60.41 40.541s
0.18 77.39 44.014s
0.19 62.66 40.164s
0.2 74.0 40.467s
0.21 72.46 40.285s
0.22 68.67 40.315s
0.23 76.55 40.331s
0.24 73.61 40.364s
0.25 71.25 40.892s
0.26 71.1 40.253s
0.27 71.69 40.280s
0.28 70.48 40.435s
0.29 62.35 40.378s
0.3 63.71 40.394s
0.31 74.15 40.436s
0.32 64.87 40.231s
0.33 59.13 40.519s
0.34 62.37 40.437s
0.35 59.32 40.570s
0.36 58.94 40.410s
0.37 77.08 40.455s
0.38 58.61 40.413s
0.39 34.12 40.411s
0.40 75.61 40.940s
0.41 50.75 40.760s
0.42 66.46 40.767s
0.43 64.5 40.624s
0.44 48.34 41.598s
0.45 45.46 41.809s
0.46 69.98 41.632s
0.47 44.23 40.524s
0.48 57.84 40.574s
0.49 68.09 40.630s
