LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.190224	2.507495	31.354000	27.280000	0.175482	8.141309	0.673602	
0.100000	1.968913	2.386366	41.952000	26.760000	0.214577	7.653027	0.553257	
0.100000	1.870499	2.681543	48.922000	27.900000	0.250543	7.703747	0.557657	
0.100000	1.822333	2.761151	50.778000	21.360000	0.254245	7.628697	0.562527	
0.100000	1.806169	2.147584	50.878000	34.980000	0.249877	7.692337	0.474586	
0.100000	1.789218	4.702295	50.862000	15.980000	0.243937	7.709312	0.574623	
0.100000	1.774878	1.844290	51.148000	37.680000	0.239508	7.655117	0.658780	
0.100000	1.763355	4.459611	51.358000	22.740000	0.239855	7.651018	0.523192	
0.100000	1.755495	1.759222	51.722000	39.830000	0.238726	7.736491	0.558349	
0.100000	1.745649	2.439994	51.994000	34.140000	0.236882	7.500003	0.505888	
0.100000	1.743612	2.324648	51.894000	28.820000	0.237035	8.132560	0.755043	
0.100000	1.751468	3.756836	51.492000	21.420000	0.237608	7.329491	0.521363	
0.100000	1.740831	11.240340	52.062000	14.100000	0.236955	7.421699	0.492512	
0.100000	1.740020	9.897789	51.766000	11.790000	0.235819	7.429609	0.595182	
0.100000	1.746872	3.535824	51.678000	21.040000	0.235828	7.441966	0.657429	
0.100000	1.746566	2.750160	51.554000	28.600000	0.234489	7.392360	0.601614	
0.100000	1.727600	1.807161	52.104000	38.050000	0.235119	7.494306	0.515257	
0.100000	1.740149	2.151582	51.554000	32.240000	0.234850	7.429975	0.580615	
0.100000	1.735144	10.818387	51.732000	13.040000	0.235530	7.511608	0.508600	
0.100000	1.748349	2.916125	51.550000	32.510000	0.235441	7.471280	0.574316	
0.100000	1.742375	3.746206	52.064000	19.400000	0.236459	7.673259	0.660284	
0.100000	1.720220	3.213541	52.366000	24.700000	0.235883	7.292875	0.550650	
0.100000	1.739505	6.079636	51.710000	17.790000	0.234840	7.214257	0.633116	
0.100000	1.727861	4.549036	52.294000	20.690000	0.234935	7.150191	0.514197	
0.100000	1.736145	2.739476	51.878000	28.030000	0.233326	7.178213	0.531707	
0.100000	1.737063	2.331092	52.150000	36.160000	0.236650	7.070987	0.508005	
0.100000	1.732615	3.923325	52.126000	16.600000	0.234411	7.362419	0.620385	
0.100000	1.730148	3.605511	52.130000	23.330000	0.236146	7.014706	0.513478	
0.100000	1.737248	3.528581	51.718000	20.150000	0.235581	7.193115	0.555429	
0.100000	1.738059	3.039848	51.896000	24.310000	0.234913	7.047920	0.517402	
0.100000	1.736533	2.861083	51.984000	27.330000	0.234315	7.564527	0.613640	
0.100000	1.738619	2.775541	52.160000	30.940000	0.235508	7.267866	0.584124	
0.100000	1.733779	5.649520	52.048000	16.290000	0.232791	7.110781	0.592607	
0.100000	1.730260	5.417057	52.060000	18.200000	0.233070	7.165242	0.479919	
0.100000	1.726780	2.404435	51.990000	34.010000	0.234141	7.156149	0.658732	
0.100000	1.731068	2.420258	52.320000	30.180000	0.235728	7.042005	0.514090	
0.100000	1.739696	2.696930	51.746000	23.880000	0.234948	7.113783	0.516054	
0.100000	1.734887	5.019051	51.756000	12.140000	0.234365	7.103412	0.568262	
0.100000	1.726313	2.879758	51.932000	31.880000	0.233583	7.016314	0.451842	
0.100000	1.737980	1.459635	51.916000	45.850000	0.235168	7.112658	0.493406	
0.100000	1.730929	2.947117	52.060000	25.070000	0.233323	7.624691	0.632041	
0.100000	1.742548	2.294070	51.580000	31.240000	0.233128	7.079073	0.517933	
0.100000	1.735073	2.567840	51.850000	25.070000	0.232817	7.131606	0.576343	
0.100000	1.734914	2.093388	51.696000	31.340000	0.233237	7.242398	0.506142	
0.100000	1.753881	1.559017	51.378000	44.500000	0.238588	7.129196	0.644035	
0.100000	1.732404	2.266887	51.910000	31.370000	0.233561	7.154020	0.531219	
0.100000	1.736146	2.350290	51.896000	25.380000	0.234198	7.277728	0.533313	
0.100000	1.735864	3.678262	51.674000	23.120000	0.232305	7.330770	0.512122	
0.100000	1.739062	10.401109	51.986000	10.960000	0.233758	7.135660	0.582698	
0.100000	1.744769	2.764768	51.736000	28.530000	0.233279	7.282608	0.501865	
0.100000	1.731202	1.895691	52.110000	38.340000	0.233593	7.565980	0.592546	
0.100000	1.741260	3.175481	51.424000	25.560000	0.234559	7.076718	0.527220	
0.100000	1.733788	1.675338	51.864000	40.650000	0.233529	7.127566	0.450166	
0.100000	1.728638	2.701438	52.156000	24.600000	0.232624	7.050301	0.503173	
0.100000	1.732518	2.575655	51.852000	22.900000	0.234384	7.145066	0.522589	
0.100000	1.737469	9.048811	51.738000	10.650000	0.234746	7.075906	0.567531	
0.100000	1.732935	3.991955	51.818000	21.640000	0.235327	7.102931	0.515391	
0.100000	1.724626	2.874408	52.160000	20.200000	0.234898	7.031737	0.594053	
0.100000	1.739273	1.409720	51.624000	48.930000	0.233711	7.068265	0.571828	
0.100000	1.723928	5.491492	52.110000	17.130000	0.234095	7.213691	0.546515	
0.100000	1.737283	5.488225	52.002000	13.370000	0.236874	7.550976	0.660158	
0.100000	1.735222	9.094799	52.152000	13.200000	0.235025	7.144547	0.492707	
0.100000	1.732996	4.122746	52.102000	24.310000	0.235550	7.056669	0.861011	
0.100000	1.739389	1.722527	51.518000	41.920000	0.234107	7.465992	0.495721	
0.100000	1.734083	1.813334	52.022000	39.430000	0.231989	7.093190	0.543395	
0.100000	1.739291	12.596726	51.952000	11.250000	0.234418	7.145024	0.540227	
0.100000	1.723970	5.838950	52.498000	15.180000	0.234616	7.058561	0.599524	
0.100000	1.731531	1.790808	51.922000	39.440000	0.233517	7.171104	0.499304	
0.100000	1.736047	1.475473	51.860000	48.310000	0.233730	7.238015	0.630580	
0.100000	1.734580	1.512718	51.752000	42.890000	0.230706	7.028244	0.532894	
0.100000	1.735532	4.285673	51.736000	19.620000	0.232421	7.554365	0.620468	
