Regularisierer	Zielgroesse	
104.863670	1845344.000000	
92.404266	1845344.000000	
79.934120	1845344.000000	
67.481201	1845344.000000	
55.051064	1845344.000000	
43.138145	1845344.000000	
30.817633	1845344.000000	
19.936470	1845344.000000	
16.116398	1845344.000000	
13.363276	1845344.000000	
10.088070	507872.000000	
8.621773	507872.000000	
7.168064	507872.000000	
5.735972	507872.000000	
4.380137	507872.000000	
3.406853	271712.000000	
3.086098	271712.000000	
2.777182	271712.000000	
2.475075	271712.000000	
2.184374	271712.000000	
1.904789	185888.000000	
1.732653	185888.000000	
1.562685	185888.000000	
1.394745	185888.000000	
1.230926	185888.000000	
1.061484	176960.000000	
0.910517	176960.000000	
0.769674	176960.000000	
0.654705	176960.000000	
0.581762	176960.000000	
0.535260	171776.000000	
0.499975	171776.000000	
0.469843	171776.000000	
0.443497	171776.000000	
0.419784	171776.000000	
0.395132	165440.000000	
0.380584	165440.000000	
0.367331	165440.000000	
0.358714	165440.000000	
0.351372	165440.000000	
0.343561	163136.000000	
0.342261	163136.000000	
0.340111	163136.000000	
0.339320	163136.000000	
0.336952	163136.000000	
0.332727	161408.000000	
0.332395	161408.000000	
0.332719	161408.000000	
0.331611	161408.000000	
0.331129	161408.000000	
0.325584	159680.000000	
0.325631	159680.000000	
0.325171	159680.000000	
0.324261	159680.000000	
0.324027	159680.000000	
0.310735	156224.000000	
0.311560	156224.000000	
0.310759	156224.000000	
0.310563	156224.000000	
0.312066	156224.000000	
0.308833	155648.000000	
0.308190	155648.000000	
0.308914	155648.000000	
0.307430	155648.000000	
0.306962	155648.000000	
0.305314	155072.000000	
0.306296	155072.000000	
0.304604	155072.000000	
0.303725	155072.000000	
0.303757	155072.000000	
0.302620	155072.000000	
0.303167	155072.000000	
0.302611	155072.000000	
0.300831	155072.000000	
0.301485	155072.000000	
0.298466	154720.000000	
0.298847	154720.000000	
0.299451	154720.000000	
0.297832	154720.000000	
0.297869	154720.000000	
0.296108	153216.000000	
0.296171	153216.000000	
0.294776	153216.000000	
0.294520	153216.000000	
0.295173	153216.000000	
0.293627	152512.000000	
0.293382	152512.000000	
0.292398	152512.000000	
0.293257	152512.000000	
0.292355	152512.000000	
0.280649	149612.000000	
0.282647	149612.000000	
0.282341	149612.000000	
0.282017	149612.000000	
0.281593	149612.000000	
0.279451	147124.000000	
0.279325	147124.000000	
0.278688	147124.000000	
0.280680	147124.000000	
0.279618	147124.000000	
0.276952	146790.000000	
0.277489	146790.000000	
0.278105	146790.000000	
0.277702	146790.000000	
0.276998	146790.000000	
0.275569	146122.000000	
0.276687	146122.000000	
0.276529	146122.000000	
0.277597	146122.000000	
0.276141	146122.000000	
0.273969	144786.000000	
0.275796	144786.000000	
0.276563	144786.000000	
0.275819	144786.000000	
0.275334	144786.000000	
0.271694	141971.000000	
0.271893	141971.000000	
0.271991	141971.000000	
0.271174	141971.000000	
0.272258	141971.000000	
0.270386	140969.000000	
0.270204	140969.000000	
0.270944	140969.000000	
0.270577	140969.000000	
0.270920	140969.000000	
0.268855	139967.000000	
0.270126	139967.000000	
0.269002	139967.000000	
0.268925	139967.000000	
0.269261	139967.000000	
0.266269	137963.000000	
0.267039	137963.000000	
0.267210	137963.000000	
0.267230	137963.000000	
0.267861	137963.000000	
0.266474	136150.000000	
0.267543	136150.000000	
0.265501	136150.000000	
0.265440	136150.000000	
0.265205	136150.000000	
0.264961	134814.000000	
0.265338	134814.000000	
0.263599	134814.000000	
0.264538	134814.000000	
0.264123	134814.000000	
0.262581	133144.000000	
0.262753	133144.000000	
0.262460	133144.000000	
0.262139	133144.000000	
0.262167	133144.000000	
0.262096	131900.000000	
0.261798	131900.000000	
0.261823	131900.000000	
0.262582	131900.000000	
0.261249	131900.000000	
0.259093	130898.000000	
0.259594	130898.000000	
0.260677	130898.000000	
0.261177	130898.000000	
0.260871	130898.000000	
