LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.690020	1.631150	37.620000	42.730000	46.797191	1.350390	
0.100000	1.156949	1.501706	57.946000	52.890000	48.902395	0.872958	
0.100000	0.903092	1.233132	67.970000	59.060000	48.578204	0.946385	
0.100000	0.752614	1.042016	73.658000	67.790000	48.374512	1.087579	
0.100000	0.664766	0.730639	76.796000	74.720000	48.247406	0.961437	
0.100000	0.606485	1.094112	78.920000	65.540000	45.231214	1.147914	
0.100000	0.568410	0.792040	80.294000	72.930000	48.292594	0.980666	
0.100000	0.536397	0.691336	81.448000	77.000000	39.635255	0.926043	
0.100000	0.514714	0.657670	82.416000	78.040000	46.881948	0.963751	
0.100000	0.491509	0.731379	83.048000	76.840000	48.504904	0.926827	
0.100000	0.478061	0.609457	83.608000	79.730000	45.975459	1.570210	
0.100000	0.461689	0.790357	84.182000	74.660000	48.576747	1.214534	
0.100000	0.452883	0.566270	84.436000	80.890000	48.613549	1.118173	
0.100000	0.437242	0.622330	84.956000	80.380000	42.936910	1.242774	
0.100000	0.426642	0.710622	85.418000	77.040000	48.628069	1.198134	
0.100000	0.420068	0.885435	85.612000	72.530000	35.686329	1.228881	
0.100000	0.414228	0.596201	85.738000	79.940000	45.851050	1.213413	
0.100000	0.403660	1.327451	86.118000	66.480000	48.475878	1.209619	
0.100000	0.399529	0.737186	86.294000	76.800000	48.867204	1.213414	
0.100000	0.382687	0.534107	86.848000	82.490000	48.578325	1.230055	
0.100000	0.386643	0.703894	86.646000	77.010000	45.632307	1.200366	
0.100000	0.385261	0.885080	86.666000	73.920000	43.358349	1.176713	
0.100000	0.377104	0.782419	87.082000	75.170000	48.297037	1.175651	
0.100000	0.376535	0.792546	87.032000	75.670000	48.065861	1.230834	
0.100000	0.365858	0.648745	87.340000	78.870000	38.177106	1.156324	
0.100000	0.368544	0.480958	87.314000	83.920000	45.188143	1.023647	
0.100000	0.360538	0.609161	87.702000	80.030000	48.341991	0.932088	
0.100000	0.355502	0.674087	87.736000	77.940000	48.337154	0.966547	
0.100000	0.354091	0.540822	87.710000	82.330000	48.377573	1.026838	
0.100000	0.347807	0.599920	87.956000	80.770000	48.461955	1.171170	
0.100000	0.349957	0.579482	87.890000	81.660000	43.061721	1.091197	
0.100000	0.340525	0.715494	88.342000	77.410000	47.583824	0.865023	
0.100000	0.344025	0.475254	88.346000	84.470000	37.242878	1.045105	
0.100000	0.344893	0.532615	88.274000	82.450000	48.110193	0.920350	
0.100000	0.335405	0.565612	88.462000	81.490000	48.409798	0.998369	
0.100000	0.334974	0.571830	88.454000	81.380000	44.779421	0.964554	
0.100000	0.327923	0.534531	88.662000	82.820000	48.342111	1.055356	
0.100000	0.325321	0.564001	88.750000	81.910000	48.180211	1.050524	
0.100000	0.331252	0.496412	88.520000	83.230000	43.793917	0.895751	
0.100000	0.322038	0.913685	88.872000	76.000000	47.862896	0.890778	
0.100000	0.326039	0.639475	88.668000	80.440000	32.845428	1.010610	
0.100000	0.322178	0.496599	88.930000	83.230000	47.389765	0.998461	
0.100000	0.317334	0.637245	89.010000	78.710000	48.220888	0.916766	
0.100000	0.325219	0.793813	88.846000	76.410000	48.280482	0.949646	
0.100000	0.321578	0.492060	88.918000	83.950000	48.457645	0.897186	
0.100000	0.313834	0.575064	89.308000	82.420000	43.842408	1.078645	
0.100000	0.319141	0.459029	88.994000	85.060000	45.430852	0.965177	
0.100000	0.311514	0.580340	89.282000	82.080000	46.211132	0.936385	
0.100000	0.312855	0.489995	89.164000	83.760000	47.767417	0.959167	
0.100000	0.314291	0.622108	89.208000	80.610000	37.673470	0.884157	
0.100000	0.311848	0.755702	89.394000	77.250000	43.647798	0.953315	
0.100000	0.310083	0.785317	89.414000	76.710000	47.637283	0.968320	
0.100000	0.306867	0.518164	89.402000	83.210000	47.598693	1.044405	
0.100000	0.309300	0.910988	89.370000	74.780000	47.802685	0.977557	
0.100000	0.309818	0.597211	89.242000	82.490000	47.797352	1.010085	
0.100000	0.306661	0.831353	89.296000	75.180000	37.644627	1.049236	
0.100000	0.305019	0.496230	89.462000	83.460000	47.473166	1.111577	
0.100000	0.307321	0.550718	89.358000	82.150000	39.214648	0.939352	
0.100000	0.300397	0.526555	89.744000	82.740000	46.076687	0.937468	
0.100000	0.301501	0.671320	89.502000	79.690000	47.829621	0.855470	
0.100000	0.304626	0.434069	89.546000	85.410000	42.033625	1.020480	
0.100000	0.298518	0.651084	89.648000	79.440000	47.636638	0.992265	
0.100000	0.295628	0.868359	89.678000	75.060000	47.847840	1.088501	
0.100000	0.299763	0.493436	89.682000	83.650000	47.534869	0.908483	
0.100000	0.299078	0.406892	89.688000	86.970000	42.495948	1.011071	
0.100000	0.298290	0.580297	89.760000	81.740000	38.393783	0.925640	
0.100000	0.295009	0.652746	89.828000	80.150000	39.545062	0.991345	
0.100000	0.301217	0.527687	89.692000	82.870000	47.447670	1.008188	
0.100000	0.292628	0.610946	89.994000	81.690000	47.865794	0.951750	
0.100000	0.294015	0.635285	89.890000	81.040000	47.563085	1.025181	
0.100000	0.291810	0.576574	89.928000	81.420000	41.652112	1.099683	
0.100000	0.294198	0.684797	90.016000	78.960000	47.579447	0.898881	
0.100000	0.291714	0.679170	89.920000	79.690000	43.031136	0.887963	
0.100000	0.291572	0.619614	89.910000	80.220000	47.675356	1.098282	
0.100000	0.294589	0.563366	89.812000	81.810000	37.865498	0.959867	
0.100000	0.290345	0.614828	90.006000	80.560000	41.844356	1.049346	
0.100000	0.290188	0.648770	90.114000	80.750000	47.641376	1.025737	
0.100000	0.289287	0.573795	90.006000	81.920000	47.562567	0.971357	
0.100000	0.290739	0.554803	89.932000	82.640000	47.529644	1.034695	
0.100000	0.289276	0.768176	90.102000	77.390000	47.654459	1.035678	
0.100000	0.281445	0.476793	90.214000	83.560000	35.076651	1.102082	
0.100000	0.285673	0.612152	90.164000	80.280000	47.180197	0.987741	
0.100000	0.289109	0.522957	90.092000	82.590000	36.745380	1.026711	
0.100000	0.287537	0.543466	90.134000	83.040000	47.271194	0.905879	
0.100000	0.279750	0.561489	90.326000	82.580000	47.424452	1.004499	
0.100000	0.282617	0.834299	90.376000	74.310000	40.080880	1.101806	
0.100000	0.285206	0.493619	90.136000	84.370000	47.276446	0.964756	
0.100000	0.291482	0.583609	89.896000	82.330000	47.399693	0.926529	
0.100000	0.281007	0.544505	90.246000	83.100000	47.698676	0.990845	
0.100000	0.283131	0.471716	90.188000	84.650000	42.991099	1.129727	
0.100000	0.288893	0.525320	90.112000	82.600000	27.960252	1.058701	
0.100000	0.285032	0.717019	90.238000	78.650000	47.703029	0.842640	
0.010000	0.178881	0.238955	93.968000	92.090000	47.869119	1.007794	
0.001000	0.134949	0.235697	95.622000	92.160000	47.441879	1.058338	
0.000100	0.132286	0.234832	95.716000	92.170000	47.416780	0.977839	
0.010000	0.134765	0.229334	95.510000	92.500000	39.751654	1.009298	
0.001000	0.115368	0.227432	96.226000	92.440000	47.297587	1.002084	
0.000100	0.112283	0.225186	96.360000	92.560000	42.504596	0.887788	
0.000010	0.111753	0.227891	96.402000	92.510000	39.297552	0.890328	
0.000001	0.112461	0.224453	96.276000	92.610000	46.363176	1.048310	
0.010000	0.115582	0.233813	96.146000	92.460000	39.771920	1.017223	
0.001000	0.103718	0.228768	96.624000	92.540000	47.525540	1.021229	
0.000100	0.100277	0.226205	96.762000	92.490000	47.500285	0.931757	
0.000010	0.099871	0.227162	96.792000	92.580000	47.255863	0.883724	
0.000001	0.099690	0.227037	96.838000	92.560000	47.325862	1.085302	
0.010000	0.104568	0.241315	96.564000	92.370000	25.820819	0.969671	
0.001000	0.093998	0.226347	96.864000	92.780000	41.225455	1.017892	
0.000100	0.092333	0.228093	96.968000	92.740000	47.427364	0.911999	
0.000010	0.091741	0.226984	96.936000	92.770000	47.466082	1.000280	
0.000001	0.091428	0.228666	97.038000	92.700000	47.454386	1.062027	
0.010000	0.096156	0.231209	96.824000	92.770000	40.741927	0.876549	
0.001000	0.085133	0.224218	97.292000	93.040000	46.945580	0.926277	
0.000100	0.082912	0.226051	97.316000	92.900000	47.413577	0.899694	
0.000010	0.083498	0.226580	97.274000	92.940000	40.346959	0.774499	
0.000001	0.082197	0.225222	97.298000	92.940000	39.708384	0.899076	
0.010000	0.089318	0.234045	97.100000	92.670000	40.341203	0.963957	
0.001000	0.078416	0.228791	97.482000	92.890000	47.656968	1.122759	
0.000100	0.075062	0.228314	97.616000	92.970000	47.466222	1.170154	
0.000010	0.075700	0.227756	97.582000	92.960000	47.430890	1.156044	
0.000001	0.075736	0.229238	97.590000	92.860000	47.330571	1.153023	
0.010000	0.083745	0.238619	97.252000	92.400000	38.509481	0.897308	
0.001000	0.074342	0.226962	97.616000	92.850000	37.093642	0.934400	
0.000100	0.070526	0.225859	97.794000	92.790000	44.002729	0.924654	
0.000010	0.069349	0.227486	97.816000	92.790000	47.413186	0.953968	
0.000001	0.070302	0.227384	97.714000	92.790000	47.337321	1.020493	
0.010000	0.075814	0.242980	97.558000	92.600000	40.498909	1.034893	
0.001000	0.068441	0.230324	97.822000	92.960000	47.178675	0.910956	
0.000100	0.067316	0.232883	97.878000	92.960000	47.503481	0.907214	
0.000010	0.064527	0.232413	97.964000	92.940000	46.623077	0.936325	
0.000001	0.063698	0.229678	97.962000	92.920000	40.319251	0.838108	
0.010000	0.074589	0.243605	97.564000	92.680000	40.007603	1.158837	
0.001000	0.062332	0.236470	97.990000	92.950000	47.701641	0.952553	
0.000100	0.060034	0.234372	98.160000	92.780000	47.563540	0.959193	
0.000010	0.060896	0.236840	98.012000	92.930000	47.810673	0.987795	
0.000001	0.060535	0.235575	98.092000	92.940000	47.656502	1.076456	
0.010000	0.067500	0.254920	97.786000	92.670000	37.516109	0.877686	
0.001000	0.059018	0.240593	98.056000	92.940000	44.662918	0.921314	
0.000100	0.056842	0.239388	98.248000	92.910000	37.979971	1.026521	
0.000010	0.056942	0.237449	98.238000	93.010000	46.463542	1.015614	
0.000001	0.056617	0.238566	98.210000	93.020000	47.420000	1.022632	
0.010000	0.066034	0.251045	97.776000	92.620000	39.604521	1.078521	
0.001000	0.057547	0.242902	98.150000	92.900000	47.269006	1.065601	
0.000100	0.053344	0.241263	98.346000	92.850000	47.460665	0.950788	
0.000010	0.052591	0.242378	98.362000	92.800000	45.413355	0.873206	
0.000001	0.052187	0.242283	98.370000	92.920000	44.829966	1.065992	
0.010000	0.062716	0.255300	97.898000	92.540000	27.115602	1.051584	
0.001000	0.052952	0.246023	98.342000	92.950000	47.033708	1.025220	
0.000100	0.049762	0.244653	98.506000	92.980000	47.290563	1.012347	
0.000010	0.049423	0.246000	98.488000	93.000000	47.113915	1.039785	
0.000000	0.049096	0.245942	98.512000	92.920000	47.222413	1.119725	
0.001000	0.049001	0.243342	98.500000	92.960000	38.474720	0.965737	
0.000010	0.048254	0.244732	98.472000	92.930000	43.414751	1.010806	
0.000000	0.048445	0.244463	98.550000	92.920000	44.862714	0.949696	
0.000000	0.047752	0.243681	98.558000	92.970000	43.455593	0.980038	
0.000000	0.046622	0.244222	98.620000	93.040000	44.647439	0.968487	
0.001000	0.046920	0.242822	98.604000	93.070000	39.153021	1.056412	
0.000010	0.046496	0.244604	98.580000	93.060000	47.163653	1.024238	
0.000000	0.045418	0.242888	98.608000	93.030000	47.302909	0.926797	
