LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.688395	1.626158	36.444000	43.830000	0.000000	45.847401	1.018755	
0.100000	1.175096	1.438117	57.306000	52.630000	0.000000	47.664393	0.993220	
0.100000	0.941634	1.132738	66.406000	63.410000	0.000000	47.761350	0.823298	
0.100000	0.791741	0.846564	72.132000	71.030000	0.000000	44.883242	0.954476	
0.100000	0.694071	0.795328	75.852000	72.000000	0.000000	48.229246	0.879763	
0.100000	0.626854	0.843434	78.296000	71.480000	0.000000	38.395534	1.071588	
0.100000	0.584928	0.972176	79.874000	69.480000	0.000000	45.323936	1.009006	
0.100000	0.544926	0.888616	81.172000	72.380000	0.000000	35.255385	0.978951	
0.100000	0.520939	0.710477	81.944000	75.980000	0.000000	48.234682	0.954242	
0.100000	0.500294	0.767041	82.742000	75.160000	0.000000	32.162443	0.837461	
0.100000	0.482819	0.958804	83.212000	70.040000	0.000000	43.699872	0.868643	
0.100000	0.472280	0.839648	83.570000	74.710000	0.000000	28.338812	1.057604	
0.100000	0.456572	0.672046	84.154000	76.720000	0.000000	47.918900	0.938332	
0.100000	0.448366	0.661461	84.556000	78.420000	0.000000	38.212223	0.775587	
0.100000	0.434993	0.654257	84.950000	78.520000	0.000000	38.023051	0.975273	
0.100000	0.425859	0.793137	85.236000	75.710000	0.000000	27.600150	0.886686	
0.100000	0.422390	0.743051	85.470000	74.790000	0.000000	44.327489	1.055159	
0.100000	0.408768	0.723681	85.910000	77.420000	0.000000	44.114711	0.840657	
0.100000	0.400060	0.874484	86.204000	73.900000	0.000000	33.697186	0.978251	
0.100000	0.396935	0.615035	86.318000	79.910000	0.000000	47.499881	0.945043	
0.100000	0.390355	0.529531	86.518000	81.620000	0.000000	30.820982	1.091695	
0.100000	0.378338	0.541439	86.918000	82.780000	0.000000	46.654706	0.924793	
0.100000	0.382071	0.662659	86.896000	79.360000	0.000000	36.368687	0.925336	
0.100000	0.375179	0.543915	87.096000	81.880000	0.000000	47.158374	1.069041	
0.100000	0.369600	0.658825	87.340000	78.530000	0.000000	38.424787	0.917176	
0.100000	0.374083	0.954440	87.270000	72.700000	0.000000	35.199893	0.984068	
0.100000	0.355193	0.801308	87.800000	76.270000	0.000000	43.309020	0.950217	
0.100000	0.359737	0.608823	87.486000	80.070000	0.000000	42.523422	1.094118	
0.100000	0.356742	0.791269	87.696000	76.430000	0.000000	40.904917	1.047500	
0.100000	0.348261	0.586958	88.032000	81.160000	0.000000	42.549423	0.920557	
0.100000	0.353048	0.683085	87.798000	77.280000	0.000000	34.673834	1.185306	
0.100000	0.352583	0.541807	87.730000	82.700000	0.000000	42.524079	0.956561	
0.100000	0.344973	0.640098	88.214000	79.290000	0.000000	41.481969	0.855408	
0.100000	0.334224	0.506584	88.514000	83.300000	0.000000	42.139709	0.939921	
0.100000	0.341970	0.580698	88.254000	81.480000	0.000000	41.990678	1.039790	
0.100000	0.339512	0.621954	88.358000	80.110000	0.000000	27.007736	1.064990	
0.100000	0.330249	0.587586	88.566000	80.550000	0.000000	47.425505	0.870738	
0.100000	0.331377	0.544323	88.684000	82.740000	0.000000	37.322243	0.895049	
0.100000	0.329477	0.493403	88.738000	83.730000	0.000000	43.799230	1.145538	
0.100000	0.324448	0.602770	88.878000	81.510000	0.000000	41.788912	0.938059	
0.100000	0.327634	0.489727	88.792000	84.660000	0.000000	39.308681	1.051231	
0.100000	0.327475	0.595742	88.728000	80.780000	0.000000	39.691844	0.865402	
0.100000	0.325604	0.630040	88.820000	80.230000	0.000000	44.881661	0.932942	
0.100000	0.322507	0.587092	89.014000	81.410000	0.000000	39.648767	0.831351	
0.100000	0.309552	0.642836	89.432000	79.550000	0.000000	42.277320	0.992473	
0.100000	0.319025	0.569515	89.080000	81.680000	0.000000	16.759961	1.032582	
0.100000	0.319285	0.630133	88.994000	79.900000	0.000000	45.416508	1.040282	
0.100000	0.309794	0.741551	89.218000	75.940000	0.000000	41.562905	0.802188	
0.100000	0.320486	0.580868	88.874000	80.760000	0.000000	35.698746	0.923606	
0.100000	0.314426	0.472892	88.954000	84.380000	0.000000	47.436421	0.999547	
0.100000	0.312970	0.569080	89.388000	81.440000	0.000000	24.591732	0.908889	
0.100000	0.316835	0.596570	89.068000	81.270000	0.000000	47.349583	1.035790	
0.100000	0.312874	0.521025	89.180000	83.170000	0.000000	30.589952	0.848768	
0.100000	0.311133	0.583850	89.228000	81.500000	0.000000	43.548816	0.948762	
0.100000	0.318192	0.529491	89.014000	83.780000	0.000000	45.136151	0.846521	
0.100000	0.303777	0.474946	89.592000	84.700000	0.000000	42.740110	0.969429	
0.100000	0.304809	0.605460	89.538000	81.450000	0.000000	37.821983	0.955486	
0.100000	0.306199	0.550372	89.402000	82.870000	0.000000	43.620941	0.975297	
0.100000	0.304083	0.510011	89.494000	84.080000	0.000000	40.742899	0.995121	
0.100000	0.307195	0.467807	89.264000	84.370000	0.000000	40.863065	1.047027	
0.100000	0.305128	0.589297	89.572000	81.590000	0.000000	27.246670	0.907159	
0.100000	0.302724	0.611861	89.562000	81.380000	0.000000	45.202586	0.934552	
0.100000	0.309492	0.414110	89.302000	86.300000	0.000000	39.240880	0.862411	
0.100000	0.297242	0.596295	89.730000	80.750000	0.000000	40.806796	1.009117	
0.100000	0.296082	0.512638	89.858000	83.860000	0.000000	43.489457	0.847208	
0.100000	0.301384	0.514755	89.624000	83.000000	0.000000	34.960954	0.970429	
0.100000	0.298499	0.914249	89.558000	73.680000	0.000000	41.265619	1.095027	
0.100000	0.297185	0.456692	89.642000	84.800000	0.000000	42.177054	0.838961	
0.100000	0.295751	0.499007	89.844000	84.270000	0.000000	41.442113	0.784087	
0.100000	0.295904	0.443493	89.812000	85.410000	0.000000	44.596857	0.894139	
0.100000	0.300535	0.516149	89.676000	83.720000	0.000000	36.755439	0.978026	
0.100000	0.294742	0.580446	89.846000	81.570000	0.000000	41.834948	0.855488	
0.100000	0.293998	0.505404	89.944000	83.360000	0.000000	40.169935	0.912160	
0.100000	0.294260	0.594573	89.940000	81.950000	0.000000	42.505114	1.125337	
0.100000	0.294809	0.491675	89.708000	84.350000	0.000000	38.375576	0.995774	
0.100000	0.292589	0.629023	89.964000	80.540000	0.000000	30.008863	0.829869	
0.100000	0.293256	0.493778	89.966000	84.040000	0.000000	31.771988	0.934548	
0.100000	0.295331	0.642679	89.846000	80.760000	0.000000	28.768950	0.790320	
0.100000	0.292420	0.571575	89.944000	82.160000	0.000000	27.507818	0.835293	
0.100000	0.290582	0.596754	89.922000	81.960000	0.000000	31.904031	0.786641	
0.100000	0.285987	0.440080	90.216000	85.680000	0.000000	13.134617	0.840453	
0.100000	0.286928	0.549078	90.090000	82.450000	0.000000	24.299347	0.844675	
0.100000	0.287797	0.578162	90.170000	81.580000	0.000000	25.190655	0.855990	
0.100000	0.287737	0.464445	90.030000	85.170000	0.000000	24.885231	0.804531	
0.100000	0.283104	0.607825	90.296000	81.350000	0.000000	24.937559	0.786282	
0.100000	0.288881	0.535872	90.006000	82.430000	0.000000	13.679277	0.879091	
0.100000	0.284057	0.548703	90.276000	82.900000	0.000000	24.620913	0.829148	
0.100000	0.287450	0.512090	90.198000	83.890000	0.000000	25.180443	0.813473	
0.100000	0.285319	0.477666	90.114000	84.520000	0.000000	25.078819	0.800914	
0.100000	0.289351	0.555185	90.108000	82.370000	0.000000	24.820680	0.793471	
0.100000	0.292316	0.635264	89.742000	81.190000	0.000000	13.235432	0.791176	
0.100000	0.285270	0.501974	90.186000	84.110000	0.000000	24.490650	0.937608	
0.010000	0.178804	0.245723	93.970000	91.890000	0.000000	25.007789	0.905143	
0.001000	0.134932	0.239511	95.586000	92.240000	0.000000	24.984589	0.885095	
0.000100	0.132893	0.238995	95.632000	92.190000	0.000000	24.786351	0.852668	
0.010000	0.129128	0.240027	95.704000	92.300000	0.000000	13.546360	0.778309	
0.001000	0.117085	0.233427	96.156000	92.510000	0.000000	24.506594	0.832391	
0.000100	0.111257	0.232776	96.312000	92.490000	0.000000	25.060577	0.850501	
0.000010	0.110216	0.233858	96.350000	92.530000	0.000000	25.016351	0.914705	
0.000001	0.110159	0.232962	96.406000	92.610000	0.000000	25.054865	0.961082	
