LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.200000	1.971370	1.982185	25.760000	28.800000	144.269386	3.694314	
0.200000	1.592126	1.494702	39.780000	45.080000	146.053099	3.567453	
0.200000	1.253985	1.333347	54.338000	54.030000	144.983334	3.547386	
0.200000	1.011292	1.936032	63.650000	44.630000	138.789276	3.424052	
0.200000	0.857675	1.544272	69.834000	52.260000	129.340879	3.036724	
0.200000	0.747350	1.007382	74.092000	67.830000	145.624829	3.646045	
0.200000	0.687307	1.157677	76.342000	66.760000	145.162295	3.543390	
0.200000	0.634403	0.859574	78.182000	72.500000	145.288319	3.543870	
0.200000	0.606629	1.196569	79.114000	63.140000	138.842501	3.522654	
0.200000	0.580054	0.846638	79.950000	72.460000	129.119064	2.946599	
0.200000	0.553595	1.042557	81.088000	65.710000	144.949287	3.707682	
0.200000	0.542503	1.005395	81.384000	68.490000	144.289121	3.557792	
0.200000	0.527840	1.219118	81.822000	66.030000	143.824809	3.777062	
0.200000	0.522740	0.866445	82.168000	70.980000	135.666972	3.663639	
0.200000	0.505720	0.708878	82.506000	76.220000	125.802107	3.337442	
0.200000	0.491551	0.671391	83.320000	77.770000	142.642897	3.972449	
0.200000	0.484538	1.303579	83.386000	62.140000	142.402364	3.863229	
0.200000	0.481127	1.320161	83.400000	64.990000	142.653207	3.774371	
0.200000	0.483066	0.725515	83.362000	76.670000	138.667304	3.508292	
0.200000	0.471357	0.670404	83.880000	77.290000	123.924375	3.603301	
0.200000	0.467346	0.953772	83.930000	73.040000	143.688643	4.059790	
0.200000	0.461133	0.918276	84.216000	72.810000	143.619586	4.057891	
0.200000	0.454935	1.170169	84.314000	66.420000	144.413900	3.981380	
0.200000	0.450662	1.066231	84.448000	66.280000	141.801188	3.117627	
0.200000	0.444443	0.568306	84.732000	80.900000	129.397058	3.119708	
0.200000	0.441538	0.868368	84.782000	74.600000	145.387303	3.661190	
0.200000	0.445499	1.117169	84.728000	67.950000	144.794272	3.582314	
0.200000	0.432947	0.799663	85.196000	74.130000	145.026523	3.555636	
0.200000	0.439051	0.800185	85.004000	75.310000	142.742423	2.930665	
0.200000	0.440383	1.189666	84.886000	64.700000	126.532916	2.975317	
0.200000	0.428436	0.710430	85.218000	75.920000	144.246686	3.654472	
0.200000	0.435671	0.722819	85.120000	75.990000	140.888450	3.725015	
0.200000	0.429908	0.798954	85.240000	74.150000	142.153539	3.717869	
0.200000	0.423575	0.764242	85.434000	77.710000	142.983985	3.581816	
0.200000	0.428361	0.621721	85.460000	78.960000	119.481665	3.535428	
0.200000	0.409927	0.955132	85.846000	71.700000	142.359379	3.764373	
0.200000	0.423024	0.765117	85.544000	75.890000	141.580664	3.912619	
0.200000	0.418530	0.547980	85.634000	81.420000	141.534824	3.932391	
0.200000	0.418272	0.710948	85.676000	78.210000	141.710480	4.035761	
0.200000	0.413352	0.506415	85.846000	83.380000	118.459301	4.092736	
0.200000	0.401464	0.652583	86.278000	78.950000	148.341445	4.435238	
0.200000	0.421680	0.652747	85.526000	78.620000	146.733377	4.269629	
0.200000	0.415113	0.608813	85.958000	79.270000	146.653757	4.283068	
0.200000	0.406913	0.718246	86.258000	77.060000	144.950290	3.518895	
0.200000	0.406584	0.719648	86.108000	77.900000	126.245659	3.944252	
0.200000	0.396370	0.692637	86.588000	76.440000	144.599856	4.106708	
0.200000	0.407665	1.012202	86.048000	69.490000	144.160394	3.829323	
0.200000	0.405248	0.794771	86.074000	75.930000	144.439044	3.820432	
0.200000	0.403066	1.077074	86.044000	68.030000	140.905979	3.348216	
0.200000	0.411686	0.663383	85.880000	78.890000	114.495775	3.649791	
0.200000	0.399933	0.737688	86.224000	75.640000	143.437416	3.715877	
0.200000	0.403173	0.747923	86.186000	76.300000	143.897337	3.874044	
0.200000	0.398781	0.844283	86.382000	72.890000	142.990648	3.814402	
0.200000	0.406682	0.506736	86.122000	83.290000	143.202136	3.342240	
0.200000	0.393079	0.758866	86.540000	76.540000	103.528671	3.680835	
0.200000	0.394634	0.554401	86.520000	81.840000	142.694501	4.101817	
0.200000	0.405282	0.548720	86.230000	81.810000	142.026305	3.873707	
0.200000	0.389673	0.616991	86.784000	79.230000	142.163352	3.799594	
0.200000	0.392654	0.951885	86.594000	69.640000	142.665128	3.931033	
0.200000	0.403113	1.231067	86.170000	65.140000	100.468084	3.891994	
0.200000	0.390873	0.789621	86.602000	75.500000	143.275120	3.887133	
0.200000	0.398960	0.883858	86.300000	73.920000	142.925267	3.682825	
0.200000	0.392735	0.657543	86.484000	78.400000	141.886100	3.651681	
0.200000	0.397742	0.719080	86.320000	76.140000	142.882491	3.890007	
0.200000	0.392973	0.549940	86.580000	81.370000	89.074646	2.440226	
0.200000	0.389513	0.538296	86.586000	81.450000	143.946925	4.231747	
0.200000	0.396601	0.675657	86.362000	78.520000	143.372631	4.180887	
0.200000	0.384254	0.669899	86.730000	78.310000	143.389330	4.155571	
0.200000	0.392946	0.813129	86.522000	75.600000	142.970068	3.950471	
0.200000	0.393174	0.693590	86.602000	77.160000	125.960077	2.203409	
0.200000	0.382575	1.370225	86.864000	63.060000	142.624954	3.994254	
0.200000	0.390170	0.646927	86.592000	79.150000	143.947539	3.669907	
0.200000	0.391159	0.658782	86.702000	78.440000	142.603028	3.842386	
0.200000	0.389662	0.838718	86.658000	73.610000	143.655163	3.670342	
0.200000	0.387643	0.574462	86.726000	80.290000	130.371227	2.758744	
0.200000	0.378598	0.584365	86.806000	80.050000	143.053039	4.376616	
0.200000	0.390647	0.727073	86.706000	77.950000	142.904131	4.089997	
0.200000	0.387170	0.580653	86.624000	80.340000	142.553117	4.214721	
0.200000	0.388792	0.790041	86.628000	74.890000	137.668039	3.663002	
0.200000	0.394859	0.546571	86.312000	81.260000	138.483978	3.314730	
0.200000	0.384511	0.735247	86.900000	77.320000	144.702783	4.258582	
0.200000	0.382505	0.555974	86.848000	81.450000	144.912743	3.829259	
0.200000	0.384192	0.637954	86.864000	79.330000	144.345078	3.884448	
0.200000	0.388648	1.025754	86.650000	70.420000	137.975235	3.937378	
0.200000	0.385343	0.578910	86.670000	80.940000	135.804144	2.974944	
0.200000	0.380197	0.857691	86.942000	74.270000	142.134541	5.005575	
0.200000	0.384216	0.795999	86.622000	75.680000	143.238744	4.845632	
0.200000	0.385153	0.740244	87.024000	76.080000	142.353059	4.683510	
0.200000	0.385236	0.758776	86.908000	76.450000	135.590409	4.988342	
0.200000	0.394032	0.811849	86.520000	73.850000	134.678785	4.016379	
0.200000	0.383873	0.688212	86.810000	77.960000	143.868315	4.654851	
0.200000	0.382820	0.619001	86.796000	79.910000	143.091305	4.462817	
0.020000	0.238493	0.277163	91.922000	90.680000	143.437704	4.217825	
0.002000	0.187901	0.267084	93.764000	90.830000	137.380552	4.533719	
0.000200	0.183271	0.266896	93.956000	90.800000	129.181634	2.982725	
0.020000	0.184014	0.264065	93.914000	90.990000	143.937212	3.665406	
0.002000	0.164406	0.256142	94.504000	91.350000	143.484610	3.552030	
0.000200	0.158897	0.255473	94.612000	91.330000	143.507210	3.203541	
0.000020	0.158786	0.254206	94.726000	91.310000	138.562784	3.538555	
0.000002	0.155735	0.252747	94.812000	91.360000	131.255204	2.402765	
0.020000	0.167628	0.256307	94.370000	91.390000	144.185987	3.673139	
0.002000	0.149814	0.246434	95.042000	91.870000	143.865622	3.531547	
0.000200	0.144436	0.248901	95.202000	91.640000	142.915912	2.940957	
0.000020	0.141957	0.248358	95.228000	91.740000	139.559938	3.543389	
0.000002	0.143385	0.246528	95.288000	91.880000	131.461596	2.636064	
0.020000	0.152827	0.255804	94.886000	91.390000	144.071955	3.997647	
0.002000	0.135138	0.241556	95.546000	92.060000	143.421002	3.781701	
0.000200	0.129871	0.241632	95.734000	92.100000	141.346214	3.581934	
0.000020	0.128801	0.241565	95.672000	91.990000	140.803010	3.860895	
0.000002	0.130219	0.241354	95.674000	91.990000	130.187156	3.572068	
0.020000	0.140046	0.249527	95.250000	91.810000	145.968780	4.089429	
0.002000	0.124615	0.244270	95.852000	91.910000	144.332733	3.943694	
0.000200	0.120650	0.245508	95.994000	91.920000	140.892988	3.444878	
