LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	3.210649	1.998179	16.146000	23.180000	0.301436	30.438999	1.742365	
0.100000	2.509114	1.738256	30.154000	35.530000	0.268259	28.933515	1.529384	
0.100000	2.041337	1.427310	41.352000	47.900000	0.228711	29.153457	1.510662	
0.100000	1.621290	2.300836	54.562000	34.370000	0.227842	29.216241	1.517741	
0.100000	1.408442	1.272457	61.436000	57.040000	0.235305	29.320194	1.519459	
0.100000	1.303231	1.168908	64.812000	60.040000	0.245412	29.280341	1.530513	
0.100000	1.217171	1.255591	68.432000	58.160000	0.261280	29.360214	1.523490	
0.100000	1.146763	0.948435	70.886000	66.090000	0.275730	29.215429	1.519022	
0.100000	1.108601	1.418987	72.238000	53.910000	0.282444	29.253039	1.520334	
0.100000	1.074217	1.066768	73.108000	65.720000	0.284694	29.336249	1.522336	
0.100000	1.041391	1.076606	74.008000	65.450000	0.286223	30.327563	1.728957	
0.100000	1.020445	0.993137	74.584000	66.600000	0.286099	28.712958	1.477189	
0.100000	1.005516	0.911378	74.980000	68.750000	0.285523	28.872830	1.477363	
0.100000	0.987453	1.152791	75.436000	63.020000	0.285986	28.765410	1.475756	
0.100000	0.973997	0.822141	76.114000	70.330000	0.288153	28.781248	1.476181	
0.100000	0.972470	0.791489	75.896000	72.140000	0.287373	28.736207	1.476324	
0.100000	0.961551	1.231812	76.044000	62.580000	0.288709	28.772569	1.477386	
0.100000	0.955877	0.927987	76.446000	68.560000	0.288649	28.736412	1.490597	
0.100000	0.949944	0.924578	76.668000	68.670000	0.289440	28.813636	1.483588	
0.100000	0.936420	1.047603	77.116000	66.410000	0.292237	28.749038	1.478470	
0.100000	0.933598	1.082075	77.210000	66.290000	0.292277	23.783928	1.279521	
0.100000	0.927518	0.996485	77.136000	67.250000	0.293293	22.482806	1.119025	
0.100000	0.920143	1.758406	77.668000	55.610000	0.295814	22.531698	1.117663	
0.100000	0.915657	0.804683	77.590000	72.020000	0.295435	22.527592	1.125571	
0.100000	0.914534	0.919370	77.794000	69.740000	0.294960	22.679309	1.122191	
0.100000	0.914674	1.046282	77.544000	66.610000	0.293441	22.646924	1.131154	
0.100000	0.906138	1.154846	78.084000	63.070000	0.296131	22.603128	1.124347	
0.100000	0.904923	0.991568	77.886000	65.700000	0.295943	22.628252	1.124091	
0.100000	0.907169	0.841462	77.702000	71.740000	0.294558	22.595911	1.127246	
0.100000	0.900745	1.023635	78.002000	67.280000	0.295931	22.741596	1.127866	
0.100000	0.899141	0.817257	78.078000	73.080000	0.295806	22.176378	1.149817	
0.100000	0.888193	1.083819	78.384000	62.950000	0.297663	21.040493	0.992063	
0.100000	0.890293	0.941533	78.104000	68.920000	0.294569	21.014284	1.000246	
0.100000	0.889743	1.138275	78.318000	65.620000	0.293034	21.168870	1.002913	
0.100000	0.895524	1.148871	78.042000	62.830000	0.290471	21.053720	1.004825	
0.100000	0.877569	0.865187	78.642000	72.070000	0.295205	21.053236	1.003797	
0.100000	0.885660	0.895134	78.244000	69.870000	0.292182	21.175945	1.000423	
0.100000	0.882977	1.846558	78.228000	60.220000	0.294318	21.195584	1.010794	
0.100000	0.875759	1.099029	78.690000	66.870000	0.295277	21.190866	1.006923	
0.100000	0.876914	0.769807	78.672000	74.190000	0.294494	21.161500	0.997066	
0.100000	0.878335	0.944345	78.326000	70.140000	0.292570	21.462222	1.057892	
0.100000	0.881645	0.959485	78.266000	69.860000	0.291673	20.575812	0.919279	
0.100000	0.878419	0.917087	78.418000	69.510000	0.291943	20.662691	0.917890	
0.100000	0.877451	0.823732	78.378000	72.270000	0.291941	20.755500	0.931675	
0.100000	0.869838	0.692235	78.718000	75.730000	0.292938	20.805719	0.924056	
0.100000	0.868688	1.033495	78.736000	67.710000	0.292400	20.960519	0.928410	
0.100000	0.867109	0.791768	78.812000	73.670000	0.292761	20.766690	0.927639	
0.100000	0.868440	0.900911	78.686000	70.970000	0.291744	20.583292	0.930694	
0.100000	0.862079	1.125891	78.904000	63.790000	0.292802	20.638683	0.913754	
0.100000	0.863734	0.940108	78.572000	70.410000	0.290888	20.753498	0.940743	
0.100000	0.867665	1.310772	78.626000	63.300000	0.288439	20.221831	0.994699	
0.100000	0.866833	1.071618	78.612000	66.030000	0.289633	19.368953	0.874760	
0.100000	0.865080	0.937402	78.740000	69.900000	0.290128	19.567574	0.869613	
0.100000	0.862062	0.802139	78.854000	74.020000	0.290917	19.457199	0.881071	
0.100000	0.868507	1.102000	78.492000	64.400000	0.288543	19.374183	0.871100	
0.100000	0.861599	0.880771	78.846000	69.830000	0.290074	19.581482	0.867708	
0.100000	0.861928	0.735241	78.632000	75.650000	0.288775	19.474975	0.863454	
0.100000	0.861269	0.766949	78.972000	74.550000	0.289543	19.524538	0.874921	
0.100000	0.859564	0.795703	78.652000	73.720000	0.289614	19.522479	0.882806	
0.100000	0.856647	0.761071	78.746000	74.610000	0.291002	19.372389	0.881473	
0.100000	0.856274	0.815291	78.934000	72.540000	0.291320	18.136052	0.912451	
0.100000	0.859293	0.947118	78.764000	68.730000	0.289314	17.509154	0.788280	
0.100000	0.853811	1.492195	79.048000	60.510000	0.291645	17.412938	0.777134	
0.100000	0.864078	0.854655	78.772000	71.650000	0.287557	17.527121	0.789199	
0.100000	0.855009	1.460139	78.886000	59.860000	0.290620	17.440186	0.796736	
0.100000	0.859992	0.913043	78.874000	69.510000	0.288833	17.322321	0.799320	
0.100000	0.857634	0.919672	79.118000	70.270000	0.290318	17.525018	0.783813	
0.100000	0.851017	0.916488	78.900000	70.010000	0.289513	17.637188	0.795891	
0.100000	0.848717	1.217698	79.042000	60.710000	0.290771	17.431956	0.800199	
0.100000	0.852486	0.813922	79.008000	72.480000	0.289188	17.427601	0.795325	
0.100000	0.850703	0.768361	78.798000	73.490000	0.289855	17.672944	0.871068	
0.100000	0.848701	0.861149	79.054000	72.800000	0.289360	17.111117	0.771324	
0.100000	0.855493	0.734473	78.916000	75.360000	0.287445	17.129714	0.760822	
0.100000	0.853479	0.798516	78.928000	73.020000	0.288062	17.012716	0.763517	
0.100000	0.852383	1.015931	78.920000	67.040000	0.286737	16.984159	0.769344	
0.100000	0.846227	1.020299	79.004000	68.380000	0.288285	17.225023	0.758403	
0.100000	0.844835	0.710797	79.258000	76.170000	0.287771	17.294334	0.766870	
0.100000	0.850817	0.822049	78.898000	73.020000	0.286136	17.340208	0.777719	
0.100000	0.846849	0.850150	79.044000	70.340000	0.287493	17.224668	0.785647	
0.100000	0.843720	1.556880	79.192000	59.470000	0.288903	16.988026	0.770465	
0.100000	0.851807	0.820781	78.764000	73.080000	0.285580	17.063270	0.875797	
0.100000	0.861576	1.139210	78.566000	63.170000	0.282946	16.450943	0.755461	
0.100000	0.846451	0.776305	79.136000	73.560000	0.287211	16.489539	0.755723	
0.100000	0.850284	1.234563	78.832000	64.220000	0.285477	16.577293	0.782130	
0.100000	0.847242	0.709163	79.046000	75.810000	0.286557	16.395028	0.755507	
0.100000	0.847338	1.005913	78.944000	66.940000	0.285878	16.534471	0.765554	
0.100000	0.846827	0.845941	78.920000	72.010000	0.286609	16.457609	0.771233	
0.100000	0.852104	0.688008	78.948000	76.320000	0.283802	16.440968	0.746407	
0.100000	0.843656	0.749336	79.006000	74.820000	0.286536	16.249287	0.765032	
0.100000	0.846068	0.698098	79.088000	75.980000	0.284865	16.419743	0.748800	
0.010000	0.659005	0.407394	85.574000	86.290000	0.358593	17.150061	0.850864	
0.010000	0.597032	0.385648	87.312000	87.220000	0.382865	16.497294	0.743263	
0.010000	0.571889	0.380164	87.844000	87.120000	0.385329	16.466464	0.747247	
0.010000	0.552822	0.378569	88.356000	87.050000	0.385534	16.544682	0.754252	
0.010000	0.534373	0.375092	88.652000	87.060000	0.386893	16.437583	0.738062	
0.010000	0.522255	0.366296	88.772000	87.360000	0.383151	16.635102	0.742409	
0.010000	0.510127	0.409751	89.024000	86.310000	0.380369	16.340969	0.748536	
0.010000	0.500379	0.358620	89.046000	87.580000	0.376927	16.494739	0.741046	
0.010000	0.494407	0.371838	89.186000	87.180000	0.371019	16.623572	0.750047	
0.010000	0.490438	0.387743	89.050000	86.680000	0.365462	16.542664	0.741754	
