LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.064825	2.321053	38.852000	33.370000	73.624851	2.129313	
0.100000	1.509344	1.456329	59.314000	52.980000	74.232068	1.901289	
0.100000	1.239788	1.341277	68.648000	59.850000	75.578698	1.792794	
0.100000	1.085704	1.276987	73.506000	57.920000	74.853657	1.782843	
0.100000	0.994336	0.940998	75.950000	68.810000	74.508609	1.818089	
0.100000	0.928793	1.017330	78.062000	64.300000	57.587117	1.755687	
0.100000	0.885734	0.921854	79.094000	69.690000	62.177133	1.854954	
0.100000	0.854200	0.817493	79.854000	73.080000	76.469896	1.630500	
0.100000	0.832902	0.970010	80.558000	68.460000	76.081281	1.761588	
0.100000	0.814740	0.978955	80.958000	70.050000	75.723837	1.840842	
0.100000	0.797017	0.727663	81.702000	76.190000	75.555820	1.693636	
0.100000	0.793995	0.734395	81.866000	75.680000	65.266671	1.473866	
0.100000	0.774913	0.992490	82.546000	68.770000	70.026596	1.820411	
0.100000	0.776110	0.975057	82.508000	69.410000	68.866734	1.414959	
0.100000	0.763912	1.146323	82.836000	67.570000	68.092307	1.857872	
0.100000	0.753835	0.731111	83.146000	75.550000	75.598337	1.843756	
0.100000	0.750966	0.762106	83.310000	76.270000	75.495072	1.871844	
0.100000	0.753766	0.661763	83.408000	78.170000	75.705616	1.688849	
0.100000	0.750811	0.634007	83.530000	78.530000	59.046831	1.894386	
0.100000	0.733581	1.296465	84.088000	63.320000	75.392185	1.880048	
0.100000	0.729904	0.824684	84.094000	74.090000	71.427425	1.559261	
0.100000	0.734809	0.772280	83.912000	75.290000	66.380242	1.854675	
0.100000	0.733908	0.997982	83.990000	68.480000	75.166578	1.914670	
0.100000	0.731712	0.665383	84.066000	77.790000	76.942552	1.777251	
0.100000	0.725381	0.604096	84.514000	80.130000	59.187607	1.495936	
0.100000	0.715107	1.533535	84.726000	60.810000	75.450318	1.932353	
0.100000	0.724590	1.253404	84.456000	64.650000	74.562187	1.837434	
0.100000	0.714078	0.867222	84.710000	72.610000	77.538426	1.814614	
0.100000	0.721340	0.956384	84.468000	71.820000	66.746093	1.402788	
0.100000	0.711781	0.724988	84.864000	76.000000	71.109332	1.889973	
0.100000	0.702848	0.781671	85.296000	76.090000	62.132632	1.819419	
0.100000	0.707403	0.950994	84.914000	71.080000	75.594073	1.714103	
0.100000	0.712375	0.672204	84.858000	77.180000	76.846054	1.827621	
0.100000	0.701862	0.891866	85.292000	72.580000	76.649186	1.828482	
0.100000	0.703463	0.565949	85.222000	81.180000	75.307744	1.787832	
0.100000	0.697379	0.584404	85.250000	80.840000	65.410908	1.491261	
0.100000	0.698949	0.573171	85.238000	80.390000	55.662205	1.721141	
0.100000	0.697293	0.673635	85.412000	78.860000	76.567044	1.672432	
0.100000	0.699518	1.368398	85.300000	63.420000	76.307896	1.820864	
0.100000	0.689958	0.551901	85.634000	81.760000	75.457293	1.895159	
0.100000	0.687692	1.000595	85.552000	71.830000	77.687680	2.010821	
0.100000	0.691224	0.665561	85.580000	77.980000	75.926263	1.774095	
0.100000	0.689443	0.675250	85.672000	77.800000	67.823273	1.526179	
0.100000	0.694602	0.844750	85.398000	73.780000	55.229159	1.902141	
0.100000	0.697545	0.538855	85.412000	81.860000	76.139807	1.803671	
0.100000	0.678175	1.224988	85.980000	66.370000	76.805809	1.981400	
0.100000	0.693766	0.585947	85.506000	80.270000	75.481801	1.701277	
0.100000	0.687365	0.702425	85.748000	77.010000	74.801932	1.794924	
0.100000	0.688180	0.633050	85.702000	79.480000	75.522743	1.642125	
0.100000	0.684091	1.155297	85.786000	67.160000	57.837522	1.709260	
0.100000	0.676592	0.619877	86.136000	79.230000	60.970686	2.106649	
0.100000	0.672959	0.655835	86.126000	77.870000	76.151839	1.781395	
0.100000	0.686469	0.572016	85.696000	80.530000	75.582332	1.754256	
0.100000	0.684650	0.873200	85.736000	72.750000	74.479234	1.838825	
0.100000	0.684329	0.530398	85.838000	82.130000	76.768023	1.899850	
0.100000	0.670748	0.689072	86.368000	77.820000	71.094437	1.974908	
0.100000	0.678259	0.609666	86.024000	80.740000	76.026269	1.861993	
0.100000	0.679262	0.542172	86.070000	82.150000	61.860993	1.438492	
0.100000	0.675354	0.610987	86.096000	80.360000	72.131161	1.712271	
0.100000	0.679394	0.727934	85.994000	76.580000	75.754338	1.733231	
0.100000	0.671590	0.682310	86.224000	78.350000	75.070693	1.849856	
0.100000	0.681415	0.651236	86.046000	79.560000	60.961533	1.863727	
0.100000	0.673738	1.105539	86.152000	68.770000	76.115818	1.851900	
0.100000	0.679129	0.761330	86.048000	76.240000	76.391895	1.500190	
0.100000	0.679534	0.675892	86.002000	79.280000	76.477864	1.842077	
0.100000	0.662066	0.602184	86.616000	80.810000	74.207608	1.960714	
0.100000	0.676380	0.634339	86.160000	77.900000	67.111431	1.478680	
0.100000	0.671031	0.768971	86.114000	76.200000	72.102551	1.844707	
0.100000	0.670958	0.646142	86.234000	78.250000	75.795670	1.749671	
0.100000	0.673425	0.620339	86.072000	79.340000	75.769118	1.720221	
0.100000	0.667527	0.542386	86.298000	81.590000	75.676653	1.952414	
0.100000	0.671230	0.533264	86.382000	82.260000	74.942346	1.695822	
0.100000	0.666965	0.610877	86.392000	79.940000	57.963755	1.705304	
0.100000	0.668417	0.579317	86.260000	81.040000	61.399117	1.812834	
0.100000	0.681373	0.549385	85.924000	81.350000	74.855528	1.731704	
0.100000	0.664297	0.795287	86.456000	74.610000	75.482249	2.028792	
0.100000	0.674441	0.799366	85.918000	74.550000	75.049315	1.856875	
0.100000	0.669474	0.716717	86.276000	77.630000	76.209086	1.767855	
0.100000	0.662872	0.572805	86.620000	80.980000	75.924557	1.792290	
0.100000	0.672176	0.525418	86.286000	82.240000	57.401058	1.624151	
0.100000	0.662086	0.631908	86.584000	78.530000	77.476880	1.989684	
0.100000	0.664673	0.545709	86.464000	82.000000	74.665428	1.794569	
0.100000	0.669317	0.884755	86.234000	71.720000	74.810204	1.772246	
0.100000	0.668286	0.515832	86.412000	82.210000	76.093110	1.834661	
0.100000	0.662237	0.865447	86.684000	74.080000	75.915727	1.819016	
0.100000	0.652342	0.691594	86.784000	77.160000	75.495583	1.838942	
0.100000	0.671811	0.521822	85.992000	82.050000	57.485898	1.832846	
0.100000	0.659556	0.761474	86.558000	76.840000	75.680563	1.745109	
0.100000	0.661904	1.746630	86.506000	61.880000	74.961331	1.794920	
0.100000	0.670857	0.727734	86.254000	77.250000	75.758689	1.648667	
0.100000	0.659368	0.595343	86.522000	79.810000	74.323678	1.628630	
0.100000	0.666963	0.563784	86.478000	81.420000	64.340015	1.809108	
0.010000	0.536038	0.304931	90.856000	89.610000	75.329896	1.864336	
