LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.711531	1.443612	36.100000	46.610000	130.680193	3.905160	
0.100000	1.221284	1.505173	55.568000	53.370000	146.972148	3.647032	
0.100000	0.923102	1.008153	67.216000	64.940000	140.176093	3.675996	
0.100000	0.761630	0.804573	73.362000	72.320000	148.126131	3.857783	
0.100000	0.675404	1.268947	76.642000	62.180000	136.158137	3.706658	
0.100000	0.612995	0.801638	78.784000	73.250000	143.094031	4.091480	
0.100000	0.575492	0.821036	80.016000	72.620000	148.217177	3.715530	
0.100000	0.536950	0.810099	81.366000	73.610000	142.309721	3.791921	
0.100000	0.515388	0.689250	82.092000	76.730000	148.544414	3.693299	
0.100000	0.495107	0.778810	82.862000	74.820000	136.632392	3.685793	
0.100000	0.472995	0.699642	83.724000	77.420000	141.827067	3.903554	
0.100000	0.461216	0.770067	84.294000	75.030000	147.797774	3.653138	
0.100000	0.447581	0.690132	84.502000	77.630000	139.072238	3.934614	
0.100000	0.443830	0.740412	84.808000	76.060000	142.368638	4.555979	
0.100000	0.433575	0.837156	84.950000	74.060000	128.887012	4.871521	
0.100000	0.418774	1.137878	85.776000	67.020000	139.962273	4.024100	
0.100000	0.414621	0.798508	85.786000	75.050000	145.299449	4.411533	
0.100000	0.411409	0.641380	85.784000	78.910000	139.606296	4.075478	
0.100000	0.400994	0.574763	86.162000	80.720000	144.901910	4.688224	
0.100000	0.395735	0.636012	86.354000	79.900000	136.091243	3.421129	
0.100000	0.390026	0.534313	86.510000	81.810000	134.468103	4.312940	
0.100000	0.384292	0.815750	86.742000	75.280000	144.031528	4.866053	
0.100000	0.385528	0.522701	86.782000	82.650000	137.563762	3.561499	
0.100000	0.379853	0.531793	86.906000	82.070000	143.691280	4.440563	
0.100000	0.369704	0.523059	87.348000	82.770000	136.893449	3.471591	
0.100000	0.366608	0.759799	87.404000	77.240000	136.932491	4.582332	
0.100000	0.366715	0.710518	87.496000	77.680000	145.723079	4.039724	
0.100000	0.356777	0.656003	87.738000	79.750000	136.070219	3.542731	
0.100000	0.352702	0.608012	88.016000	80.500000	143.737534	3.764385	
0.100000	0.357589	0.867211	87.596000	74.340000	136.559713	4.686574	
0.100000	0.349940	0.664756	87.986000	78.030000	135.071520	4.313938	
0.100000	0.347272	0.565462	88.008000	81.220000	146.953569	4.768088	
0.100000	0.341762	0.677843	88.162000	78.280000	139.061817	4.004903	
0.100000	0.348532	0.719500	87.850000	77.410000	147.231810	4.914715	
0.100000	0.338715	0.623981	88.392000	80.510000	139.720289	3.748680	
0.100000	0.330380	0.532659	88.808000	82.940000	135.561749	4.131626	
0.100000	0.335915	0.541488	88.478000	82.350000	145.937261	4.744488	
0.100000	0.331305	0.891205	88.486000	74.000000	137.832175	3.927574	
0.100000	0.326022	0.509646	88.750000	83.520000	140.729393	3.768392	
0.100000	0.325718	0.595942	88.816000	81.850000	140.399035	3.437313	
0.100000	0.319221	0.745472	88.912000	77.550000	136.991127	3.983163	
0.100000	0.337550	0.706221	88.330000	78.100000	145.272162	3.866127	
0.100000	0.323668	0.501715	88.702000	83.470000	135.561188	4.071451	
0.100000	0.329344	0.560936	88.646000	82.270000	141.869991	3.598127	
0.100000	0.324297	0.834481	88.828000	75.070000	141.571224	3.313257	
0.100000	0.314413	0.481890	89.178000	83.780000	142.880014	3.868263	
0.100000	0.318595	0.712560	89.068000	77.630000	147.360765	4.327853	
0.100000	0.319967	0.564771	88.910000	82.380000	142.032279	4.089806	
0.100000	0.314377	0.525188	89.220000	82.920000	139.632401	4.815204	
0.100000	0.317851	0.794119	88.902000	77.380000	147.487893	3.868340	
0.100000	0.304509	0.635127	89.524000	79.500000	146.583979	4.563722	
0.100000	0.314140	0.543233	89.270000	82.540000	142.361708	5.030639	
0.100000	0.315744	0.538457	89.062000	82.970000	136.972696	4.590931	
0.100000	0.309755	0.688241	89.384000	79.520000	139.787000	5.170553	
0.100000	0.304546	0.758839	89.580000	77.970000	133.556600	3.565063	
0.100000	0.298858	0.618963	89.732000	80.550000	147.411681	4.238409	
0.100000	0.308976	1.016505	89.448000	72.690000	141.471738	5.033824	
0.100000	0.308228	0.633788	89.426000	80.950000	136.170077	4.083073	
0.100000	0.310497	0.704903	89.346000	80.510000	135.570442	4.162910	
0.100000	0.306716	0.648099	89.368000	79.710000	138.687613	3.743904	
0.100000	0.299366	0.536735	89.794000	83.200000	146.468265	3.930974	
0.100000	0.303263	0.581145	89.526000	81.520000	144.159549	3.765289	
0.100000	0.307738	0.668358	89.436000	79.710000	135.613536	3.714972	
0.100000	0.302095	0.538817	89.602000	83.060000	133.960168	3.763958	
0.100000	0.299770	0.634983	89.588000	80.100000	134.467368	4.099569	
0.100000	0.290930	0.471035	90.048000	84.990000	147.367335	4.572907	
0.100000	0.302374	1.127888	89.482000	68.630000	145.902844	3.853798	
0.100000	0.302876	0.554281	89.522000	81.920000	135.739572	4.092322	
0.100000	0.303464	0.649096	89.488000	79.700000	132.334670	4.253648	
