LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.716038	1.937188	36.086000	35.340000	17.795408	1.338072	
0.100000	1.185907	1.567582	56.808000	51.130000	16.449877	1.110267	
0.100000	0.921829	1.220148	67.208000	61.150000	38.940183	2.144236	
0.100000	0.767779	0.876895	73.248000	71.190000	66.430676	2.760063	
0.100000	0.672443	0.856332	76.598000	71.770000	118.641482	4.937571	
0.100000	0.609858	0.793638	78.862000	73.420000	151.396940	3.705153	
0.100000	0.574337	0.736133	79.940000	75.260000	148.326023	3.556546	
0.100000	0.537527	0.793082	81.414000	72.110000	139.757211	3.529276	
0.100000	0.512839	0.850623	82.268000	71.630000	139.759122	3.567596	
0.100000	0.487051	0.808789	83.306000	73.720000	133.509570	3.544933	
0.100000	0.468706	0.596696	83.944000	80.560000	145.563707	3.648909	
0.100000	0.452915	0.590419	84.478000	79.940000	145.558927	3.562978	
0.100000	0.443308	0.769240	84.774000	74.100000	139.206984	3.558714	
0.100000	0.435135	0.660352	85.042000	77.980000	138.628640	3.552672	
0.100000	0.429283	0.733888	85.366000	77.460000	132.468140	3.561035	
0.100000	0.416359	0.694335	85.776000	77.540000	144.842659	3.647882	
0.100000	0.410558	0.638027	85.862000	79.660000	144.442653	3.536336	
0.100000	0.401887	0.648209	86.134000	79.030000	138.055066	3.548043	
0.100000	0.394387	0.705659	86.372000	78.120000	137.832648	3.547128	
0.100000	0.388795	0.605375	86.616000	80.400000	131.831328	3.543248	
0.100000	0.380790	0.717388	86.996000	77.710000	145.334484	3.656810	
0.100000	0.383818	0.640979	86.784000	78.480000	145.083692	3.532716	
0.100000	0.370197	0.706345	87.300000	77.670000	138.514398	3.549842	
0.100000	0.373310	0.534668	87.086000	82.600000	138.435029	3.552532	
0.100000	0.366330	0.566777	87.420000	81.380000	132.407170	3.550488	
0.100000	0.349643	0.583783	87.978000	81.420000	145.912740	3.661174	
0.100000	0.361516	0.529517	87.706000	81.940000	145.673765	3.552309	
0.100000	0.358099	0.543456	87.676000	82.900000	139.191545	3.566262	
0.100000	0.349906	0.543230	87.952000	82.850000	139.146119	3.568634	
0.100000	0.343025	0.516427	88.126000	83.340000	131.894596	3.542241	
0.100000	0.338437	0.987673	88.304000	71.770000	143.552233	3.641618	
0.100000	0.343361	0.531127	88.112000	82.830000	143.248522	3.568391	
0.100000	0.341407	0.786778	88.178000	76.970000	137.524309	3.594264	
0.100000	0.342236	0.601019	88.332000	79.990000	137.492365	3.576701	
0.100000	0.334159	0.499148	88.604000	83.520000	131.952287	3.543744	
0.100000	0.330446	0.567092	88.604000	81.680000	143.558364	3.676423	
0.100000	0.325533	0.508441	88.908000	83.400000	142.898011	3.537601	
0.100000	0.329645	0.467690	88.654000	84.700000	136.478290	3.520317	
0.100000	0.325807	0.667566	88.808000	78.870000	137.307548	3.595093	
0.100000	0.324391	0.500555	88.850000	83.880000	132.427884	3.602402	
0.100000	0.318204	0.574424	88.892000	82.000000	146.718796	3.690047	
0.100000	0.321370	0.532491	88.896000	82.680000	146.115040	3.584641	
0.100000	0.316858	1.344826	89.052000	63.120000	139.847875	3.571931	
0.100000	0.317943	0.497916	89.166000	83.470000	139.697024	3.571001	
0.100000	0.322135	0.724320	88.884000	77.770000	133.069994	3.558868	
0.100000	0.311395	0.504524	89.252000	83.300000	143.803452	3.700279	
0.100000	0.310336	0.498143	89.226000	83.590000	143.356530	3.552977	
0.100000	0.313028	0.762386	89.378000	77.350000	136.945286	3.531876	
0.100000	0.311356	0.606605	89.348000	81.190000	136.573017	3.509576	
0.100000	0.310525	0.816237	89.266000	77.280000	131.884101	3.560197	
0.100000	0.306276	0.648438	89.512000	79.980000	145.231794	3.664263	
0.100000	0.311522	0.509253	89.218000	83.080000	144.834734	3.567633	
0.100000	0.305086	0.920875	89.426000	73.820000	138.866215	3.562919	
0.100000	0.305843	0.535330	89.548000	82.710000	138.801342	3.567952	
0.100000	0.308150	0.902017	89.396000	75.070000	131.771978	3.568087	
