LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.742440	1.678825	34.322000	38.330000	11.544756	0.744310	
0.100000	1.287353	1.255862	52.996000	55.180000	11.425957	0.750193	
0.100000	1.023257	1.649260	63.018000	52.190000	11.549956	0.766107	
0.100000	0.880878	1.358039	68.812000	60.200000	11.660539	0.745358	
0.100000	0.777364	1.096987	72.668000	65.160000	11.378163	0.757601	
0.100000	0.710143	1.233065	75.268000	62.340000	11.641682	0.749902	
0.100000	0.662244	0.947345	76.942000	68.470000	11.668679	0.742587	
0.100000	0.633721	0.694769	77.912000	76.280000	11.248900	0.731324	
0.100000	0.602878	0.832636	79.206000	72.950000	11.411147	0.774560	
0.100000	0.580029	0.654942	79.788000	77.810000	11.641417	0.746928	
0.100000	0.564408	0.876470	80.502000	72.600000	11.333693	0.756317	
0.100000	0.552470	0.705116	81.070000	77.020000	11.390177	0.735816	
0.100000	0.541858	0.817989	81.320000	74.070000	11.731726	0.765251	
0.100000	0.530392	1.534617	81.884000	60.420000	11.656191	0.750179	
0.100000	0.518419	0.813007	82.156000	73.320000	11.761913	0.728090	
0.100000	0.508176	0.716813	82.460000	75.030000	11.436737	0.728395	
0.100000	0.508422	0.811683	82.314000	73.350000	11.383933	0.753548	
0.100000	0.496486	0.673911	82.814000	77.690000	11.539554	0.741125	
0.100000	0.490822	0.860616	82.938000	71.650000	11.641519	0.732038	
0.100000	0.493304	1.002463	83.142000	69.680000	11.423654	0.737706	
0.100000	0.472055	0.723283	83.664000	76.350000	11.520071	0.772863	
0.100000	0.469540	0.628323	83.928000	79.000000	11.428662	0.770144	
0.100000	0.469042	0.855685	84.004000	73.760000	11.571735	0.767598	
0.100000	0.463287	0.653879	84.096000	78.990000	11.767633	0.806809	
0.100000	0.458919	0.648405	84.158000	78.170000	11.908336	0.759286	
0.100000	0.453688	0.972456	84.312000	71.480000	11.625176	0.776430	
0.100000	0.448510	0.632041	84.508000	79.910000	11.771103	0.758863	
0.100000	0.456429	0.684663	84.330000	77.650000	11.422497	0.760092	
0.100000	0.448667	0.807303	84.586000	73.970000	11.453482	0.759193	
0.100000	0.439822	0.545694	85.012000	81.390000	11.611792	0.763861	
0.100000	0.429370	1.041891	85.182000	66.530000	11.654128	0.755780	
0.100000	0.444064	1.234702	84.610000	64.650000	11.496502	0.754869	
0.100000	0.438101	1.155534	84.892000	66.340000	11.400521	0.725134	
0.100000	0.432850	0.958101	85.114000	71.410000	11.341129	0.794057	
0.100000	0.429505	0.877502	85.160000	72.320000	11.553847	0.772590	
