LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.915801	1.691643	26.880000	36.490000	18.067774	1.214500	
0.100000	1.473002	1.367948	45.454000	52.470000	17.748619	1.402207	
0.100000	1.150493	1.760009	58.538000	50.440000	18.202762	1.278510	
0.100000	0.934465	1.022160	66.702000	64.530000	17.815119	1.360617	
0.100000	0.794101	0.995021	72.044000	65.350000	43.376121	2.195862	
0.100000	0.698331	0.808805	75.584000	71.980000	48.079334	2.195441	
0.100000	0.647247	0.910231	77.564000	70.260000	48.291710	1.965836	
0.100000	0.607975	0.894794	79.022000	70.930000	48.882602	1.374971	
0.100000	0.567998	0.844543	80.350000	73.370000	17.768899	1.350238	
0.100000	0.546917	0.701492	81.162000	76.320000	42.127741	2.059109	
0.100000	0.526619	0.874683	81.806000	73.340000	47.798395	1.950876	
0.100000	0.511128	0.708460	82.400000	76.770000	46.511123	1.976257	
0.100000	0.501381	1.009469	82.620000	69.700000	44.984435	1.379558	
0.100000	0.484298	0.627239	83.288000	78.810000	17.579951	1.526970	
0.100000	0.483127	0.832202	83.388000	72.950000	44.185416	1.986156	
0.100000	0.470491	0.758667	83.674000	74.910000	46.548838	2.122830	
0.100000	0.452250	0.679147	84.462000	78.260000	46.911071	2.021962	
0.100000	0.453064	0.723176	84.394000	76.850000	40.305384	1.480326	
0.100000	0.445427	0.747988	84.670000	77.180000	18.503084	2.058911	
0.100000	0.438963	0.769556	84.950000	75.010000	47.050326	1.991608	
0.100000	0.421745	0.615494	85.378000	79.220000	46.044886	2.105300	
0.100000	0.423631	0.678454	85.396000	78.730000	46.479575	1.853029	
0.100000	0.418838	0.721204	85.618000	77.630000	33.658249	1.073412	
0.100000	0.418838	0.657521	85.504000	78.400000	18.552383	2.028686	
0.100000	0.411188	0.748781	85.918000	75.710000	47.372405	2.007432	
0.100000	0.399042	0.593459	86.150000	79.730000	47.261131	2.150080	
0.100000	0.402959	0.758142	86.368000	75.970000	47.134499	1.931398	
0.100000	0.403225	0.583847	86.182000	80.750000	33.194259	1.275223	
0.100000	0.397741	0.720049	86.384000	77.750000	24.882923	2.125258	
0.100000	0.388760	1.043811	86.740000	71.290000	47.476803	2.087965	
0.100000	0.383557	0.902644	86.924000	71.650000	46.572633	2.079284	
0.100000	0.389043	0.570956	86.548000	80.940000	47.564160	2.071465	
0.100000	0.380477	0.767299	87.058000	77.260000	27.381762	1.250932	
0.100000	0.378154	0.528165	87.086000	83.160000	30.070683	2.066433	
0.100000	0.384151	0.758990	86.778000	76.780000	47.176133	2.057450	
0.100000	0.369071	0.513633	87.378000	82.950000	47.058069	2.202789	
0.100000	0.376607	0.876784	87.100000	73.150000	46.414980	1.996589	
0.100000	0.374519	0.695402	87.080000	78.060000	23.710805	1.156589	
0.100000	0.368903	0.540727	87.432000	82.800000	36.298098	2.138546	
0.100000	0.373510	0.696930	87.144000	78.410000	46.925000	1.995870	
0.100000	0.366797	0.669872	87.408000	78.740000	48.736800	1.835948	
0.100000	0.366245	0.609802	87.354000	80.190000	49.113607	1.860678	
0.100000	0.358089	0.930509	87.618000	73.130000	19.465752	1.502609	
0.100000	0.362343	0.472009	87.380000	84.220000	44.631899	1.988156	
0.100000	0.365932	0.644602	87.434000	79.860000	47.110166	1.959502	
0.100000	0.351029	0.498225	87.882000	83.210000	47.999187	2.278292	
0.100000	0.359201	0.575247	87.670000	82.330000	41.332343	1.435929	
0.100000	0.354738	0.582186	87.884000	81.690000	20.945084	2.308345	
0.100000	0.354669	0.512164	87.998000	83.090000	47.234684	2.458811	
0.100000	0.359603	0.462065	87.706000	84.530000	48.168707	2.273880	
0.100000	0.344111	0.525334	88.162000	82.430000	46.934604	2.180740	
0.100000	0.352654	0.918847	87.754000	72.570000	33.948303	1.376663	
0.100000	0.351539	0.717592	88.002000	77.340000	27.455021	2.189258	
0.100000	0.350622	0.476666	87.994000	84.380000	47.036479	2.211312	
0.100000	0.342208	0.496236	88.220000	83.210000	47.211236	2.105912	
0.100000	0.339987	0.715588	88.230000	78.120000	47.819801	2.182780	
0.100000	0.349130	0.472235	88.026000	83.930000	23.281569	1.397235	
0.100000	0.348032	0.640123	87.962000	80.940000	38.970510	2.102275	
0.100000	0.347407	0.905854	87.968000	73.110000	47.443560	2.306561	
0.100000	0.339050	0.761526	88.408000	76.150000	47.212031	2.090083	
0.100000	0.335655	0.498070	88.612000	83.380000	49.077256	1.851320	
0.100000	0.349677	0.805115	87.958000	75.300000	19.501338	1.499798	
0.100000	0.341821	0.911923	88.250000	71.930000	44.084794	2.224049	
0.100000	0.342543	0.602439	88.306000	80.860000	47.389020	2.099767	
0.100000	0.334216	0.576397	88.358000	81.320000	48.016540	2.047110	
0.100000	0.335202	0.600085	88.496000	79.940000	40.314873	1.332370	
0.100000	0.343226	0.581314	88.184000	81.330000	19.008783	1.968010	
0.100000	0.337411	0.444360	88.354000	84.960000	46.984944	2.209606	
0.100000	0.332672	0.545726	88.648000	81.770000	47.108294	2.136498	
0.100000	0.337113	0.640814	88.444000	79.450000	47.878870	2.113188	
0.100000	0.333218	0.647824	88.518000	79.400000	36.244759	1.411001	
0.100000	0.332564	0.620966	88.570000	80.660000	23.359420	2.292032	
0.100000	0.329704	0.556312	88.400000	82.110000	46.429445	2.090847	
0.100000	0.340047	0.576137	88.342000	81.980000	47.759204	2.264676	
0.100000	0.330683	0.554409	88.698000	81.650000	46.807855	2.268690	
0.100000	0.324247	0.700012	88.966000	78.910000	32.574895	1.565650	
0.100000	0.331917	0.477648	88.580000	84.160000	26.591514	2.179396	
0.100000	0.335229	0.845564	88.442000	76.270000	47.225523	2.146730	
0.100000	0.331758	0.604194	88.590000	81.290000	47.337813	2.124356	
