LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.111328	2.509873	1.527116	31.252000	44.890000	24.924369	1.683162	
0.111328	1.886108	1.254347	53.292000	55.280000	103.563423	4.356070	
0.111328	1.544515	1.034114	63.842001	63.630000	189.613382	4.408272	
0.111328	1.318295	1.000432	70.166001	64.810000	191.187413	4.296605	
0.111328	1.167872	0.812786	74.190000	72.390000	190.752580	4.468692	
0.115625	1.023163	1.366153	75.864002	60.550000	174.000284	3.308485	
0.115625	0.962381	0.784046	77.326001	73.930000	148.373502	3.337588	
0.115625	0.909426	0.812493	79.184002	73.510000	177.263575	3.502894	
0.115625	0.874336	0.770038	80.006002	74.590000	177.087290	3.488482	
0.115625	0.852435	1.018526	80.452002	67.650000	176.280757	3.449511	
0.118750	0.835933	0.931905	80.427999	70.260000	173.015587	3.407801	
0.118750	0.820313	1.335073	80.733999	60.780000	138.325269	3.347715	
0.118750	0.816793	0.879507	81.097999	73.160000	171.790607	3.366704	
0.118750	0.798637	1.106075	81.911999	66.960000	171.985695	3.458391	
0.118750	0.790350	1.123042	82.111999	67.420000	172.427455	3.369722	
0.119141	0.776455	0.974792	82.483999	70.850000	171.981511	3.699914	
0.119141	0.775761	0.973676	82.509999	70.310000	134.582274	3.384391	
0.119141	0.768664	0.849711	82.945999	72.460000	169.530824	3.349252	
0.119141	0.765967	0.913038	82.961999	70.860000	168.484996	3.344463	
0.119141	0.758501	0.805010	83.279999	74.270000	169.041934	3.402826	
0.119531	0.753541	1.053062	83.184002	68.910000	161.758168	3.591414	
0.119531	0.758615	0.772710	83.130002	74.970000	129.189492	2.620865	
0.119531	0.744914	0.997862	83.704003	69.570000	157.255530	3.238227	
0.119531	0.753008	0.715229	83.230002	77.330000	159.106010	3.212565	
0.119531	0.743873	1.075243	83.862003	66.820000	159.739295	3.179258	
0.119922	0.734272	1.236586	83.971997	63.090000	161.474422	3.735257	
0.119922	0.741131	1.031035	83.757997	67.320000	143.204977	3.288563	
0.119922	0.738981	0.639736	83.843997	78.820000	139.956850	3.090298	
0.119922	0.731490	0.966108	84.027997	72.450000	159.047310	3.178309	
0.119922	0.728784	0.955006	84.169997	70.130000	159.229651	3.151825	
0.120313	0.718599	0.737398	84.475999	75.690000	161.331265	3.718060	
0.120313	0.725942	0.778452	84.207999	76.010000	142.145450	3.178009	
0.120313	0.720136	0.849774	84.373999	74.530000	139.100523	3.144974	
0.120313	0.720124	0.716867	84.477999	75.880000	158.894996	3.145326	
