LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.200000	2.344731	1.687408	31.144000	38.740000	199.595477	3.875522	
0.200000	1.761310	2.245416	50.712000	31.870000	220.349575	3.212738	
0.200000	1.375579	1.312278	63.092000	59.060000	196.839319	3.357426	
0.200000	1.151856	0.975037	69.812000	66.780000	197.667285	3.354680	
0.200000	1.036776	1.696313	73.426000	52.810000	197.181213	3.318542	
0.200000	0.963256	1.679413	74.172000	53.840000	166.074518	3.592027	
0.200000	0.925089	1.510539	76.022000	57.640000	195.080158	3.181661	
0.200000	0.897934	1.766331	76.984000	49.130000	195.775823	3.364567	
0.200000	0.885565	1.528934	77.542000	59.340000	195.257310	3.193967	
0.200000	0.863105	1.031538	78.346000	66.140000	195.857116	3.146856	
0.200000	0.842255	0.905067	78.880000	69.900000	178.191500	3.735766	
0.200000	0.852331	0.850495	78.942000	71.460000	193.355559	3.307350	
0.200000	0.840661	0.983628	79.302000	70.130000	192.015661	3.335836	
0.200000	0.829332	0.766647	79.654000	74.370000	193.453803	3.327842	
0.200000	0.832673	1.084471	79.654000	65.970000	185.593608	3.070083	
0.200000	0.811691	0.953612	80.152000	69.100000	189.372433	3.702858	
0.200000	0.820895	0.733712	79.844000	76.040000	191.621408	3.455064	
0.200000	0.814886	1.140229	80.106000	67.090000	192.733378	3.203626	
0.200000	0.800907	0.831619	80.624000	71.820000	185.645518	3.257758	
0.200000	0.811638	1.791724	80.226000	56.670000	176.611578	2.815215	
0.200000	0.789887	0.982135	81.096000	70.180000	183.677860	3.513516	
0.200000	0.803778	0.959372	80.636000	69.970000	179.904215	3.137875	
0.200000	0.791311	1.078711	80.800000	67.460000	179.612589	3.068701	
0.200000	0.791109	0.834092	80.718000	72.380000	173.509638	3.217622	
0.200000	0.795505	0.834988	80.560000	73.480000	168.621943	2.475674	
0.200000	0.779687	0.855775	81.022000	70.970000	182.240709	3.364528	
0.200000	0.788965	0.695854	80.850000	76.330000	180.931033	3.173489	
0.200000	0.779432	1.139678	81.198000	66.950000	181.248085	2.939946	
0.200000	0.777823	0.799541	81.092000	73.090000	172.898925	3.050116	
0.200000	0.779201	1.124720	81.206000	65.170000	167.565377	2.752316	
0.200000	0.772862	0.879579	81.350000	71.010000	160.237033	3.058465	
0.200000	0.785440	0.979857	80.942000	71.430000	158.258659	2.741862	
0.200000	0.776856	0.707819	81.064000	76.230000	158.825697	2.695026	
0.200000	0.776641	1.080688	81.290000	67.310000	150.974143	2.715114	
0.200000	0.771366	1.078928	81.408000	65.450000	159.674282	2.746526	
0.200000	0.760807	1.483606	81.530000	59.200000	147.891366	2.981122	
0.200000	0.775631	0.873459	81.242000	71.980000	159.504970	2.726747	
0.200000	0.762688	0.908376	81.762000	71.140000	158.198861	2.588321	
0.200000	0.767222	0.965548	81.596000	68.410000	151.899308	2.961885	
0.200000	0.762300	0.751902	81.660000	74.940000	158.918386	3.004149	
0.200000	0.756496	1.060715	81.676000	67.840000	148.447923	2.802040	
0.200000	0.773095	0.966275	81.186000	69.550000	155.954079	2.700582	
0.200000	0.761173	0.636385	81.540000	78.260000	158.837340	2.477809	
0.200000	0.749326	1.312915	81.852000	60.680000	151.138417	2.888033	
0.200000	0.757127	1.152069	81.866000	66.210000	158.898690	2.700443	
0.200000	0.748446	1.002208	82.120000	68.370000	159.393052	3.282363	
0.200000	0.758080	1.195077	81.624000	65.300000	141.613156	2.714563	
0.200000	0.758703	1.185897	81.816000	63.250000	150.807300	2.743460	
0.200000	0.753235	0.937573	81.968000	71.230000	158.196915	2.761789	
0.200000	0.756775	1.071225	81.710000	69.930000	159.012483	2.735027	
0.200000	0.741845	0.975780	82.114000	69.410000	158.807130	3.001792	
0.200000	0.753902	0.910401	81.786000	71.470000	150.686721	2.577767	
0.200000	0.750026	0.780563	81.752000	75.160000	144.557966	2.771058	
0.200000	0.741153	0.746181	82.272000	75.050000	158.289667	2.660655	
0.200000	0.753814	0.769223	82.036000	74.620000	159.251381	2.794777	
0.200000	0.742634	0.766663	82.312000	76.030000	159.048583	3.063893	
