LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.200000	2.630978	2.001973	28.418000	32.820000	195.308462	3.816146	
0.200000	1.886146	3.728918	50.956000	24.330000	197.132059	3.565799	
0.200000	1.492675	1.241684	61.634000	57.470000	198.495248	3.525132	
0.200000	1.251898	3.960302	68.838000	33.760000	196.854105	3.539194	
0.200000	1.133096	1.536558	72.622000	53.830000	181.976951	2.161290	
0.200000	1.071166	1.336463	74.820000	57.080000	197.472635	3.901125	
0.200000	1.033236	1.441970	76.448000	61.700000	197.097020	3.676104	
0.200000	1.017282	0.956474	76.854000	67.680000	196.379078	3.470338	
0.200000	1.010899	0.910683	77.234000	68.830000	195.471327	3.667611	
0.200000	0.989119	1.226726	77.978000	64.440000	194.913964	3.315511	
0.200000	0.972834	1.229888	78.188000	63.280000	195.686228	3.531466	
0.200000	0.966656	1.491360	78.612000	60.290000	196.384923	3.248365	
0.200000	0.967244	0.881242	78.526000	71.490000	196.092246	3.253958	
0.200000	0.954429	1.254423	78.994000	63.950000	196.476897	3.211275	
0.200000	0.945435	1.124952	79.272000	67.670000	191.032739	2.223385	
0.200000	0.934437	1.036524	79.630000	68.110000	198.268760	3.471420	
0.200000	0.931151	1.019237	79.834000	65.850000	197.954182	3.428092	
0.200000	0.926456	0.925015	79.802000	69.490000	198.405201	3.408633	
0.200000	0.916178	1.202698	80.206000	65.710000	198.072624	3.249651	
0.200000	0.920634	0.909058	79.702000	69.790000	190.964235	3.013018	
0.200000	0.902389	1.362779	80.196000	61.440000	173.460737	3.175489	
0.200000	0.908827	1.059750	80.248000	66.770000	171.799266	2.694024	
0.200000	0.910412	1.064001	80.158000	67.110000	171.758901	2.718445	
0.200000	0.902506	1.057321	80.402000	66.870000	165.770107	2.803536	
0.200000	0.903279	1.273284	80.280000	57.370000	171.826909	2.851392	
0.200000	0.891813	0.875056	80.560000	70.650000	158.796052	3.278499	
0.200000	0.903192	0.923922	80.170000	70.410000	171.416794	2.794948	
0.200000	0.888041	1.019839	80.604000	70.490000	171.266630	2.834899	
0.200000	0.890180	0.839565	80.594000	71.470000	164.055954	2.829716	
0.200000	0.884350	0.873232	80.586000	72.280000	171.286747	2.888753	
0.200000	0.871220	1.216733	80.914000	63.130000	156.300030	3.179835	
0.200000	0.880408	1.750320	80.634000	54.310000	171.627270	2.747729	
0.200000	0.879523	0.802536	80.580000	72.960000	166.135233	2.388551	
0.200000	0.871385	0.896213	80.808000	69.960000	171.312127	2.756374	
0.200000	0.867191	1.229881	80.928000	62.600000	161.457172	1.802336	
0.200000	0.859729	0.932648	81.196000	69.260000	173.792369	3.218915	
0.200000	0.870548	1.203889	80.736000	63.370000	171.356550	2.837824	
0.200000	0.870758	1.036279	80.668000	70.190000	164.360829	2.824266	
0.200000	0.864093	0.928333	81.128000	71.320000	171.264048	2.811032	
0.200000	0.860794	1.260571	81.144000	64.550000	127.934166	2.814328	
0.200000	0.855661	0.781387	81.198000	74.230000	150.143116	2.800740	
0.200000	0.865053	0.850576	81.010000	71.450000	147.973789	2.415056	
0.200000	0.857185	1.233315	81.166000	62.830000	141.924934	2.423507	
0.200000	0.847002	0.819421	81.576000	74.210000	148.022557	2.039368	
0.200000	0.856669	1.252819	81.076000	60.230000	130.744868	2.427527	
0.200000	0.844716	0.855311	81.500000	73.030000	150.216381	2.777901	
0.200000	0.857196	0.865427	81.054000	72.750000	148.128692	2.402579	
0.200000	0.852524	1.896250	81.096000	51.540000	145.922688	2.056763	
0.200000	0.849566	0.919841	81.226000	71.020000	137.474798	2.333071	
0.200000	0.853428	0.779576	80.972000	74.020000	141.383619	2.421628	
0.200000	0.843073	0.997064	81.320000	69.010000	146.069787	2.701051	
0.200000	0.844269	0.796842	81.294000	75.290000	147.710407	2.407848	
0.200000	0.847975	1.036790	81.120000	67.100000	141.847444	2.413872	
0.200000	0.843743	0.743079	81.556000	75.260000	141.668066	2.404487	
0.200000	0.846298	1.022877	81.326000	67.940000	141.815057	2.403014	
0.200000	0.834984	1.469538	81.366000	60.220000	143.454663	2.792245	
0.200000	0.850737	0.911717	81.134000	69.910000	147.736105	2.385713	
0.200000	0.839330	0.886947	81.512000	71.620000	143.384987	1.909410	
0.200000	0.849815	0.915405	80.946000	70.490000	137.298777	2.410478	
0.200000	0.847469	0.847504	81.230000	72.420000	140.815637	2.392277	
0.200000	0.831282	0.853658	81.584000	72.280000	142.531034	2.834674	
0.200000	0.847107	0.873906	81.244000	70.560000	147.615261	2.453752	
0.200000	0.833306	0.689975	81.628000	77.010000	135.692907	2.465435	
0.200000	0.841368	3.878999	81.276000	35.130000	147.573135	2.461030	
0.200000	0.846526	1.161140	81.322000	65.350000	141.491647	2.459141	
0.200000	0.828664	0.797478	81.756000	73.620000	143.391563	2.732118	
0.200000	0.847257	0.759050	81.184000	74.470000	147.465249	2.376576	
0.200000	0.836756	1.032775	81.614000	67.910000	137.525728	1.994405	
0.200000	0.834557	0.964363	81.500000	70.960000	144.276990	2.401432	
0.200000	0.835010	1.380735	81.384000	61.440000	140.552191	2.405376	
0.200000	0.832750	0.672566	81.556000	77.800000	142.271316	2.798838	
0.200000	0.837927	1.355710	81.342000	64.120000	141.072910	2.389213	
0.200000	0.838263	0.785984	81.556000	73.290000	141.134465	2.401942	
0.200000	0.835547	0.719399	81.558000	74.150000	147.295344	2.390464	
0.200000	0.830302	0.792858	81.622000	73.550000	141.390254	2.387272	
0.200000	0.829202	1.026391	81.744000	68.220000	143.418002	2.804705	
0.200000	0.831858	0.983419	81.674000	67.600000	140.347878	2.404714	
0.200000	0.831024	0.865223	81.560000	71.060000	144.703087	1.967990	
0.200000	0.832636	0.843574	81.650000	72.790000	143.728641	2.400619	
0.200000	0.840781	1.026164	81.374000	68.960000	140.308611	2.413657	
0.200000	0.822416	1.279321	81.912000	62.170000	142.026855	2.635520	
0.200000	0.833668	1.233553	81.542000	63.930000	141.490164	2.392156	
0.200000	0.835603	0.946151	81.564000	72.260000	141.365422	2.385880	
0.200000	0.832020	1.364324	81.640000	62.950000	147.177442	2.387346	
0.200000	0.835291	1.046977	81.546000	69.070000	141.274616	2.393256	
0.200000	0.821907	2.043834	81.926000	50.170000	135.092680	2.482613	
0.200000	0.833898	1.268788	81.674000	61.720000	147.221460	2.418695	
0.200000	0.824938	1.397532	81.838000	60.360000	143.894685	1.979740	
0.200000	0.829635	0.646545	81.692000	78.260000	144.385819	2.408368	
0.200000	0.827294	0.713980	81.516000	76.030000	140.286019	2.407802	
0.200000	0.813748	1.197634	82.044000	63.670000	136.183826	2.757613	
0.200000	0.835458	2.077880	81.610000	45.520000	147.351368	2.431543	
0.020000	0.660174	0.367433	87.448000	87.660000	141.189178	2.403664	
0.002000	0.592468	0.350849	89.628000	88.250000	147.298942	2.416345	
0.000200	0.586233	0.350494	89.776000	88.250000	141.334285	2.409313	
0.020000	0.586794	0.350585	89.508000	88.100000	136.484585	2.767604	
0.002000	0.552934	0.330010	90.454000	88.750000	146.888205	2.418056	
0.000200	0.543882	0.330379	90.644000	88.700000	143.324074	1.982183	
0.000020	0.545169	0.330039	90.686000	88.800000	144.155612	2.390539	
0.000002	0.545145	0.330082	90.628000	88.850000	136.608534	2.042630	
0.020000	0.556221	0.335517	90.214000	88.670000	141.589242	2.682522	
0.002000	0.521936	0.320758	91.158000	89.060000	146.837350	2.375050	
0.000200	0.513445	0.317588	91.510000	89.130000	140.826162	2.385010	
0.000020	0.513850	0.319953	91.460000	89.060000	147.040054	2.402657	
0.000002	0.511522	0.318336	91.502000	89.160000	134.216243	2.388133	
0.020000	0.528934	0.330347	90.756000	88.840000	142.967965	2.738490	
0.002000	0.496702	0.309316	91.644000	89.380000	147.023453	2.393138	
0.000200	0.486017	0.310469	92.030000	89.470000	143.785807	1.942581	
0.000020	0.485629	0.308791	92.134000	89.370000	143.903193	2.379979	
0.000002	0.486195	0.307681	92.056000	89.450000	133.874905	2.387337	
0.020000	0.502950	0.335185	91.212000	88.230000	141.588807	2.727066	
0.002000	0.476904	0.308179	92.024000	89.420000	146.704684	2.390645	
0.000200	0.466257	0.306965	92.414000	89.500000	140.714566	2.394885	
0.000020	0.467264	0.307325	92.400000	89.390000	139.775414	2.435767	
0.000002	0.464603	0.305831	92.562000	89.480000	141.045219	2.378268	
0.020000	0.488145	0.371550	91.472000	87.540000	142.841799	2.754615	
0.002000	0.456292	0.305451	92.430000	89.590000	147.119720	2.434839	
0.000200	0.444504	0.303811	92.860000	89.770000	144.319105	2.014688	
0.000020	0.443708	0.304745	92.854000	89.720000	137.644311	2.421613	
0.000002	0.443183	0.303270	92.928000	89.700000	140.145128	2.426881	
0.020000	0.475046	0.349702	91.532000	88.410000	141.740560	2.775706	
0.002000	0.442919	0.300237	92.542000	89.720000	146.785305	2.382234	
0.000200	0.428736	0.297579	93.208000	89.820000	139.798374	2.307662	
0.000020	0.427730	0.301268	93.242000	89.780000	140.690079	2.371606	
0.000002	0.426247	0.298355	93.246000	89.910000	141.112846	2.420065	
0.020000	0.457869	0.348329	92.006000	88.270000	142.383995	2.735234	
0.002000	0.427171	0.298057	92.906000	89.770000	146.784985	2.388455	
0.000200	0.413054	0.298898	93.454000	89.730000	137.995964	2.059103	
0.000020	0.409576	0.296861	93.620000	89.870000	143.239661	2.385077	
0.000002	0.410480	0.295921	93.606000	89.810000	140.005811	2.395678	
0.020000	0.450535	0.367471	91.810000	87.650000	141.668444	2.776649	
0.002000	0.416086	0.293072	93.022000	90.040000	146.749726	2.459550	
0.000200	0.398578	0.292610	93.770000	90.010000	133.612641	2.528097	
0.000020	0.397750	0.291254	93.740000	90.090000	146.819703	2.455931	
0.000002	0.398458	0.292022	93.760000	90.090000	140.644998	2.511739	
0.020000	0.443169	0.407133	91.926000	86.370000	142.391113	2.764207	
0.002000	0.404374	0.291216	93.302000	90.180000	144.326627	2.073676	
0.000200	0.389223	0.287985	93.972000	90.300000	141.963805	2.021374	
0.000020	0.386205	0.289243	94.042000	90.340000	142.820088	2.403112	
0.000002	0.387497	0.291203	93.906000	90.320000	139.941407	2.421698	
0.020000	0.435303	0.392960	92.082000	87.130000	141.447554	2.705732	
0.002000	0.394969	0.287980	93.534000	90.110000	140.372760	2.393508	
0.000200	0.374950	0.288237	94.270000	89.960000	141.021864	2.484457	
0.000020	0.372886	0.286124	94.304000	90.040000	147.189359	2.428850	
0.000002	0.375725	0.287007	94.218000	90.090000	140.989727	2.458072	
0.020000	0.425500	0.359068	92.306000	88.440000	142.831922	2.741512	
0.002000	0.386550	0.289151	93.612000	90.400000	141.049984	2.392220	
0.000200	0.367723	0.289291	94.446000	90.460000	144.799168	1.988766	
0.000020	0.365667	0.287828	94.450000	90.430000	143.017290	2.382201	
0.000000	0.364403	0.288748	94.464000	90.420000	140.252116	2.389249	
0.002000	0.367973	0.288247	94.152000	90.610000	134.431929	2.801565	
0.000020	0.354001	0.286953	94.868000	90.570000	147.203973	2.384061	
0.000000	0.358494	0.288166	94.572000	90.440000	141.169218	2.363451	
0.000000	0.358255	0.288184	94.620000	90.540000	147.217407	2.550903	
0.000000	0.358484	0.286843	94.606000	90.600000	141.235705	2.539467	
0.002000	0.349336	0.289831	94.980000	90.360000	136.238004	2.731924	
0.000020	0.353357	0.289573	94.744000	90.350000	147.125847	2.390584	
0.000000	0.352773	0.288507	94.762000	90.430000	145.055275	1.982836	
0.000000	0.353437	0.290111	94.742000	90.360000	142.804089	2.380618	
0.000000	0.353460	0.287959	94.822000	90.450000	140.111819	2.386806	
0.002000	0.352744	0.287360	94.792000	90.500000	135.785211	2.777993	
0.000020	0.346655	0.287185	94.984000	90.620000	147.209933	2.402485	
0.000000	0.345806	0.288688	95.124000	90.500000	141.054401	2.524475	
0.000000	0.349340	0.288331	94.842000	90.440000	147.047893	2.529179	
0.000000	0.348449	0.288901	94.964000	90.580000	137.840206	2.147496	
0.002000	0.349371	0.287575	94.810000	90.480000	142.780323	2.730955	
0.000020	0.343538	0.287323	94.974000	90.390000	146.993407	2.385940	
0.000000	0.340971	0.285595	95.198000	90.410000	144.236256	1.970002	
0.000000	0.342664	0.286477	95.098000	90.460000	143.451866	2.385041	
0.000000	0.342869	0.287261	95.016000	90.520000	125.406799	1.971643	
0.002000	0.343459	0.287933	94.976000	90.380000	109.660789	2.319302	
0.000020	0.339496	0.289701	95.100000	90.280000	117.580396	2.117325	
0.000000	0.338605	0.289260	95.248000	90.350000	109.308125	1.999692	
