LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.203485	2.564718	1.557483	30.582001	41.800000	170.792441	3.339931	
0.203485	1.906234	1.513513	50.206001	47.210000	195.177522	3.303146	
0.203485	1.472530	1.975362	62.980001	48.210000	194.890744	3.280933	
0.203485	1.233105	1.873813	70.002001	45.970000	193.982483	3.288442	
0.203485	1.114703	0.944469	73.248001	66.350000	187.086082	2.628628	
0.203485	1.061131	1.000545	74.980001	67.310000	180.448744	3.358944	
0.203485	1.026764	1.068289	76.280001	65.460000	195.407030	3.251864	
0.203485	1.006789	1.004071	77.180001	65.630000	194.903999	3.261118	
0.203485	0.999861	1.748420	77.596001	54.890000	195.200454	3.267175	
0.203485	0.981626	1.530776	78.298001	56.420000	188.520402	2.585318	
0.203485	0.954241	0.847037	79.060001	71.700000	181.530868	3.457154	
0.203485	0.964092	2.150054	78.804001	48.910000	195.676133	3.261626	
0.203485	0.950567	0.935324	79.540001	68.720000	194.819673	3.270756	
0.203485	0.953467	1.047900	78.966001	68.280000	195.027045	3.253979	
0.203485	0.925244	0.900738	79.844001	68.560000	186.090839	2.191403	
0.203485	0.923469	1.093827	79.884001	67.450000	179.556510	3.614640	
0.203485	0.923141	1.967776	79.998001	51.710000	191.890349	3.197271	
0.203485	0.911751	1.107633	79.968001	66.410000	191.153977	3.169995	
0.203485	0.914602	0.937141	80.182001	70.570000	191.241313	3.179371	
0.203485	0.906326	1.137436	80.284001	66.840000	176.647324	3.390193	
0.203485	0.896833	1.066874	80.640001	65.760000	178.076327	3.454130	
0.203485	0.896664	0.806422	80.546001	72.190000	180.495528	3.011908	
0.203485	0.889544	0.797684	80.772001	73.460000	180.222098	3.005550	
0.203485	0.887017	0.723900	80.808001	76.650000	180.447037	3.024469	
0.203485	0.879702	0.924943	81.048001	69.270000	157.123473	2.996166	
0.203485	0.876818	1.404887	80.782001	58.700000	168.098950	3.322116	
0.203485	0.870792	1.417239	81.094001	58.710000	169.221618	2.878317	
0.203485	0.889264	0.699015	80.448001	76.650000	169.013517	2.885080	
0.203485	0.870752	1.062587	81.122001	66.640000	155.266808	2.267635	
0.203485	0.872484	0.648022	80.896001	77.970000	159.421246	2.842268	
0.203485	0.855270	1.852152	81.278001	55.400000	163.737649	3.281096	
0.203485	0.869359	0.944509	80.838001	70.380000	168.482051	2.829150	
0.203485	0.871392	0.881206	81.000001	71.810000	168.063682	2.834231	
0.203485	0.868944	0.651481	80.920001	78.300000	149.894473	2.459504	
0.203485	0.854795	0.909015	81.346001	69.760000	165.494215	2.832520	
0.203485	0.851893	0.680146	81.150001	77.640000	162.166523	3.198892	
0.203485	0.850475	1.064721	81.370001	67.180000	168.207007	2.838170	
0.203485	0.847280	2.838099	81.240001	35.290000	160.471326	2.746891	
0.203485	0.857707	0.885095	81.234001	72.340000	151.936775	2.862531	
0.203485	0.850684	1.193791	81.268001	65.130000	167.703393	2.836370	
0.203485	0.847094	1.228885	81.310001	62.470000	161.519336	3.253139	
0.203485	0.849452	1.236102	81.366001	63.310000	163.336390	2.521871	
0.203485	0.851347	1.084723	81.128001	68.190000	157.516776	2.644848	
0.203485	0.850671	1.108243	81.224001	64.480000	159.344929	2.877892	
0.203485	0.837765	1.152708	81.638001	66.000000	167.054054	2.880229	
0.203485	0.834940	1.292170	81.618001	61.850000	161.257609	3.155452	
0.203485	0.845670	1.021306	81.196001	67.760000	159.154708	2.801455	
0.203485	0.846393	0.806508	81.210001	73.180000	149.676884	2.845306	
0.203485	0.831663	1.010901	81.712001	70.800000	167.475803	2.830138	
0.203485	0.833492	1.000792	81.690001	66.430000	166.700111	2.806543	
0.203485	0.833928	1.130468	81.502001	64.620000	154.380982	3.201901	
0.203485	0.838274	1.246691	81.408001	65.000000	161.049369	2.026868	
0.203485	0.836876	0.643448	81.412001	78.230000	157.956146	2.785357	
0.203485	0.835758	0.615894	81.380001	79.510000	166.961823	2.827257	
0.203485	0.827348	0.934689	81.768001	70.990000	166.702569	2.817690	
0.203485	0.824178	0.840462	81.686001	74.270000	144.771801	2.746949	
0.203485	0.823218	0.873433	81.808001	72.460000	143.662177	2.721969	
0.203485	0.822309	0.811182	81.820001	72.770000	155.820363	2.770324	
0.203485	0.830886	1.181836	81.538001	66.760000	156.153337	2.696165	
0.203485	0.818859	0.929111	81.830001	69.370000	155.532259	2.517342	
0.203485	0.820056	0.872399	81.828001	70.680000	139.026879	2.718247	
0.203485	0.824701	1.259041	81.692001	64.860000	141.237500	2.530660	
0.203485	0.830385	0.767039	81.454001	74.820000	145.437249	2.672545	
0.203485	0.826444	1.079289	81.656001	70.310000	145.346088	2.532065	
0.203485	0.827634	0.837366	81.518001	71.520000	144.466239	2.487751	
0.203485	0.820654	1.630131	81.912001	60.900000	141.038223	2.909214	
0.203485	0.826508	0.654578	81.716001	77.860000	144.705904	2.513203	
0.203485	0.831855	1.151241	81.548001	65.860000	144.899954	2.629038	
0.203485	0.822494	1.049926	81.892001	68.670000	145.307004	2.508801	
0.203485	0.821487	1.120866	81.960001	68.190000	137.903128	2.032469	
0.203485	0.820663	1.324978	81.874001	62.430000	140.072006	2.901957	
0.203485	0.827254	1.180263	81.666001	63.740000	145.210024	2.499462	
0.203485	0.819963	1.205315	81.912001	66.420000	144.131889	2.515510	
0.203485	0.825259	1.021268	81.526001	69.480000	144.892389	2.449368	
0.203485	0.817468	0.981358	81.760001	68.530000	137.984066	2.291199	
0.203485	0.819980	1.241686	81.904001	61.310000	144.319623	2.847441	
0.203485	0.818502	1.515127	81.918001	59.960000	145.257263	2.479156	
0.203485	0.819252	0.705326	81.848001	76.670000	145.224569	2.595726	
0.203485	0.822511	1.010566	81.828001	68.110000	137.633905	2.588551	
0.203485	0.814768	0.915554	81.942001	72.720000	144.825725	2.771485	
0.203485	0.817425	0.923392	81.890001	70.770000	147.903103	3.210101	
0.203485	0.821787	0.941620	81.662001	69.730000	146.529087	2.738057	
0.203485	0.815150	0.625782	82.218001	79.210000	138.851554	2.804669	
0.203485	0.816889	1.331199	82.000001	62.700000	145.964832	2.669941	
0.203485	0.821815	0.845888	81.768001	71.810000	146.145892	2.343265	
0.203485	0.808969	0.837322	82.172001	72.680000	142.019636	2.629687	
0.203485	0.822579	0.943380	81.638001	68.590000	145.960550	2.675817	
0.203485	0.814540	1.007802	82.144001	68.870000	145.103073	2.589689	
0.203485	0.825015	1.499525	81.634001	55.650000	144.779139	2.686698	
0.203485	0.820230	0.854480	81.778001	71.590000	144.839360	2.711993	
0.203485	0.808346	1.514965	82.158001	59.560000	144.713187	3.244431	
0.203485	0.826147	0.780675	81.624001	74.230000	145.653594	2.847525	
0.020349	0.649468	0.360166	87.492001	87.780000	144.557771	2.610898	
0.002035	0.586986	0.347634	89.632001	88.330000	143.896049	2.495065	
0.000203	0.578966	0.346883	89.822001	88.280000	139.658226	2.122302	
0.020349	0.575724	0.346526	89.694001	88.300000	143.496696	2.879299	
0.002035	0.543887	0.326817	90.694001	88.980000	146.200100	2.478159	
0.000203	0.535516	0.325974	90.794001	89.040000	145.059151	2.458938	
0.000020	0.534455	0.325419	90.896001	89.050000	137.364391	2.464687	
0.000002	0.536222	0.325112	90.816001	88.990000	145.272943	2.478504	
0.020349	0.545068	0.332636	90.414001	88.380000	139.100012	2.864703	
0.002035	0.514274	0.315224	91.314001	89.260000	146.496175	2.473089	
0.000203	0.505219	0.314989	91.610001	89.290000	138.662817	2.465311	
0.000020	0.508175	0.313397	91.470001	89.390000	145.437679	2.461615	
0.000002	0.506720	0.314633	91.580001	89.250000	145.170081	2.470495	
0.020349	0.516059	0.326053	91.030001	88.900000	133.035549	2.886724	
0.002035	0.489309	0.306285	91.788001	89.630000	138.999144	2.480549	
0.000203	0.481177	0.306415	92.000001	89.600000	146.070054	2.493047	
0.000020	0.479139	0.305016	92.174002	89.710000	146.004903	2.499571	
0.000002	0.481139	0.305658	92.064001	89.580000	145.736158	2.453864	
0.020349	0.500460	0.331369	91.144001	88.990000	121.505077	2.375558	
0.002035	0.469538	0.301876	92.106001	89.710000	142.328590	2.494858	
0.000203	0.459861	0.300899	92.506001	89.850000	145.099311	2.495961	
0.000020	0.456435	0.302611	92.698001	89.770000	144.775519	2.517883	
0.000002	0.455394	0.302524	92.680001	89.720000	144.944593	2.488665	
0.020349	0.479631	0.327198	91.644001	89.170000	99.609978	2.834915	
0.002035	0.449545	0.298072	92.636002	90.160000	145.126306	2.457327	
0.000203	0.438631	0.298900	92.994001	89.970000	145.025257	2.473983	
0.000020	0.436253	0.297373	93.128001	90.100000	144.747935	2.455685	
0.000002	0.435032	0.297002	93.166002	90.130000	144.731908	2.473521	
0.020349	0.466638	0.349885	91.886002	88.230000	45.964212	1.453704	
0.002035	0.432918	0.297889	93.016001	90.230000	136.408793	2.993542	
0.000203	0.419813	0.297492	93.338001	90.230000	145.416302	2.953583	
0.000020	0.420009	0.296055	93.500002	90.250000	144.851510	2.946650	
0.000002	0.421919	0.297495	93.350001	90.230000	145.024042	2.943084	
0.020349	0.452591	0.330164	92.066001	89.040000	129.265480	1.561122	
0.002035	0.419170	0.286739	93.284001	90.390000	124.246034	2.508273	
0.000203	0.408093	0.287017	93.584001	90.370000	145.470625	2.564610	
0.000020	0.404315	0.288119	93.786001	90.400000	144.780803	2.553759	
0.000002	0.405721	0.287884	93.704002	90.380000	144.548111	2.543540	
0.020349	0.444996	0.356621	91.992001	88.140000	138.335338	2.209477	
0.002035	0.414173	0.287685	93.126001	90.340000	111.313138	2.499253	
0.000203	0.394142	0.285377	93.988001	90.460000	145.165963	2.444338	
0.000020	0.391399	0.285041	94.086001	90.390000	144.398585	2.477161	
0.000002	0.391530	0.285968	94.052001	90.440000	144.686894	2.381800	
0.020349	0.432660	0.340338	92.360001	89.030000	146.291019	2.777144	
0.002035	0.398344	0.285979	93.534001	90.580000	114.201315	2.465177	
0.000203	0.382367	0.286807	94.082001	90.550000	145.459050	2.484337	
0.000020	0.380154	0.285921	94.114001	90.650000	145.277158	2.468305	
0.000002	0.382434	0.285073	94.036001	90.650000	137.524804	2.506213	
0.020349	0.429567	0.335722	92.140001	88.930000	147.918803	2.763598	
0.002035	0.388094	0.283441	93.674001	90.390000	117.291274	2.479064	
0.000203	0.370111	0.279980	94.250001	90.580000	144.958940	2.452698	
0.000020	0.369486	0.281986	94.374001	90.630000	144.770580	2.455988	
