LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	3.100576	6.448361	12.600000	8.160000	4.430786	0.849704	
0.100000	2.916875	20.843480	16.599999	10.480000	4.059261	0.848712	
0.100000	2.825960	2.159196	15.955999	17.630000	3.966690	0.864902	
0.100000	2.603945	2.298915	19.625999	13.020000	3.919410	0.820385	
0.100000	2.397506	2.316373	21.079999	10.010000	4.005196	0.840292	
0.100000	2.321887	2.298025	20.967999	14.840000	5.263429	0.852593	
0.100000	2.356031	2.878776	19.739999	11.890000	3.866713	0.820770	
0.100000	2.466992	2.705059	20.167999	13.470000	3.878551	0.825332	
0.100000	2.837313	2.313807	21.965999	17.230000	3.688118	0.821828	
0.100000	2.725510	2.237032	20.971999	14.400000	3.872756	0.853498	
0.100000	2.440371	2.189605	21.539999	14.080000	4.978097	0.824525	
0.100000	2.409564	2.542024	19.827999	13.360000	3.813128	0.831503	
0.100000	2.416258	2.318458	20.013999	14.030000	3.853722	0.842297	
0.100000	2.419979	5.453240	19.783999	10.840000	3.798839	0.836246	
0.100000	2.465337	2.571133	20.592000	10.000000	3.649429	0.807109	
0.100000	2.454411	2.133107	21.365999	18.880000	4.845424	0.838646	
0.100000	2.289014	2.880703	20.773999	10.000000	3.764534	0.832901	
0.100000	2.218309	2.543838	21.687999	10.880000	3.670555	0.807414	
0.100000	2.428086	10.352465	19.789999	9.610000	3.537231	0.814889	
0.100000	3.004006	7.968641	18.533999	10.000000	3.720201	0.830073	
0.100000	2.838910	2.219278	20.591999	15.090000	4.088951	0.668383	
0.100000	2.330942	2.426388	21.147999	10.000000	2.813772	0.644818	
0.100000	2.285451	2.418829	20.147999	10.000000	2.834015	0.676412	
0.100000	4.075588	2.563052	10.806000	8.910000	2.819164	0.636824	
0.100000	3.630281	2.476332	16.679999	10.000000	2.809903	0.638151	
0.100000	2.682240	2.430996	19.897999	11.550000	3.595341	0.652056	
0.100000	2.458484	2.537319	19.821999	10.000000	2.734660	0.638090	
0.100000	2.796264	3.392519	19.087999	10.000000	2.568208	0.616095	
0.100000	3.475610	5.375746	18.643999	10.000000	2.541250	0.627985	
0.100000	2.733757	2.363134	18.751999	13.530000	2.592273	0.700783	
0.100000	2.277312	2.367442	19.429999	10.000000	3.399950	0.636780	
0.100000	2.285331	2.410444	20.135999	10.000000	2.692894	0.614881	
0.100000	2.277587	2.401840	20.456000	10.000000	2.670917	0.632282	
0.100000	2.264932	2.388944	20.569999	10.000000	2.532892	0.610789	
0.100000	2.381959	2.383114	19.843999	10.000000	2.470347	0.624269	
0.100000	2.427223	2.545998	20.181999	12.470000	2.760458	0.604502	
0.100000	2.320527	2.536981	19.853999	10.000000	2.358074	0.600682	
0.100000	2.202978	2.420345	19.661999	10.000000	2.281527	0.575850	
0.100000	2.482610	519.165818	20.235999	10.000000	2.284103	0.580795	
0.100000	4.145935	3.562481	20.803999	10.190000	2.273084	0.586088	
0.100000	3.485987	2.321658	20.163999	12.290000	2.395704	0.503481	
0.100000	2.435679	2.662852	20.522000	10.130000	1.939765	0.507777	
0.100000	2.169080	2.441478	20.991999	10.000000	1.945354	0.513342	
0.100000	2.164834	2.441106	20.055999	10.000000	1.903087	0.511310	
0.100000	2.110038	2.311833	20.169999	10.580000	1.813835	0.492678	
