LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	3.044127	2.745249	10.946000	12.950000	4.346150	0.846804	
0.100000	2.859314	3.024893	16.717999	10.070000	3.899583	0.881342	
0.100000	2.737978	2.615694	19.375999	11.510000	4.504386	0.850072	
0.100000	2.639484	2.129087	21.987999	18.600000	4.443382	0.900278	
0.100000	2.566419	2.012186	24.019999	23.670000	4.381373	0.915468	
0.100000	2.510377	2.249609	25.845999	16.700000	4.412564	0.847721	
0.100000	2.459608	2.002391	27.461999	24.150000	3.992064	0.855480	
0.100000	2.434318	1.875179	28.405999	29.380000	4.402174	0.841156	
0.100000	2.383914	1.853215	30.227999	30.340000	4.146790	1.011567	
0.100000	2.339998	1.810652	31.445999	32.290000	4.392287	0.899462	
0.100000	2.318710	2.211989	32.249999	19.720000	4.355813	0.850375	
0.100000	2.299468	1.862768	32.509999	29.300000	3.946962	0.919397	
0.100000	2.263327	1.734712	33.331999	34.850000	4.249620	0.936189	
0.100000	2.231649	1.727493	34.689999	33.710000	4.112536	1.199740	
0.100000	2.210191	1.708819	35.235999	34.920000	4.292258	1.081203	
0.100000	2.211401	2.129030	35.085999	20.630000	4.427537	0.838166	
0.100000	2.233119	1.790389	33.859999	32.710000	4.027916	0.906115	
0.100000	2.196917	1.659349	35.361999	36.970000	4.436118	0.890040	
0.100000	2.162956	1.633001	36.677999	38.270000	4.152462	0.922165	
0.100000	2.126870	1.625495	37.985999	38.770000	4.508814	0.906752	
0.100000	2.092747	2.018634	39.129998	22.450000	4.474811	0.859724	
0.100000	2.064438	1.693667	40.191999	36.340000	4.034541	0.920065	
0.100000	2.036277	1.627208	41.039998	38.630000	5.029244	0.859838	
0.100000	2.024128	1.566650	41.149999	41.780000	4.408208	0.909971	
0.100000	2.010839	1.593698	41.635999	39.200000	4.474487	0.948979	
0.100000	2.002454	2.003001	41.697999	22.500000	4.394105	0.834256	
0.100000	1.985357	1.625626	42.611999	39.250000	4.077288	0.889065	
0.100000	1.971806	1.543561	42.851998	41.720000	4.495448	1.018842	
0.100000	1.945128	1.492178	43.747998	44.800000	4.647439	1.147165	
0.100000	1.928145	1.456010	44.523998	46.090000	4.374231	1.199918	
0.100000	1.913920	1.934420	44.925998	25.460000	4.323823	0.871356	
0.100000	1.904331	1.616815	45.263998	39.060000	4.318402	0.897237	
0.100000	1.892111	1.457274	45.597999	45.790000	4.569980	0.826340	
