LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.887018	2.227018	19.441999	19.630000	9.963952	1.273771	
0.100000	2.495584	2.062258	30.783999	27.090000	8.443633	1.304079	
0.100000	2.305185	1.952253	36.867999	30.060000	8.734769	1.070906	
0.100000	2.214606	1.986196	40.347999	27.880000	8.757052	1.354560	
0.100000	2.130301	1.646253	43.463999	40.640000	8.577994	1.443094	
0.100000	2.064215	1.564127	46.165997	43.840000	10.246247	1.077233	
0.100000	2.006892	1.524564	48.587998	44.330000	8.530763	1.326039	
0.100000	1.951129	1.474101	50.485999	46.090000	8.529408	1.757229	
0.100000	1.883379	1.405576	53.185998	48.800000	8.860882	1.138327	
0.100000	1.883703	1.489710	52.975999	47.730000	9.294667	1.329416	
0.100000	2.059932	2.028834	47.557998	30.060000	10.141267	1.072349	
0.100000	1.972467	1.608119	49.845998	42.260000	9.197151	1.641285	
0.100000	1.849204	1.373327	54.451999	51.790000	8.628263	1.727205	
0.100000	1.759243	1.137553	57.529998	58.770000	9.028414	1.107664	
0.100000	1.700217	1.235340	59.609998	56.640000	9.470810	1.107448	
0.100000	1.668259	1.589275	60.759998	45.860000	9.913475	1.558140	
0.100000	1.636955	1.188510	61.805998	58.390000	8.979245	1.343619	
0.100000	1.598163	1.078359	63.295998	61.020000	9.474888	1.079515	
0.100000	1.566657	1.075667	64.187998	61.850000	9.347044	1.192745	
0.100000	1.528439	1.013753	65.381998	63.550000	9.269249	1.672167	
0.100000	1.501913	1.833091	66.317997	36.710000	10.192112	1.114364	
0.100000	1.489759	1.112819	66.681998	60.460000	8.867409	1.485608	
0.100000	1.462213	1.032477	67.703998	64.160000	8.818789	1.309803	
0.100000	1.435223	0.929968	68.707998	67.280000	9.354159	1.127966	
0.100000	1.410705	0.952293	69.331997	66.960000	9.379141	1.781719	
0.100000	1.386692	1.833279	70.037997	36.520000	10.722455	1.119547	
0.100000	1.377712	1.083011	70.473998	62.350000	9.477167	1.537827	
0.100000	1.351896	0.871003	71.201998	69.390000	9.278996	1.699255	
0.100000	1.339344	0.967147	71.725998	66.600000	9.558106	1.359439	
0.100000	1.311876	0.901730	72.445996	68.750000	9.720664	1.106681	
0.100000	1.290332	1.916930	73.203997	33.220000	9.767764	1.705335	
0.100000	1.277777	1.057078	73.665998	63.280000	9.186425	1.066006	
0.100000	1.260904	0.865945	74.175998	69.290000	9.129278	1.361129	
0.100000	1.239055	0.828814	74.811997	70.950000	8.991662	1.427981	
0.100000	1.221509	0.754997	75.431996	73.710000	9.386604	1.188055	
0.100000	1.212390	2.085654	75.527997	27.460000	10.214151	1.279579	
0.100000	1.202866	1.068647	76.181998	63.210000	8.665637	1.310391	
0.100000	1.181902	0.852889	76.721997	71.060000	9.332663	1.089154	
0.100000	1.169465	0.832558	77.053998	71.070000	9.283191	1.147284	
0.100000	1.155731	0.821473	77.469996	71.410000	9.335809	1.290546	
0.100000	1.131522	2.090584	78.287997	27.790000	10.291909	1.104612	
0.100000	1.130898	1.250551	78.185998	57.940000	9.196270	1.234683	
0.100000	1.121592	0.720103	78.495998	74.840000	8.733537	1.778560	
0.100000	1.104493	0.693670	78.897997	76.250000	9.358001	1.111719	
0.100000	1.087966	0.701881	79.607997	76.020000	9.455272	1.131279	
0.100000	1.073779	2.248565	80.125998	24.230000	9.897152	1.726096	
0.100000	1.069998	1.084601	80.079996	62.220000	9.086915	1.120560	
0.100000	1.056960	0.773186	80.461998	73.360000	9.473067	1.101868	
0.100000	1.042738	0.664649	80.969997	77.240000	9.011797	1.718971	
0.100000	1.030377	0.721763	81.257997	75.550000	9.054379	1.296118	
0.100000	1.024174	2.169593	81.481996	23.330000	10.513527	1.125441	
0.100000	1.019324	1.061214	81.409997	61.390000	8.790538	1.435002	
0.100000	1.009669	0.707703	81.949997	75.150000	8.730699	1.356392	
0.100000	0.993951	0.668154	82.321997	77.300000	9.636706	1.101323	
0.100000	0.985076	0.655678	82.469997	77.820000	9.314147	1.775218	
0.100000	0.973801	2.238051	82.777996	17.830000	10.004751	1.122821	
0.100000	0.975023	1.206779	82.895997	59.700000	8.588109	1.268106	
0.100000	0.967189	0.648875	82.965997	77.740000	8.683183	1.083770	
0.100000	0.962722	0.763149	82.951997	74.840000	9.375838	1.095579	
0.100000	0.948935	0.624154	83.477997	78.920000	8.964021	1.653748	
0.100000	0.937699	2.197355	83.713997	17.580000	10.446435	1.120816	
0.100000	0.931484	1.182809	83.851998	58.900000	8.889532	1.464895	
0.100000	0.929219	0.741194	84.035997	74.400000	8.762833	1.335586	
0.100000	0.917939	0.619115	84.249996	78.930000	8.912890	1.455034	
0.100000	0.910225	0.720394	84.269998	75.790000	9.046923	1.109179	
0.100000	0.895905	2.259511	84.797996	16.280000	9.729966	1.735330	
0.100000	0.893346	1.398141	84.855998	49.670000	8.642291	1.345937	
0.100000	0.882983	0.714661	85.201997	75.080000	8.871926	1.099345	
0.100000	0.876967	0.661839	85.273997	77.800000	9.157831	1.261687	
0.100000	0.869653	0.766549	85.555997	75.980000	8.965309	1.422803	
0.100000	0.866269	2.276904	85.343996	15.660000	10.105819	1.123158	
0.100000	0.867565	1.425959	85.479997	48.240000	8.622530	1.769341	
0.100000	0.851941	0.696612	85.911997	75.790000	8.696612	1.202235	
0.100000	0.845446	0.613660	86.045997	79.190000	9.215364	1.106059	
0.100000	0.840288	0.576837	86.145996	81.040000	9.356734	1.453925	
0.100000	0.835893	2.262669	86.143997	15.410000	10.310831	1.345648	
0.100000	0.826601	1.507594	86.619996	44.850000	9.142090	1.066872	
0.100000	0.821712	0.650946	86.737997	77.920000	8.663739	1.389124	
0.100000	0.811059	0.634523	87.069997	78.470000	8.897839	1.306846	
0.100000	0.808069	0.694197	86.975996	77.180000	9.489680	1.074824	
0.100000	0.807193	2.242573	86.997998	14.760000	10.028997	1.512348	
0.100000	0.796272	1.594506	87.205998	39.290000	8.735122	1.318767	
0.100000	0.792490	0.654162	87.367997	77.560000	8.765551	1.089140	
0.100000	0.786233	0.547789	87.505997	81.650000	8.956910	1.102110	
0.100000	0.781936	0.658703	87.621998	79.290000	8.820227	1.435817	
0.100000	0.780454	2.285570	87.483996	15.440000	10.485796	1.106705	
0.100000	0.769776	1.607393	87.757997	40.160000	8.447896	1.056212	
0.100000	0.765786	0.837127	88.111997	70.390000	8.677953	1.667669	
0.100000	0.763780	0.562083	87.977998	81.380000	8.771622	1.329893	
0.100000	0.758700	0.605679	87.985997	80.660000	9.019290	1.089711	
0.100000	0.750310	2.273458	88.307997	13.690000	9.932281	1.294171	
0.100000	0.745494	1.584456	88.531996	41.820000	8.572648	1.362910	
0.100000	0.740641	0.735828	88.471996	74.260000	9.154274	1.057684	
0.100000	0.737651	0.701328	88.569997	77.140000	9.295347	1.074585	
0.100000	0.730625	0.653738	88.871997	78.970000	9.131122	1.513992	
0.100000	0.723667	2.260239	88.929996	15.270000	10.347544	1.112657	
0.100000	0.724889	1.666794	88.841997	40.240000	8.573631	1.506662	
0.100000	0.721282	0.667644	88.919996	77.630000	8.903952	1.084680	
0.100000	0.715953	0.575814	89.145997	80.760000	9.533155	1.095207	
0.100000	0.712144	0.636950	89.333997	79.580000	8.893788	1.630785	
0.100000	0.706334	2.281285	89.233997	12.720000	10.227998	1.080032	
0.100000	0.697625	1.636006	89.519996	39.930000	8.848267	1.432884	
0.100000	0.694282	0.774941	89.587998	74.080000	8.619361	1.435829	
0.100000	0.688826	0.661949	89.851996	78.060000	8.711159	1.086598	
0.100000	0.687530	0.576497	89.737997	81.880000	9.456126	1.086499	
0.100000	0.695817	2.292048	89.437996	14.870000	10.162903	1.384031	
0.100000	0.684478	1.814486	90.033996	34.760000	8.824556	1.090967	
0.100000	0.681125	0.754702	89.791998	73.890000	8.513837	1.642450	
0.100000	0.673427	0.569786	90.193997	81.060000	8.701681	1.099727	
0.100000	0.674814	0.579357	90.095997	81.900000	9.564514	1.080102	
0.100000	0.663124	2.295872	90.431997	13.590000	10.177571	1.084320	
0.100000	0.664157	1.757980	90.289996	35.400000	8.863524	1.045801	
0.100000	0.659749	0.707382	90.375996	76.440000	8.824112	1.734937	
0.100000	0.661237	0.587489	90.383998	80.670000	8.700077	1.222205	
0.100000	0.657930	0.702544	90.565997	78.680000	9.233242	1.080075	
0.100000	0.658482	2.327717	90.293996	14.200000	10.496199	1.101859	
0.100000	0.650174	1.817436	90.629997	32.640000	8.644377	1.577296	
0.100000	0.647289	0.783713	90.703997	72.740000	8.576007	1.428064	
0.100000	0.639278	0.598914	90.969997	80.600000	9.047400	1.074201	
0.100000	0.638622	0.823567	90.973998	76.560000	9.162012	1.236485	
0.100000	0.631018	2.293924	91.201996	11.550000	10.429394	1.098087	
0.100000	0.634614	1.894497	91.015997	31.220000	8.829777	1.635656	
0.100000	0.627921	0.702286	91.049997	76.240000	8.622016	1.121837	
0.100000	0.625227	0.540940	91.165997	81.910000	9.522557	1.085080	
0.100000	0.621723	0.622855	91.245998	81.510000	9.180433	1.353838	
0.100000	0.626247	2.293656	90.909997	12.890000	10.324120	1.094930	
0.100000	0.619075	1.923873	91.239998	28.650000	9.048217	1.052860	
0.100000	0.608812	0.729119	91.711996	76.760000	8.598082	1.250256	
0.100000	0.607373	0.646024	91.729997	79.440000	9.218000	1.093481	
0.100000	0.604564	0.806147	91.771998	77.810000	8.840626	1.218692	
0.100000	0.626559	2.293226	90.881997	14.390000	10.251425	1.112959	
0.100000	0.613844	1.877345	91.285997	33.360000	8.417625	1.788755	
0.100000	0.602431	0.807041	91.573997	72.880000	8.543360	1.307091	
0.100000	0.594365	0.568807	91.925997	81.690000	8.930424	1.109024	
0.100000	0.593793	0.518531	91.859997	84.110000	9.441110	1.822273	
0.100000	0.578337	2.285956	92.451997	13.490000	11.094482	1.828873	
0.100000	0.582706	1.953235	92.235997	28.250000	9.522429	1.791127	
0.100000	0.585341	0.751273	92.093997	74.200000	9.348137	1.783489	
0.100000	0.583590	0.654540	92.167997	79.270000	9.540270	1.398856	
0.100000	0.577749	0.601595	92.305997	82.270000	9.078513	1.341560	
0.100000	0.674540	2.287548	88.721997	13.250000	11.512581	1.792371	
0.100000	0.624714	1.912119	90.777997	30.110000	9.897472	1.806997	
0.100000	0.594117	0.797751	91.721997	72.070000	10.157223	1.816802	
0.100000	0.581685	0.668325	91.967997	78.170000	9.980226	1.377961	
0.100000	0.571234	0.542105	92.477998	82.980000	10.016481	1.821326	
0.100000	0.614006	2.304929	90.685997	10.260000	11.227991	1.813289	
0.100000	0.583797	2.040069	91.781996	24.760000	9.426528	1.791276	
0.100000	0.572138	0.867635	92.163997	68.700000	9.497600	1.682209	
0.100000	0.567575	0.587239	92.291996	80.730000	9.651257	1.251654	
0.100000	0.559185	0.589515	92.623996	81.880000	9.679691	1.799486	
0.100000	0.550064	2.294888	93.017997	15.540000	11.909911	1.848649	
0.100000	0.550402	2.005892	92.739997	26.810000	10.289272	1.805569	
0.100000	0.545784	0.919301	92.899997	68.480000	10.430171	1.809748	
0.100000	0.548774	0.520977	92.893997	82.830000	10.536551	1.724733	
0.100000	0.542744	0.697920	93.093996	80.410000	10.606954	1.622786	
0.100000	0.569025	2.303521	92.025997	13.270000	11.282891	1.149030	
0.100000	0.553840	2.014195	92.703997	29.950000	9.452741	1.775598	
0.100000	0.544395	0.861090	92.979996	70.920000	9.531100	1.796987	
0.100000	0.536541	0.597022	93.097996	80.340000	9.594811	1.221285	
0.100000	0.534375	0.583786	93.233996	82.860000	9.095796	1.770228	
0.100000	0.529292	2.307635	93.349996	14.430000	10.920872	1.348765	
0.100000	0.526305	2.116650	93.327998	20.170000	9.517568	1.791849	
0.100000	0.524256	0.852761	93.391998	69.590000	9.308684	1.782993	
0.100000	0.519359	0.562313	93.639996	81.430000	8.761457	1.298124	
0.100000	0.519852	0.598286	93.621996	81.750000	9.880656	1.801768	
0.100000	0.574206	2.313033	91.615997	13.860000	11.125586	1.812218	
0.100000	0.538743	2.130240	92.747997	21.450000	9.399187	1.349466	
0.100000	0.524787	0.986993	93.337996	64.400000	9.255127	1.787198	
0.100000	0.521086	0.577075	93.257998	80.850000	9.438719	1.789767	
0.100000	0.517469	0.681532	93.329998	80.420000	8.971359	1.647640	
0.100000	0.599235	2.308572	90.387997	18.050000	10.696136	1.676427	
0.100000	0.550763	2.174162	92.187997	15.020000	9.335912	1.365695	
0.100000	0.527701	1.044990	92.981998	62.890000	9.479274	1.341931	
0.100000	0.512375	0.507882	93.487996	82.990000	9.423898	1.794827	
0.100000	0.508492	0.549494	93.607995	83.120000	8.899960	1.460394	
0.100000	0.516581	2.300202	93.375995	17.560000	10.973615	1.768718	
0.100000	0.506644	2.052171	93.433998	25.780000	8.622585	1.786821	
0.100000	0.505183	0.833614	93.669997	71.680000	9.431369	1.784123	
0.100000	0.497191	0.651809	93.871996	79.420000	9.579877	1.797724	
0.100000	0.493264	0.592257	93.979997	82.660000	8.800069	1.266410	
