LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	3.388676	3.701289	10.154000	10.870000	4.072509	0.959002	
0.100000	3.126399	3.738497	10.930000	10.230000	2.636855	0.973951	
0.100000	3.247792	4.672059	10.180000	12.410000	2.595864	0.815479	
0.100000	3.086317	4.742588	10.950000	11.990000	2.599575	0.831715	
0.100000	3.009360	3.615890	11.930000	12.600000	2.615527	0.818093	
0.100000	3.004532	9.218500	13.060000	10.520000	4.079744	0.962417	
0.100000	2.982333	3.258309	13.630000	13.980000	2.687322	0.922914	
0.100000	2.959954	2.388334	15.052000	12.500000	2.606367	0.827011	
0.100000	2.928276	2.259479	15.476000	15.980000	2.611099	0.855283	
0.100000	2.886147	2.196616	16.366000	14.590000	2.610055	0.854822	
0.100000	2.847080	6.515551	17.592000	9.940000	4.127001	0.947695	
0.100000	2.825037	2.471148	17.904000	11.520000	2.697506	0.977592	
0.100000	2.794040	2.197217	19.092000	17.310000	2.581844	0.828548	
0.100000	2.748652	2.088116	20.522001	18.440000	2.585913	0.860257	
0.100000	2.709045	2.033306	21.218000	19.980000	2.640412	0.928498	
0.100000	2.681819	6.885302	21.756000	10.040000	4.134578	0.909146	
0.100000	2.666362	2.505343	22.638000	9.750000	2.702126	0.854054	
0.100000	2.649969	2.158306	23.270000	16.540000	2.599503	0.847205	
0.100000	2.628903	1.980556	24.030000	23.280000	2.607252	0.820509	
0.100000	2.608557	1.981220	24.222000	24.010000	2.616829	0.899555	
0.100000	2.610796	4.679900	24.732001	9.930000	4.199941	0.857234	
0.100000	2.575570	2.345565	25.316000	12.620000	2.679870	0.848222	
0.100000	2.553091	1.990623	26.608000	23.030000	2.628834	0.818405	
0.100000	2.521492	2.034164	27.396001	24.700000	2.605006	0.820724	
0.100000	2.489375	2.017979	28.200001	24.610000	2.631516	0.854921	
0.100000	2.469317	6.587556	28.806001	9.890000	4.178844	0.858124	
0.100000	2.460445	2.632091	29.346000	11.780000	2.684047	0.850787	
0.100000	2.443643	2.053577	29.662001	23.240000	2.568246	0.856280	
0.100000	2.430862	1.884946	30.040000	27.430000	2.604920	0.840433	
0.100000	2.408558	2.091703	30.970001	24.310000	2.631893	0.844967	
0.100000	2.400135	5.264357	31.294001	8.680000	4.211214	0.858434	
0.100000	2.388690	2.253969	31.824000	17.130000	2.673143	0.855508	
0.100000	2.382547	1.907524	32.418000	26.240000	2.579494	0.830664	
0.100000	2.371498	1.810496	32.610000	29.640000	2.597818	0.836354	
0.100000	2.358347	1.798940	33.332001	30.410000	2.625350	0.923125	
0.100000	2.372548	5.079034	32.730000	7.410000	4.238460	0.892591	
0.100000	2.377987	2.395063	32.628000	17.190000	2.702845	0.856153	
0.100000	2.360562	2.071097	33.476000	23.470000	2.604384	0.844209	
0.100000	2.341630	1.849464	33.970000	28.820000	2.610678	0.832088	
0.100000	2.317792	1.921723	34.987999	27.440000	2.637023	1.100865	
0.100000	2.304310	3.892824	35.562001	9.140000	4.173229	0.900621	
0.100000	2.294126	2.399383	35.646000	16.990000	2.653746	0.854135	
0.100000	2.283929	1.980467	36.038000	26.300000	2.593178	0.824222	
0.100000	2.271264	1.727542	36.192000	34.560000	2.594703	0.834140	
0.100000	2.260528	1.736444	36.492000	32.800000	2.658813	0.862195	
0.100000	2.254626	3.985817	36.855999	9.900000	4.206588	0.883965	
0.100000	2.252271	2.189642	36.888000	20.610000	2.687873	0.856311	
0.100000	2.238514	1.788613	37.434000	32.500000	2.625286	0.818208	
0.100000	2.227670	1.704854	37.668000	34.660000	2.613261	0.813750	
0.100000	2.217464	1.709032	38.050000	34.400000	2.654296	0.948416	
0.100000	2.208777	3.295713	38.580001	10.610000	4.151732	0.887777	
0.100000	2.202391	2.060167	38.808001	24.800000	2.702325	0.851827	
0.100000	2.199508	1.769468	39.122001	34.020000	2.620417	0.818817	
0.100000	2.191300	1.676912	39.492001	36.430000	2.585323	0.827012	
0.100000	2.180177	1.645886	39.848000	37.400000	2.655807	0.902463	
0.100000	2.171912	3.262464	40.313999	10.830000	4.220113	0.858526	
0.100000	2.162774	2.077225	40.766000	24.520000	2.678778	0.847978	
0.100000	2.155133	1.749629	41.100001	34.300000	2.605875	0.847184	
0.100000	2.150228	1.669034	41.102000	37.840000	2.598946	0.847328	
0.100000	2.137284	1.653483	41.286000	37.040000	2.646623	0.948838	
0.100000	2.125823	3.188918	41.830000	12.990000	4.325028	0.881811	
0.100000	2.119478	1.996464	42.206001	26.360000	2.680046	0.885185	
0.100000	2.115445	1.703129	42.225999	37.160000	2.631572	0.836711	
0.100000	2.107247	1.610263	42.636001	40.580000	2.659272	0.838016	
0.100000	2.096259	1.581475	42.850001	40.880000	2.656661	0.912696	
0.100000	2.087310	3.178689	43.248000	13.800000	4.122921	0.932278	
0.100000	2.083108	2.095291	43.200000	24.560000	2.651298	0.906772	
0.100000	2.075462	1.691755	43.478000	37.450000	2.598801	0.829411	
0.100000	2.066269	1.618045	43.926000	39.780000	2.609198	0.862722	
0.100000	2.060932	1.554221	44.284001	42.270000	2.655431	1.020090	
0.100000	2.052964	3.012955	44.442000	15.010000	4.118076	0.888157	
0.100000	2.044479	2.031512	44.792001	26.150000	2.673114	0.838020	
0.100000	2.053942	1.684507	44.000000	36.870000	2.604075	0.826791	
0.100000	2.031672	1.573411	44.688000	41.720000	2.618838	0.842901	
0.100000	2.019085	1.613361	45.434001	38.880000	2.644986	0.941957	
0.100000	2.020931	2.943916	45.488001	16.250000	4.208929	0.861684	
0.100000	2.017373	2.059112	45.382000	26.590000	2.689364	0.814392	
0.100000	2.010264	1.749254	45.398000	33.350000	2.618223	0.820892	
0.100000	1.989559	1.596814	46.462002	40.970000	2.623348	0.830869	
0.100000	1.985175	1.585898	46.430002	39.740000	2.634745	0.984680	
0.100000	1.993799	3.157195	46.288000	13.090000	4.140386	0.889971	
0.100000	1.986279	2.126448	46.098000	24.360000	2.687172	0.952931	
0.100000	1.983994	1.740651	46.321999	33.470000	2.613580	0.823494	
0.100000	1.961059	1.667290	47.298001	35.880000	2.601539	0.833768	
0.100000	1.952128	1.689673	47.532000	34.330000	2.632097	0.838161	
0.100000	1.946416	2.938361	47.537999	12.430000	4.144021	0.924817	
0.100000	1.940586	2.132209	47.824001	24.090000	2.687213	0.989340	
0.100000	1.930901	1.755622	47.993999	32.250000	2.612122	0.847266	
