LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.423459	1.702216	31.574000	40.760000	179.921623	3.631046	
0.100000	1.866854	1.135153	51.816000	58.760000	186.461369	4.191558	
0.100000	1.489523	1.420173	64.336000	56.190000	185.023217	3.943762	
0.100000	1.254612	0.967100	71.656001	67.020000	178.920286	3.620613	
0.100000	1.116690	0.789573	75.768000	73.570000	175.655173	3.661992	
0.100000	0.978710	0.763488	78.300003	75.100000	161.718000	4.380159	
0.100000	0.918774	0.751620	79.632003	74.480000	167.825098	4.815401	
0.100000	0.873358	0.661081	80.642003	77.490000	165.884508	3.500283	
0.100000	0.835560	0.786421	81.588003	73.500000	157.118433	3.984644	
0.100000	0.813657	0.595042	82.084003	79.920000	157.066746	3.375845	
0.100000	0.749172	0.739490	82.625998	75.510000	125.062580	4.518600	
0.100000	0.732005	0.721348	82.979998	75.760000	129.383247	3.746426	
0.100000	0.748903	0.674684	82.577998	76.980000	118.063461	4.004050	
0.100000	0.697479	0.807016	84.257997	74.200000	126.577362	4.571209	
0.100000	0.699594	1.229080	84.109997	65.440000	122.355909	4.008248	
0.100000	0.661498	0.537811	85.115998	81.840000	128.593080	4.331100	
0.100000	0.662684	0.645208	85.083998	78.470000	120.152345	3.919746	
0.100000	0.653215	0.571438	85.453998	81.210000	97.497858	4.114500	
0.100000	0.651269	0.725200	85.491998	76.060000	96.692737	3.455740	
0.100000	0.645470	0.765260	85.745998	76.110000	104.396111	4.044726	
0.100000	0.633209	0.950240	86.159999	70.940000	127.383702	4.744519	
0.100000	0.633119	0.976010	85.901999	71.480000	119.655826	4.728253	
0.100000	0.626968	0.800068	86.217999	73.610000	121.186662	3.839554	
0.100000	0.622436	0.817361	86.501999	72.690000	113.095551	3.702986	
0.100000	0.615210	0.558444	86.707999	81.940000	103.135855	3.977558	
0.100000	0.599312	0.589197	87.002001	80.680000	125.303928	4.454784	
0.100000	0.604072	0.646289	86.962001	78.760000	119.320951	4.450792	
0.100000	0.597973	0.577554	87.090000	81.040000	113.512950	3.960401	
0.100000	0.608897	0.726783	87.048001	77.520000	113.128221	4.214147	
0.100000	0.603593	0.619448	87.178001	79.380000	110.630210	4.345931	
0.100000	0.588467	1.257556	87.518000	67.430000	118.595596	4.466836	
0.100000	0.779784	4.236820	81.904000	42.070000	116.040543	3.732993	
0.100000	1.067802	1.560687	73.812000	55.940000	110.530132	4.470846	
0.100000	1.027261	1.368459	75.238000	61.430000	104.541373	4.244791	
0.100000	0.917817	0.675782	78.740000	77.050000	112.308075	4.040441	
0.100000	0.743195	0.702795	83.877998	77.070000	112.657128	4.630533	
0.100000	0.687716	0.606309	85.507998	79.780000	115.183179	4.147733	
0.100000	0.653269	0.688356	86.277998	78.790000	110.305228	4.774129	
0.100000	0.630888	0.781619	86.839997	75.450000	100.327834	4.141071	
0.100000	0.612325	0.587325	87.187997	80.760000	115.247317	4.587161	
0.100000	0.587421	0.510601	87.551999	82.830000	114.058031	4.370806	
0.100000	0.595540	0.665210	87.240000	80.280000	110.757731	3.865497	
0.100000	0.590981	0.590067	87.295999	81.410000	97.987226	3.435493	
0.100000	0.589958	0.674640	87.329999	78.410000	103.830961	4.747653	
0.100000	0.583024	0.592232	87.375999	81.160000	113.597441	4.062156	
0.100000	0.561027	0.503288	87.972001	82.710000	110.489982	4.820380	
0.100000	0.572143	0.684920	87.798001	77.620000	113.015369	3.749199	
0.100000	0.561702	0.673850	88.128002	78.500000	83.819960	3.679183	
0.100000	0.557250	0.591225	88.310001	81.330000	109.311839	3.847473	
0.100000	0.559746	0.616904	88.216002	80.270000	112.292609	3.970642	
0.100000	0.555002	0.666680	88.301999	78.470000	102.372272	4.756283	
0.100000	0.558659	0.641638	88.225999	79.240000	104.172631	4.210556	
0.100000	0.565247	0.519412	87.813999	82.980000	88.909180	2.961392	
0.100000	0.551205	0.617207	88.401999	81.470000	98.722948	3.988557	
0.100000	0.551496	0.921475	88.491999	71.790000	104.173363	4.219029	
0.100000	0.542943	0.631104	88.579999	80.370000	106.194603	3.698316	
0.100000	0.550419	1.178828	88.365999	68.810000	102.477028	3.556075	
0.100000	0.546470	0.562740	88.567999	81.830000	94.069965	3.497831	
0.100000	0.547546	0.621706	88.483999	79.810000	84.453215	4.055534	
0.100000	0.544086	0.621087	88.627999	79.120000	101.674531	3.792917	
0.100000	0.540311	0.516432	88.553998	82.840000	109.847326	4.291329	
0.100000	0.564933	0.763831	87.965999	76.020000	96.546839	4.100502	
0.100000	0.561639	0.686241	88.073999	78.300000	103.853056	3.261063	
0.100000	0.562409	0.649065	88.189999	78.920000	92.532043	3.469310	
0.100000	0.550750	0.693805	88.599999	77.980000	102.701939	4.316765	
0.100000	0.527408	0.752200	89.151999	78.220000	108.466634	4.165408	
0.100000	0.533928	0.887551	88.898000	74.800000	97.479180	3.493072	
0.100000	0.542935	0.677375	88.731999	78.950000	104.517150	3.921022	
0.100000	0.538386	0.935166	88.969999	73.150000	90.817454	4.036809	
0.100000	0.528984	0.555938	89.159999	82.050000	94.259667	3.678777	
0.100000	0.534210	0.682024	88.780000	78.870000	108.281482	4.844558	
0.100000	0.539315	0.732406	88.712000	76.100000	98.661296	3.735964	
0.100000	0.531933	0.752987	88.996000	75.180000	98.638878	3.621141	
0.100000	0.539161	0.847400	88.822000	76.150000	93.353694	4.506223	
0.100000	0.524527	0.635164	89.400000	81.380000	101.784706	3.988015	
0.100000	0.515520	0.593988	89.668000	79.800000	110.078749	4.947527	
