LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.980338	1.611550	37.010000	42.360000	185.233165	3.580724	
0.100000	1.445401	1.660674	57.040000	46.200000	203.892992	3.461309	
0.100000	1.179636	1.052219	67.118000	64.300000	186.073027	3.454669	
0.100000	1.016015	1.028496	72.498000	65.590000	203.612301	3.468115	
0.100000	0.910074	0.934857	75.704000	69.590000	203.501660	3.446363	
0.100000	0.837166	0.895109	77.906000	70.270000	181.836158	3.386675	
0.100000	0.786751	0.952373	79.240000	69.870000	203.193756	3.289175	
0.100000	0.737457	0.797649	80.854000	74.260000	180.483966	3.275537	
0.100000	0.710371	0.660954	81.660000	77.900000	202.637329	3.289322	
0.100000	0.681912	0.964043	82.292000	68.310000	202.690178	3.285061	
0.100000	0.650999	0.935592	83.262000	70.950000	181.547752	3.364228	
0.100000	0.646611	0.686447	83.328000	77.900000	202.602657	3.295500	
0.100000	0.628223	0.891128	84.170000	73.390000	179.309078	3.318328	
0.100000	0.626337	0.718325	83.964000	77.380000	203.974893	3.309428	
0.100000	0.608647	0.774234	84.650000	75.600000	203.650758	3.298994	
0.100000	0.598947	0.907229	84.854000	72.660000	182.745821	3.423294	
0.100000	0.595935	0.502807	85.144000	82.900000	204.031924	3.303166	
0.100000	0.592270	0.585735	85.100000	80.760000	179.068922	3.290121	
0.100000	0.581221	0.598141	85.406000	79.800000	203.909371	3.317720	
0.100000	0.575909	0.888477	85.552000	73.940000	203.719031	3.304221	
0.100000	0.563524	0.744046	86.184000	75.760000	182.264204	3.366766	
0.100000	0.563533	0.782949	86.178000	74.400000	202.769714	3.284366	
0.100000	0.566829	0.562392	85.982000	80.890000	180.091568	2.678121	
0.100000	0.557010	0.595598	86.434000	80.220000	202.606552	3.944947	
0.100000	0.555725	0.885835	86.600000	74.240000	202.503547	3.767100	
0.100000	0.547138	0.703918	86.716000	76.470000	181.784135	3.373561	
0.100000	0.547051	0.658335	86.768000	79.600000	203.009664	3.312879	
0.100000	0.541777	0.616667	87.034000	80.710000	186.123225	2.201398	
0.100000	0.538418	0.860574	87.040000	74.810000	197.996387	3.273863	
0.100000	0.537902	0.963968	86.898000	72.350000	202.266142	3.290582	
0.100000	0.532468	0.794453	87.338000	75.100000	182.325958	3.293864	
0.100000	0.537265	0.642299	87.034000	79.440000	203.105260	3.246419	
0.100000	0.530352	0.738105	87.338000	77.100000	191.700059	2.140179	
0.100000	0.534476	0.479236	87.302000	84.320000	195.865040	3.300171	
0.100000	0.528105	0.656436	87.530000	79.350000	203.756616	3.293725	
0.100000	0.515683	0.511042	87.886000	83.000000	183.682510	2.941954	
0.100000	0.520189	0.666648	87.536000	80.170000	202.392295	3.338030	
