LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.652391	1.543777	31.498000	42.600000	199.639952	3.422210	
0.100000	2.018688	1.167523	52.184000	58.180000	185.449811	3.458711	
0.100000	1.663997	1.240582	62.728000	55.180000	201.074385	3.489890	
0.100000	1.409058	1.585096	69.500000	55.130000	180.418658	3.525707	
0.100000	1.237286	1.167482	73.888000	62.340000	202.928096	3.530734	
0.100000	1.120634	0.930530	76.154000	68.470000	202.125260	3.288451	
0.100000	1.046833	0.956316	77.644000	68.010000	183.215045	3.400479	
0.100000	0.987443	1.051387	79.072000	67.570000	200.296347	3.345356	
0.100000	0.958822	1.186798	79.370000	63.740000	179.193382	3.353813	
0.100000	0.918385	0.700333	80.522000	75.610000	199.770176	3.325459	
0.100000	0.902075	1.017923	81.128000	66.510000	201.037276	3.315671	
0.100000	0.906775	0.699115	80.650000	77.010000	183.083288	3.318261	
0.100000	0.889655	0.904877	81.504000	72.490000	200.400398	3.358063	
0.100000	0.878376	0.726014	81.816000	75.870000	180.263227	3.318802	
0.100000	0.881231	1.338606	81.894000	62.030000	201.305067	3.491744	
0.100000	0.855681	1.320175	82.550000	65.990000	201.305205	3.395154	
0.100000	0.857810	0.909647	82.666000	71.310000	183.181668	3.408913	
0.100000	0.847009	3.052289	83.096000	46.860000	200.842298	3.448519	
0.100000	0.851049	0.721985	82.824000	76.890000	181.592851	3.280752	
0.100000	0.835340	1.006841	83.302000	70.650000	199.522730	3.529726	
0.100000	0.831125	0.718464	83.266000	75.840000	200.102772	3.338403	
0.100000	0.832365	0.718644	83.286000	76.000000	182.595737	3.309579	
0.100000	0.826633	0.727848	83.424000	76.160000	199.747122	3.293982	
0.100000	0.822688	0.585461	83.654000	80.370000	181.969308	2.759199	
0.100000	0.810081	2.193515	84.176000	46.860000	197.691376	3.305289	
0.100000	0.800404	0.950538	84.252000	70.080000	200.255157	3.679638	
0.100000	0.813363	0.715981	83.946000	77.010000	181.816200	3.340598	
0.100000	0.806170	0.722688	84.146000	75.960000	198.454334	3.348116	
0.100000	0.799434	0.852034	84.414000	74.010000	186.407036	2.688496	
0.100000	0.804506	0.623978	84.104000	78.790000	192.736591	3.328946	
0.100000	0.788838	1.541073	84.562000	61.450000	200.006522	3.743393	
0.100000	0.801764	0.597118	84.126000	79.700000	180.253783	3.239164	
0.100000	0.794791	0.891157	84.372000	71.110000	197.245476	3.248136	
0.100000	0.790069	0.538104	84.510000	81.850000	189.123126	2.544325	
0.100000	0.787794	0.864901	84.590000	73.190000	188.214530	3.353542	
0.100000	0.780588	0.554647	84.748000	81.310000	198.373182	3.760432	
