LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.316978	1.665838	36.194000	42.550000	200.676841	3.719798	
0.100000	1.748256	1.371588	56.008000	52.040000	184.232174	3.476525	
0.100000	1.421069	1.019694	66.598000	65.580000	201.761547	3.493916	
0.100000	1.215603	0.834758	72.692000	70.990000	202.291391	3.510228	
0.100000	1.079717	0.741101	76.164000	74.690000	182.989920	3.496125	
0.100000	0.995579	1.182516	78.108000	65.270000	201.385152	3.471721	
0.100000	0.946515	0.966377	79.214000	69.810000	180.299063	3.346754	
0.100000	0.888709	0.908073	80.488000	70.930000	200.446982	3.380496	
0.100000	0.858914	1.043723	81.136000	67.920000	200.608321	3.324143	
0.100000	0.830378	0.706763	81.966000	76.840000	181.862897	3.326662	
0.100000	0.803620	0.722946	82.620000	76.370000	201.396798	3.427019	
0.100000	0.806598	1.010201	82.452000	70.870000	179.843507	3.415516	
0.100000	0.798496	0.672117	82.778000	77.020000	201.431959	3.372261	
0.100000	0.782526	1.009614	83.240000	66.110000	201.646955	3.471706	
0.100000	0.778137	0.670086	83.232000	77.310000	186.459131	3.524022	
0.100000	0.756412	0.606660	83.828000	80.110000	204.023746	3.623672	
0.100000	0.759906	0.798859	83.802000	75.410000	180.978640	3.565950	
0.100000	0.752063	0.665199	84.272000	78.270000	201.630315	3.499254	
0.100000	0.742748	0.867821	84.624000	71.540000	201.095603	3.530818	
0.100000	0.740657	0.723957	84.764000	76.360000	181.854465	3.520198	
0.100000	0.738170	0.634206	84.696000	78.570000	200.761015	3.399909	
0.100000	0.738034	0.771336	84.666000	76.420000	179.554354	3.314362	
0.100000	0.741642	1.358610	84.662000	67.070000	199.935458	3.390344	
0.100000	0.735851	0.748509	84.914000	75.200000	199.924544	3.328029	
0.100000	0.729350	0.573659	84.960000	80.980000	182.262946	3.323552	
0.100000	0.718818	0.693205	85.300000	76.800000	201.643478	3.530606	
0.100000	0.717853	0.689317	85.422000	77.620000	179.967667	3.312974	
0.100000	0.721318	0.671536	85.412000	78.740000	200.980610	3.379543	
0.100000	0.710415	0.586563	85.626000	80.410000	201.464672	3.324575	
0.100000	0.719168	0.666165	85.216000	78.570000	183.757591	3.378932	
0.100000	0.703907	0.684513	85.862000	77.370000	202.042480	3.545760	
0.100000	0.708893	0.601072	85.562000	79.760000	179.650282	3.374609	
0.100000	0.698838	0.842962	85.968000	74.360000	201.227167	3.505869	
0.100000	0.702854	0.638892	85.754000	78.830000	200.387714	3.472663	
0.100000	0.703006	0.717651	85.712000	76.340000	182.098443	3.488424	
0.100000	0.693826	1.038653	86.170000	70.030000	200.720227	3.503229	
0.100000	0.701647	0.875534	85.932000	72.650000	181.908507	3.316275	
0.100000	0.697461	0.589994	86.030000	80.620000	198.963822	3.295909	
0.100000	0.697986	0.630972	86.156000	79.980000	199.389403	3.307920	
0.100000	0.692526	0.575982	86.342000	81.740000	181.697340	3.313527	
0.100000	0.686429	0.698277	86.376000	77.380000	200.532366	3.540005	
0.100000	0.690512	0.506383	86.152000	83.010000	183.464388	2.983420	
0.100000	0.686570	0.709093	86.364000	78.010000	197.374931	3.290813	
0.100000	0.689310	0.719870	86.286000	77.930000	199.443634	3.337501	
0.100000	0.677188	0.580903	86.832000	80.430000	181.076501	3.282766	
0.100000	0.684340	0.590494	86.418000	80.210000	200.422703	3.703547	
0.100000	0.683430	0.613431	86.356000	80.300000	183.971680	2.881326	
0.100000	0.686144	0.631030	86.292000	79.920000	196.169651	3.577277	
0.100000	0.675342	0.465749	86.624000	84.440000	198.859838	3.489677	
0.100000	0.677420	0.728678	86.600000	77.940000	180.758495	3.612469	
0.100000	0.671669	0.561926	86.592000	81.270000	200.283618	3.654955	
0.100000	0.679769	0.704821	86.528000	75.670000	185.075357	2.763824	
0.100000	0.673390	0.530119	86.572000	82.140000	195.259579	3.258945	
0.100000	0.672654	0.782212	86.658000	74.290000	198.370056	3.231678	
0.100000	0.673894	0.474623	86.622000	83.940000	180.238363	3.333858	
0.100000	0.660938	0.965815	87.052000	73.890000	200.189753	3.663516	
0.100000	0.670719	0.653788	86.732000	78.850000	185.808782	2.520645	
0.100000	0.670060	0.611300	86.686000	79.260000	193.039015	3.287554	
0.100000	0.670822	0.889258	86.694000	72.730000	196.876373	3.267802	
0.100000	0.677003	0.456592	86.470000	84.180000	178.734637	3.296213	
0.100000	0.655617	1.313839	87.320000	61.840000	199.515291	3.746965	
0.100000	0.662931	0.998962	86.922000	69.350000	187.971825	2.565851	
0.100000	0.673979	0.464943	86.722000	84.640000	190.776186	3.294906	
0.100000	0.663758	0.591892	86.878000	79.800000	198.024102	3.289473	
0.100000	0.667984	0.715298	86.702000	77.480000	181.331895	3.302474	
