LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.025000	2.393226	1.529965	34.924000	43.900000	191.599778	3.242929	
0.025000	1.942256	1.136738	52.528000	59.080000	197.294917	3.193354	
0.025000	1.689045	1.048124	61.454000	63.250000	189.839305	3.186050	
0.025000	1.505033	0.883385	67.700000	69.660000	188.898342	3.166926	
0.025000	1.382869	0.874572	71.618000	69.620000	190.361843	2.904679	
0.025000	1.277249	0.784133	74.976000	73.040000	191.733661	3.261532	
0.025000	1.200209	0.974155	77.168000	68.550000	191.493571	3.180309	
0.025000	1.130404	0.943902	79.194000	71.470000	198.322521	3.182085	
0.025000	1.081315	0.754147	80.156000	75.500000	190.148932	3.201740	
0.025000	1.034643	0.637174	81.396000	78.700000	190.752823	3.204036	
0.025000	0.984266	0.833327	82.522000	72.700000	192.590633	3.295615	
0.025000	0.949114	0.625797	83.212000	78.860000	185.368212	2.646883	
0.025000	0.921686	0.620419	83.778000	79.330000	158.265360	2.621186	
0.025000	0.888231	0.639365	84.390000	79.570000	148.035869	2.615960	
0.025000	0.865799	0.626431	84.942000	79.620000	149.780772	2.680411	
0.025000	0.812597	1.131821	85.456000	69.920000	153.286172	2.802955	
0.025000	0.795619	0.650492	85.704000	79.070000	158.240510	2.643439	
0.025000	0.771981	0.675251	86.240000	78.440000	158.327518	2.634015	
0.025000	0.753694	0.594779	86.548000	81.470000	148.995535	2.637193	
0.025000	0.735644	0.670487	86.844000	78.760000	136.059805	2.098285	
0.025000	0.719472	0.566186	85.718000	81.460000	113.550518	2.252348	
0.025000	0.686579	0.661301	86.548000	78.110000	117.784034	2.130449	
0.025000	0.669295	0.577191	86.826000	81.130000	103.942228	1.901010	
0.025000	0.649698	0.974082	87.504000	72.060000	117.749606	2.297176	
0.025000	0.637241	0.655926	87.642000	79.940000	116.678797	2.235655	
0.025000	0.650700	0.759524	86.542000	77.520000	117.212985	2.344369	
0.025000	0.631437	0.547312	87.030000	81.890000	116.382695	2.008512	
0.025000	0.615821	0.613159	87.448000	79.900000	104.458606	2.211749	
0.025000	0.605719	0.637761	87.818000	79.430000	116.867510	2.358705	
0.025000	0.595487	0.494315	88.018000	83.950000	117.176762	2.125986	
