LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.292698	1.813927	36.158000	39.440000	136.186703	3.294644	
0.100000	1.692246	1.397153	57.856000	53.990000	203.031378	3.379907	
0.100000	1.383814	1.209814	67.816000	60.720000	204.737118	3.461256	
0.100000	1.201430	0.843048	72.936000	70.520000	203.004340	3.330236	
0.100000	1.072216	0.998863	76.314000	67.130000	193.935285	3.350096	
0.100000	0.967784	0.963484	77.468000	68.830000	173.937664	3.458139	
0.100000	0.909706	0.796711	78.998000	73.150000	198.154562	3.342674	
0.100000	0.864792	0.962122	80.184000	69.410000	198.525640	3.392139	
0.100000	0.838906	1.419075	80.684000	62.100000	198.557704	3.439556	
0.100000	0.814576	0.888946	81.294000	72.670000	190.312940	3.617048	
0.100000	0.799034	0.802986	81.266000	74.570000	180.613045	4.043066	
0.100000	0.784106	0.910137	81.464000	71.750000	200.504966	3.616430	
0.100000	0.763818	0.694802	82.404000	77.310000	201.775538	3.529647	
0.100000	0.765823	0.567891	82.202000	81.040000	200.653759	3.418338	
0.100000	0.748430	0.758636	82.986000	75.260000	190.429604	3.460732	
0.100000	0.741641	0.707852	83.074000	76.470000	174.107200	3.727183	
0.100000	0.733439	0.964828	83.326000	70.730000	197.074359	3.296160	
0.100000	0.728246	0.708390	83.334000	78.010000	194.875711	3.361574	
0.100000	0.725129	0.824729	83.542000	73.810000	194.906391	3.312253	
0.100000	0.720287	0.847554	83.848000	73.200000	187.509963	3.746169	
0.100000	0.712446	1.192002	83.894000	64.100000	178.154684	3.954774	
0.100000	0.712305	0.868091	83.954000	73.280000	199.004666	3.543360	
0.100000	0.702217	0.748676	84.166000	76.880000	199.184729	3.478916	
0.100000	0.700718	0.744734	84.598000	76.530000	200.348300	3.598615	
0.100000	0.702462	0.567511	84.410000	80.800000	190.717503	3.565134	
0.100000	0.693822	0.623808	84.570000	79.360000	174.355979	4.175343	
0.100000	0.693471	0.770681	84.538000	74.670000	197.718228	3.483154	
0.100000	0.684535	0.851343	84.968000	74.860000	199.483137	3.590721	
0.100000	0.700533	0.589905	84.436000	80.500000	197.989746	3.720853	
0.100000	0.686792	0.847737	84.984000	72.890000	191.479809	3.751758	
0.100000	0.674573	0.636871	85.258000	79.280000	175.316687	4.120678	
0.100000	0.688660	0.537370	84.792000	81.880000	199.778392	3.402848	
0.100000	0.683598	0.758188	84.896000	75.440000	200.891276	3.526813	
0.100000	0.681284	0.743373	84.834000	76.920000	201.921992	3.607732	
0.100000	0.677801	0.704037	85.274000	77.230000	192.536646	3.541407	
0.100000	0.674342	1.014678	85.200000	69.290000	175.767704	4.091606	
0.100000	0.676015	0.793648	85.302000	75.080000	198.775344	3.253125	
0.100000	0.671288	0.722435	85.268000	77.110000	195.588296	3.257338	
0.100000	0.666317	0.682708	85.490000	76.620000	195.070490	3.497515	
0.100000	0.679091	0.708462	85.034000	76.840000	188.037317	3.306596	
0.100000	0.660258	0.701123	85.538000	78.150000	178.518625	3.734729	
0.100000	0.671170	0.665551	85.240000	77.790000	192.980918	3.291831	
0.100000	0.659859	0.627381	85.558000	80.440000	192.878509	3.321479	
0.100000	0.670549	0.899485	85.202000	72.570000	192.512033	3.507970	
0.100000	0.658248	0.729616	85.796000	78.000000	178.832984	3.267105	
0.100000	0.660703	0.618261	85.522000	79.670000	170.214452	3.576283	
0.100000	0.664247	0.726219	85.466000	76.750000	183.119271	3.136324	
0.100000	0.662064	0.666665	85.488000	79.110000	183.012356	3.185221	
0.100000	0.659931	1.084478	85.608000	70.160000	183.007438	3.062266	
0.100000	0.662924	0.934405	85.610000	72.180000	167.648188	3.097077	
0.100000	0.651428	0.675645	85.892000	78.150000	177.025255	3.354456	
0.100000	0.651998	0.612512	85.926000	79.510000	179.608664	3.129920	
0.100000	0.654565	0.706534	85.762000	77.380000	182.452708	3.080977	
0.100000	0.652103	0.668434	86.134000	77.810000	182.663525	3.238318	
0.100000	0.655647	0.546144	85.880000	81.260000	168.437145	3.118263	
0.100000	0.642331	0.734115	86.212000	77.140000	181.486688	3.317806	
0.100000	0.648201	0.523114	85.968000	81.920000	179.713376	3.099413	
0.100000	0.651044	0.843576	85.898000	73.350000	183.412652	3.116287	
0.100000	0.645074	0.797876	86.072000	75.580000	182.609016	3.136536	
0.100000	0.655319	0.750819	85.668000	77.080000	164.780699	3.279928	
0.100000	0.635771	0.757224	86.376000	76.380000	178.460552	3.441043	
0.100000	0.647337	0.524980	86.094000	81.910000	182.437489	3.149693	
0.100000	0.651584	0.785478	85.880000	75.410000	181.743631	3.024372	
0.100000	0.644522	0.620363	86.024000	80.070000	181.922598	3.100324	
0.100000	0.643840	0.641713	86.052000	79.030000	168.121730	3.309538	
0.100000	0.638181	1.180753	86.164000	68.640000	170.204292	3.602051	
0.100000	0.647508	0.750861	86.052000	76.740000	182.370296	3.429942	
0.100000	0.639606	0.709087	86.294000	77.510000	183.401706	3.307092	
0.100000	0.641945	0.718500	86.306000	76.160000	182.716658	3.291415	
0.100000	0.643143	0.628549	86.212000	78.720000	168.272340	3.322213	
0.100000	0.636640	1.056748	86.442000	69.980000	170.165412	3.599129	
0.100000	0.643714	0.770346	86.152000	76.520000	182.854372	3.078627	
0.100000	0.640530	0.580832	86.208000	81.090000	182.326058	3.080629	
0.100000	0.636046	0.618880	86.342000	80.020000	174.348201	3.250384	
0.100000	0.640621	0.622095	86.318000	78.700000	174.350366	3.119076	
0.100000	0.630313	0.571189	86.522000	81.280000	168.003248	3.654558	
0.100000	0.642555	0.665664	86.080000	78.940000	182.214407	3.196818	
0.100000	0.637473	0.697640	86.312000	78.210000	183.034889	3.306438	
0.100000	0.645377	0.722795	86.002000	77.000000	174.328062	3.284642	
0.100000	0.632061	0.856820	86.426000	75.600000	175.141596	3.075821	
0.100000	0.629570	0.724331	86.606000	76.460000	176.577857	3.195838	
0.100000	0.631902	0.638449	86.398000	79.790000	177.234574	3.106190	
0.100000	0.642255	0.595132	86.212000	80.650000	182.746577	3.202477	
0.100000	0.635884	0.990517	86.496000	71.720000	174.318651	3.042694	
0.100000	0.637382	0.631522	86.388000	79.610000	175.190479	3.057383	
0.100000	0.625201	0.513162	86.892000	83.090000	176.792316	3.551353	
0.100000	0.635464	0.675915	86.282000	79.100000	175.157392	3.199861	
0.100000	0.635353	0.590895	86.334000	80.880000	176.340694	2.965846	
0.100000	0.630304	0.594225	86.480000	79.800000	182.010126	3.317302	
0.100000	0.637846	0.641100	86.126000	78.960000	175.875741	3.134360	
0.100000	0.625634	0.766465	86.614000	75.400000	177.519077	3.457112	
0.100000	0.636378	0.847391	86.350000	74.390000	175.682400	3.065126	
0.010000	0.507069	0.303884	90.940000	89.660000	175.674034	3.191547	
0.001000	0.460261	0.297340	92.384000	89.990000	182.440747	3.042253	
0.000100	0.451859	0.296628	92.688000	90.070000	174.343095	3.039186	
