LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.012500	2.458046	1.595318	30.994000	41.450000	156.663356	5.059605	
0.012500	2.028760	1.282949	48.626000	53.940000	204.472523	4.066011	
0.012500	1.781835	1.272756	58.338000	55.900000	198.278105	4.250142	
0.012500	1.627824	1.029568	63.622000	63.260000	202.158855	4.276301	
0.012500	1.514606	0.973802	67.684000	65.960000	193.348828	3.928355	
0.012500	1.416379	1.092507	71.098000	64.160000	176.791711	3.926148	
0.012500	1.351684	0.874855	73.204000	69.990000	204.323076	4.090673	
0.012500	1.283340	0.972397	75.166000	67.540000	206.108288	4.606049	
0.012500	1.228190	0.849563	77.044000	72.900000	203.556493	3.992774	
0.012500	1.181409	0.778356	78.186000	73.820000	194.122339	3.508331	
0.012500	1.144007	0.737435	79.184000	75.210000	171.585503	3.692676	
0.012500	1.109782	0.681753	80.100000	77.250000	205.138861	4.373678	
0.012500	1.078079	0.682643	80.834000	76.680000	205.284858	3.544945	
0.012500	1.040649	0.612023	82.008000	79.460000	203.711020	3.614515	
0.012500	1.014251	0.653319	82.590000	78.810000	197.034636	3.993276	
0.012500	0.979628	0.733039	83.488000	74.980000	179.497095	3.700909	
0.012500	0.964222	0.781365	83.734000	75.100000	206.421540	4.074635	
0.012500	0.937434	0.647020	84.346000	79.030000	207.325929	3.975073	
0.012500	0.914877	0.679527	84.780000	78.260000	204.809518	3.762910	
0.012500	0.895755	0.562299	85.206000	81.340000	198.509133	3.268747	
0.012500	0.876298	0.616443	85.788000	80.510000	176.100085	4.325926	
0.012500	0.854685	0.667318	86.212000	79.190000	202.599356	3.612623	
0.012500	0.836859	0.679799	86.520000	77.700000	200.920578	3.708621	
0.012500	0.821433	0.571716	86.902000	81.410000	200.608368	3.924484	
0.012500	0.801764	0.645625	87.158000	79.510000	195.175666	3.526610	
0.012500	0.778809	0.548867	87.666000	81.700000	178.058671	3.935793	
0.012500	0.762755	0.611849	87.830000	81.130000	204.596174	3.972400	
0.012500	0.756932	0.657230	87.728000	79.960000	201.641505	3.920978	
0.012500	0.737339	0.747880	88.404000	78.030000	203.305180	4.570835	
0.012500	0.732641	0.586151	88.076000	81.250000	196.960011	3.731441	
0.012500	0.703481	0.842586	88.312000	75.350000	181.718270	4.528553	
0.012500	0.690070	0.479741	88.634000	84.580000	198.863647	4.450595	
0.012500	0.677051	0.531672	88.882000	83.650000	200.296657	3.944114	
0.012500	0.666493	0.446090	89.008000	85.270000	201.574387	4.131675	
0.012500	0.653416	0.754897	89.254000	78.010000	194.832350	4.937504	
0.012500	0.644800	0.747802	88.212000	77.930000	178.971389	3.743385	
0.012500	0.627111	0.587430	88.748000	81.200000	197.098373	3.754040	
0.012500	0.623726	0.608534	88.702000	80.730000	201.922810	3.552666	
0.012500	0.604671	0.738011	89.302000	78.530000	197.960005	4.199675	
0.012500	0.596352	0.484289	89.298000	84.850000	192.567939	3.554413	
0.012500	0.598135	0.685983	88.682000	79.290000	171.972049	4.301492	
0.012500	0.584760	0.602580	88.958000	79.890000	199.692854	4.006149	
0.012500	0.573436	0.703489	89.250000	79.200000	199.124635	4.081509	
0.012500	0.565605	0.448966	89.480000	85.190000	197.074284	4.202196	
0.012500	0.559520	0.627691	89.624000	80.320000	190.344459	3.783153	
0.012500	0.577558	0.774847	88.684000	77.200000	180.089035	4.517650	
0.012500	0.548185	0.546926	89.294000	82.460000	198.288083	3.639258	
0.012500	0.538309	0.741661	89.492000	78.290000	198.904461	3.737464	
0.012500	0.533822	0.595869	89.628000	80.970000	198.045576	3.587410	
0.012500	0.524318	0.531052	89.914000	82.740000	192.120468	3.722082	
0.012500	0.547970	0.473525	88.544000	85.110000	176.781790	3.858682	
0.012500	0.534391	0.600997	89.102000	81.280000	196.924759	3.445142	
0.012500	0.523385	0.467342	89.328000	85.400000	200.055813	4.462756	
0.012500	0.520042	0.598497	89.500000	81.650000	201.264523	4.169195	
0.012500	0.504066	0.453523	90.074000	85.550000	190.845000	3.521514	
0.012500	0.519674	0.574620	89.140000	81.480000	176.852176	4.490396	
0.012500	0.511348	0.609957	89.496000	81.030000	197.525265	3.804416	
0.012500	0.500358	0.476527	89.746000	85.160000	197.601668	3.886683	
0.012500	0.492244	0.480514	90.118000	84.130000	197.471606	3.612756	
0.012500	0.490104	0.617385	90.002000	80.970000	191.306417	3.794970	
0.012500	0.501150	0.406751	89.438000	86.740000	176.864051	4.078907	
0.012500	0.488106	0.462138	90.034000	84.470000	196.721905	4.052018	
0.012500	0.479600	0.490817	90.314000	84.860000	198.152418	3.806665	
0.012500	0.480210	0.574182	90.200000	82.800000	196.172459	3.895727	
0.012500	0.478174	0.483443	90.218000	84.530000	181.986245	3.500841	
0.012500	0.489589	0.443091	89.848000	85.560000	173.228994	3.896903	
0.012500	0.472349	0.592929	90.302000	81.700000	194.905115	3.325917	
0.012500	0.474831	0.548520	90.232000	82.430000	194.717528	3.707023	
0.012500	0.465685	0.521275	90.478000	83.510000	196.056713	4.392440	
0.012500	0.472937	0.600860	90.260000	81.740000	188.651767	3.499841	
0.012500	0.464080	0.612380	90.794000	82.090000	171.201099	3.961387	
0.012500	0.459380	0.513809	90.806000	83.880000	196.356341	3.870851	
0.012500	0.458741	0.470891	90.680000	85.480000	195.130217	3.660740	
0.012500	0.456594	0.451197	90.668000	85.300000	195.751420	3.370953	
0.012500	0.455569	0.485314	90.796000	84.960000	190.228332	3.295419	
0.012500	0.460556	0.489628	90.408000	84.210000	178.151407	4.170139	
0.012500	0.450814	0.427708	90.798000	86.160000	192.890387	3.589175	
0.012500	0.448498	0.568776	90.934000	82.570000	198.486960	3.632903	
0.012500	0.447603	0.580240	90.820000	83.610000	195.491110	4.076592	
0.012500	0.443574	0.534943	91.000000	83.970000	191.309727	3.322343	
0.012500	0.444414	0.588905	90.914000	82.100000	174.819831	5.017369	
0.012500	0.442291	0.492914	90.978000	84.960000	198.390711	3.655271	
0.012500	0.444508	0.775044	90.882000	76.960000	194.891705	3.549981	
