LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.050000	2.347826	1.477412	35.618000	46.810000	149.369052	3.622164	
0.050000	1.825489	1.226054	55.572000	57.340000	206.618143	3.660619	
0.050000	1.551387	1.738825	64.688000	50.520000	201.440706	3.988808	
0.050000	1.363497	1.293855	70.610000	59.570000	202.242415	3.552000	
0.050000	1.221967	0.868902	74.776000	71.500000	190.430262	3.578649	
0.050000	1.119498	1.144621	77.654000	66.700000	176.183665	4.046786	
0.050000	1.043632	0.666846	79.368000	77.050000	202.730291	4.755287	
0.050000	0.980272	0.757157	80.948000	74.130000	197.323093	4.703876	
0.050000	0.929804	0.922482	81.900000	70.840000	199.616864	3.574935	
0.050000	0.879363	0.719613	82.842000	76.700000	188.854272	5.095311	
0.050000	0.818883	0.715885	82.628000	76.150000	169.161536	4.954326	
0.050000	0.792324	0.720184	83.262000	76.990000	202.450772	4.776242	
0.050000	0.768525	0.758369	83.638000	75.460000	197.029228	4.102528	
0.050000	0.745712	0.875570	84.328000	71.300000	197.915005	3.743461	
0.050000	0.724975	0.617678	84.772000	79.080000	189.600406	4.170763	
0.050000	0.724036	0.528130	83.926000	81.960000	169.265079	4.024454	
0.050000	0.702476	0.594174	84.668000	80.080000	197.704671	4.958288	
0.050000	0.690362	0.597592	85.130000	80.460000	198.626331	3.559943	
0.050000	0.675882	0.727873	85.476000	76.680000	198.481430	4.951965	
0.050000	0.663427	0.608731	85.744000	80.470000	191.751897	4.350113	
0.050000	0.661800	0.599971	85.434000	80.130000	171.717737	4.629995	
0.050000	0.648688	0.849730	85.870000	74.020000	196.825984	3.973752	
0.050000	0.645108	0.632472	86.160000	79.560000	194.502208	3.926650	
0.050000	0.637942	0.793255	86.202000	75.620000	196.768625	4.033529	
0.050000	0.637630	0.640120	86.288000	79.650000	190.174033	3.899346	
0.050000	0.623382	0.570927	86.820000	81.310000	171.005011	4.025544	
0.050000	0.619237	0.578711	86.810000	81.240000	196.834266	4.557796	
0.050000	0.621401	0.624851	86.616000	80.250000	196.201015	3.582242	
0.050000	0.618679	0.529259	86.666000	82.480000	193.610922	3.742720	
0.050000	0.610823	0.564204	87.164000	81.530000	188.497196	3.621677	
0.050000	0.603181	0.866564	87.394000	72.480000	172.248439	4.736685	
0.050000	0.612789	0.724147	86.946000	77.100000	194.530312	4.655422	
0.050000	0.600526	0.605459	87.340000	81.100000	190.275017	3.521078	
0.050000	0.605449	0.658143	87.388000	78.560000	196.110451	4.187091	
0.050000	0.603659	0.583481	87.264000	80.340000	186.701168	3.817690	
0.050000	0.587131	0.637873	87.828000	80.730000	175.067333	4.590009	
0.050000	0.596021	0.798890	87.518000	75.670000	195.203376	4.425423	
0.050000	0.596282	0.541975	87.518000	82.270000	193.430753	3.623052	
0.050000	0.585211	0.516102	87.840000	82.390000	196.069803	3.932340	
0.050000	0.587330	0.561990	87.656000	81.870000	184.960066	3.697672	
0.050000	0.571865	0.597480	88.110000	81.100000	175.241657	4.384226	
0.050000	0.581681	0.619060	87.886000	79.910000	195.775002	5.076783	
0.050000	0.586483	0.788481	87.804000	76.290000	195.947421	3.458482	
0.050000	0.576730	0.568547	88.100000	80.730000	191.539246	3.499851	
0.050000	0.578570	0.559660	88.046000	81.710000	187.740947	3.515055	
0.050000	0.575063	0.817818	88.140000	76.880000	178.001562	4.105290	
0.050000	0.574582	0.519325	88.174000	83.450000	193.039778	3.776181	
0.050000	0.570069	0.489646	88.334000	83.780000	194.318565	3.862062	
0.050000	0.580825	0.598013	87.892000	81.130000	192.087284	3.757718	
0.050000	0.577483	0.725150	88.130000	77.960000	184.596390	3.553434	
0.050000	0.564608	0.458464	88.474000	85.080000	171.885036	4.235867	
0.050000	0.569940	0.617808	88.296000	80.610000	195.629205	3.621361	
0.050000	0.565894	0.554325	88.278000	81.920000	195.019744	4.754912	
0.050000	0.572885	0.529902	88.248000	83.450000	197.663047	3.517440	
0.050000	0.567717	0.557280	88.434000	82.590000	187.124431	3.334859	
0.050000	0.555876	0.487924	88.708000	83.470000	170.451151	5.228820	
0.050000	0.560857	0.664492	88.470000	80.050000	192.670757	4.208609	
0.050000	0.565410	0.533150	88.474000	82.860000	198.199976	4.174911	
0.050000	0.563269	0.509708	88.512000	83.120000	194.256581	3.612475	
0.050000	0.560597	0.575549	88.604000	81.570000	186.589660	3.365628	
0.050000	0.551423	0.862310	88.806000	74.750000	169.226214	4.027656	
0.050000	0.549168	0.450518	89.090000	85.540000	197.476878	4.172819	
0.050000	0.553308	0.626256	88.792000	79.890000	195.359107	3.872735	
0.050000	0.555004	0.451488	88.814000	84.790000	195.351482	3.548059	
0.050000	0.549379	0.590528	88.876000	81.500000	184.335062	3.622589	
0.050000	0.548313	0.499029	88.902000	83.420000	171.201115	4.623279	
0.050000	0.547275	0.650186	88.762000	80.030000	194.263752	3.531728	
0.050000	0.552560	0.559841	88.694000	81.680000	194.558578	3.798092	
0.050000	0.550562	0.566483	88.890000	82.020000	192.757610	3.895468	
0.050000	0.548221	0.543988	89.060000	82.370000	184.400284	4.146479	
0.050000	0.536062	0.554846	89.328000	81.410000	175.078562	4.156644	
0.050000	0.553704	0.512494	88.496000	83.130000	193.196327	3.400239	
0.050000	0.543134	0.483664	89.056000	83.830000	192.291408	3.604486	
0.050000	0.541241	0.562932	89.194000	81.810000	192.402164	3.480620	
0.050000	0.542640	0.510069	89.104000	83.330000	190.379445	3.380925	
0.050000	0.535441	0.529038	89.238000	83.350000	178.530036	3.914924	
0.050000	0.543529	0.514608	88.990000	83.120000	193.470906	3.962899	
0.050000	0.543038	0.499641	89.160000	83.570000	193.475368	3.775628	
0.050000	0.531803	0.563421	89.390000	82.070000	193.220403	4.770027	
0.050000	0.538452	0.598038	89.068000	81.170000	186.947218	3.693131	
0.050000	0.525864	1.017604	89.608000	73.610000	185.292331	3.216008	
0.050000	0.534122	0.472158	89.144000	84.380000	189.573786	3.692102	
0.050000	0.536629	0.494418	88.998000	83.400000	195.001068	3.513859	
0.050000	0.533127	0.535345	89.134000	83.120000	194.078686	4.452379	
0.050000	0.530065	0.676960	89.520000	78.340000	186.739635	3.512992	
0.050000	0.531076	0.499503	89.316000	82.650000	184.509496	3.699523	
0.050000	0.534746	0.487230	89.302000	84.050000	185.841895	3.888244	
0.050000	0.527613	0.455895	89.422000	84.930000	193.025287	3.573917	
0.050000	0.528986	0.592848	89.408000	81.250000	197.480475	3.472418	
0.050000	0.530746	0.662310	89.316000	79.130000	190.829013	3.510810	
0.050000	0.525850	0.461658	89.366000	84.570000	185.992459	3.526249	
0.050000	0.535291	0.784213	89.224000	76.560000	190.921537	3.282022	
0.050000	0.528430	0.638772	89.468000	80.130000	198.988672	3.296353	
0.050000	0.529254	0.489702	89.452000	84.010000	197.610049	3.236146	
0.050000	0.528360	0.542641	89.500000	82.190000	189.765643	3.225545	
0.050000	0.521905	0.511766	89.662000	82.580000	193.039763	3.562810	
0.050000	0.529254	0.634611	89.430000	80.790000	191.450447	3.332876	
0.050000	0.526738	0.648235	89.484000	80.280000	198.119963	3.306076	
0.050000	0.530711	0.644805	89.508000	79.780000	198.593212	3.163477	
0.050000	0.528166	0.614747	89.534000	80.360000	182.936877	3.165030	
0.050000	0.521232	0.460052	89.690000	84.910000	193.880345	3.508853	
0.050000	0.532431	0.704386	89.176000	78.150000	191.501029	3.215554	
0.050000	0.523693	0.574521	89.464000	81.130000	197.788670	3.201305	
0.050000	0.527132	0.453208	89.574000	84.750000	197.919603	3.326766	
0.050000	0.525044	0.600558	89.364000	80.750000	179.219217	3.072466	
0.050000	0.519665	0.478766	89.720000	84.150000	199.854012	3.532895	
0.050000	0.525132	0.454066	89.584000	84.930000	191.636742	3.237602	
0.050000	0.519371	0.425219	89.576000	86.420000	197.763298	3.369958	
0.050000	0.526562	0.640105	89.492000	80.650000	197.265442	3.202926	
0.050000	0.521097	0.510827	89.562000	83.420000	175.058967	3.229039	
0.050000	0.516939	0.603546	89.762000	80.660000	200.345097	3.896334	
0.050000	0.520728	0.560831	89.492000	83.050000	190.841533	3.302510	
0.050000	0.519009	0.648798	89.648000	80.670000	198.999520	3.450230	
0.050000	0.521768	0.501450	89.522000	83.650000	193.894466	3.218913	
0.050000	0.521104	0.532801	89.696000	82.800000	177.533576	3.220505	
0.050000	0.516077	0.777226	89.752000	76.910000	201.516410	3.619890	
0.050000	0.519713	0.496025	89.674000	84.230000	190.583233	3.189802	
0.050000	0.521942	0.549512	89.472000	82.940000	198.127081	3.313020	
0.050000	0.522703	0.927577	89.620000	72.960000	190.910009	3.289649	
0.050000	0.526433	0.475198	89.292000	84.600000	183.149556	3.498704	
0.050000	0.516039	0.674702	89.884000	78.500000	200.785488	3.994691	
0.050000	0.523073	0.817652	89.506000	74.560000	191.146034	3.262734	
0.050000	0.515528	0.418936	89.812000	86.330000	199.038323	3.604060	
0.050000	0.515794	0.922974	89.708000	74.910000	187.639629	3.384084	
0.050000	0.520300	0.530085	89.684000	82.740000	187.842387	3.246660	
0.050000	0.520524	0.482843	89.688000	84.320000	200.355756	3.549979	
0.050000	0.515308	0.498529	89.838000	83.340000	190.869385	3.282608	
0.050000	0.518472	0.498387	89.712000	83.990000	198.106242	3.072387	
0.050000	0.518001	0.493260	89.690000	83.200000	183.422936	3.402473	
0.050000	0.517811	0.594052	89.536000	81.270000	190.509087	3.734845	
0.050000	0.511630	0.440705	89.852000	85.520000	199.616779	4.046433	
0.050000	0.515307	0.505601	89.686000	84.090000	189.871917	3.502300	
0.050000	0.519107	0.548060	89.598000	82.580000	189.613190	3.352306	
0.050000	0.519694	0.674777	89.674000	78.840000	191.727241	3.306742	
0.050000	0.514490	0.745591	89.952000	77.790000	190.510865	3.263696	
0.050000	0.514038	0.394743	89.792000	86.980000	201.107225	3.514945	
0.050000	0.511311	0.491296	89.752000	84.100000	191.759411	3.315074	
0.050000	0.518618	0.554369	89.680000	82.050000	191.503775	3.080600	
0.050000	0.517356	0.468703	89.666000	84.830000	191.608277	3.195828	
0.050000	0.517738	0.705316	89.666000	78.570000	190.758808	3.295098	
0.050000	0.510883	0.564859	89.874000	82.130000	200.984627	3.629572	
0.050000	0.512386	0.527238	90.024000	82.350000	184.368702	3.605911	
0.050000	0.520159	0.630581	89.614000	80.090000	192.510703	3.583925	
0.050000	0.512371	0.478543	89.954000	84.310000	199.749214	3.495363	
0.050000	0.518478	0.466406	89.572000	84.190000	193.162692	3.563390	
0.050000	0.505060	0.595848	90.092000	80.630000	203.777850	4.122381	
0.050000	0.513923	0.466314	89.866000	84.910000	183.278104	3.430357	
0.050000	0.516585	0.555234	89.714000	82.720000	194.666045	3.398031	
0.050000	0.511275	0.442628	90.018000	85.060000	200.307277	3.481171	
0.050000	0.513410	0.744495	89.884000	77.590000	191.617711	3.425224	
0.050000	0.507874	0.430823	90.158000	85.690000	196.887845	3.629662	
0.050000	0.512274	0.565576	89.918000	82.850000	188.706666	3.123091	
0.050000	0.513591	0.645098	89.754000	80.550000	187.885908	3.132907	
0.050000	0.517672	0.471426	89.692000	84.460000	194.624269	3.108893	
0.050000	0.519905	0.573981	89.648000	82.160000	187.261775	3.120910	
0.050000	0.504226	0.531178	90.300000	82.790000	194.002556	3.835592	
0.050000	0.511467	0.628208	89.920000	79.870000	182.881762	3.340052	
0.050000	0.512620	0.530434	89.868000	82.290000	191.205903	3.346956	
0.050000	0.516536	0.484336	89.598000	84.380000	193.555139	3.384832	
0.050000	0.510504	0.695734	89.870000	79.810000	175.012907	3.274053	
0.050000	0.505768	0.513009	90.024000	83.440000	195.459183	3.791703	
0.050000	0.515413	0.485856	89.634000	83.890000	177.430230	3.355716	
