LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.200000	2.742883	1.776412	20.792000	33.090000	195.706444	4.489004	
0.200000	2.032582	1.593893	40.656000	39.230000	196.612233	3.514351	
0.200000	1.612335	1.634960	54.540000	47.730000	194.302097	3.721958	
0.200000	1.302348	1.170360	64.564000	58.000000	191.758218	3.588564	
0.200000	1.117310	1.560929	70.776000	56.190000	177.186012	3.202760	
0.200000	1.029482	1.460450	72.196000	56.280000	193.824544	4.407860	
0.200000	0.958606	1.962399	75.088000	50.090000	191.731638	3.451974	
0.200000	0.923805	1.046540	76.374000	66.900000	191.877491	3.840741	
0.200000	0.905973	1.157183	77.260000	65.060000	190.963783	3.389304	
0.200000	0.898851	1.049915	77.606000	66.220000	151.938783	3.693911	
0.200000	0.872578	1.655157	78.434000	57.460000	193.081228	4.261443	
0.200000	0.876305	0.901810	78.280000	70.790000	187.946381	3.420198	
0.200000	0.867515	1.296991	78.792000	59.960000	188.898052	4.148394	
0.200000	0.855711	0.879509	79.196000	69.780000	186.247024	3.242252	
0.200000	0.855352	1.106783	79.260000	66.180000	162.743151	3.409869	
0.200000	0.851036	1.346004	79.500000	62.070000	183.083882	3.791519	
0.200000	0.846284	1.130500	79.516000	63.260000	178.705896	3.153229	
0.200000	0.835415	0.858917	80.130000	69.980000	181.887111	3.281958	
0.200000	0.839266	0.805079	79.968000	73.880000	172.175868	4.087349	
0.200000	0.834963	1.050660	80.108000	66.740000	157.294453	3.068478	
0.200000	0.824530	1.558702	80.386000	54.980000	168.602406	3.471377	
0.200000	0.834639	0.876542	80.188000	71.370000	167.616614	2.854462	
0.200000	0.824429	1.396553	80.366000	60.450000	166.417028	3.242772	
0.200000	0.827177	0.884019	80.232000	69.840000	156.221822	3.240236	
0.200000	0.820902	0.822989	80.614000	72.940000	154.045967	2.820061	
0.200000	0.812892	1.114704	80.782000	66.810000	159.116541	4.003997	
0.200000	0.818994	1.950446	80.652000	51.710000	168.110346	3.034929	
0.200000	0.823392	0.764509	80.582000	75.150000	166.740340	3.708075	
0.200000	0.815183	1.007967	80.814000	66.570000	160.971290	4.013344	
0.200000	0.811137	0.980761	80.860000	67.200000	168.811739	3.809679	
0.200000	0.802338	0.838255	81.212000	73.680000	149.862003	4.070724	
0.200000	0.808039	1.065025	81.038000	65.930000	157.312304	3.387797	
0.200000	0.814928	1.079943	80.830000	67.790000	158.370990	3.706184	
0.200000	0.800554	1.277043	81.196000	62.940000	150.635837	3.127342	
0.200000	0.805171	0.860921	80.982000	71.720000	157.757632	3.428071	
0.200000	0.802611	0.962594	81.324000	70.480000	135.163121	3.871330	
0.200000	0.800928	1.089456	81.304000	67.570000	157.392375	3.021084	
0.200000	0.801698	0.931842	80.958000	71.940000	155.888184	3.783568	
0.200000	0.800446	1.408484	81.128000	63.100000	149.090346	3.596571	
