LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.331364	1.495454	34.770000	45.270000	185.341068	4.382962	
0.100000	1.758647	1.511614	55.348000	55.090000	189.566972	4.053916	
0.100000	1.424635	0.983567	66.408000	66.060000	189.908833	4.253283	
0.100000	1.216120	1.607580	72.392000	50.860000	187.530275	4.329688	
0.100000	1.089177	1.007733	75.876000	66.200000	176.543852	4.093212	
0.100000	0.998009	1.011220	78.056000	67.160000	182.030734	4.244071	
0.100000	0.930643	0.937119	79.452000	68.370000	192.866191	3.749738	
0.100000	0.894933	0.697240	80.064000	75.430000	196.969640	3.957984	
0.100000	0.858557	1.062084	80.898000	65.420000	189.235684	3.774019	
0.100000	0.834337	1.271577	81.518000	62.070000	176.624337	4.390606	
0.100000	0.804370	0.716541	82.302000	75.720000	183.858584	4.574182	
0.100000	0.795882	0.821220	82.360000	73.720000	195.315612	4.545226	
0.100000	0.780214	0.674923	83.020000	78.310000	195.818753	4.569870	
0.100000	0.780243	0.850427	83.024000	72.630000	189.343429	3.533333	
0.100000	0.767768	0.686110	83.300000	77.950000	184.602418	3.151631	
0.100000	0.756979	0.793379	83.696000	75.280000	190.337412	3.456081	
0.100000	0.753771	0.970593	83.892000	72.390000	194.907250	3.371721	
0.100000	0.764427	0.761787	83.542000	73.850000	196.571458	3.250413	
0.100000	0.749555	0.738267	84.024000	75.650000	195.223521	3.134254	
0.100000	0.747062	0.835486	84.234000	72.950000	185.903824	3.280760	
0.100000	0.736875	0.865023	84.550000	74.470000	191.303213	3.838684	
0.100000	0.742583	0.767207	84.564000	74.760000	195.591546	3.453291	
0.100000	0.728619	0.799569	84.754000	74.740000	195.553684	3.527127	
0.100000	0.732484	0.767455	84.694000	75.940000	190.312044	3.464797	
0.100000	0.723227	1.070328	85.108000	68.870000	181.412894	3.931958	
0.100000	0.729561	0.838072	84.792000	73.290000	185.711115	4.286522	
0.100000	0.718017	1.032266	85.230000	69.590000	193.186722	4.064612	
0.100000	0.722595	0.697048	85.270000	77.400000	193.289921	4.941684	
0.100000	0.715790	0.849285	85.312000	74.500000	187.184632	3.915353	
