LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.327119	1.651890	34.086000	42.250000	24.267528	1.134297	
0.100000	1.779019	1.495398	53.890000	49.280000	23.640302	1.092201	
0.100000	1.468964	1.185856	63.934000	58.570000	25.340952	1.122809	
0.100000	1.259257	1.007661	70.234000	66.380000	24.035059	1.100899	
0.100000	1.103212	1.703649	75.052000	54.390000	23.314404	1.133930	
0.100000	0.977640	1.128602	76.786000	65.290000	23.617638	1.096696	
0.100000	0.915609	0.682329	78.458000	76.910000	26.289640	1.117023	
0.100000	0.860311	0.849649	79.974000	71.590000	25.893081	1.115534	
0.100000	0.829720	1.061065	81.016000	69.290000	23.024157	1.122374	
0.100000	0.815256	0.714730	81.176000	76.070000	23.494856	1.082890	
0.100000	0.794256	0.941111	80.966000	71.460000	24.437379	1.098347	
0.100000	0.769358	0.747750	81.934000	75.300000	25.148165	1.089281	
0.100000	0.762110	0.788552	82.254000	74.020000	24.159693	1.077646	
0.100000	0.753002	0.822597	82.516000	72.740000	25.330808	1.098188	
0.100000	0.743829	0.761977	82.800000	74.680000	23.796000	1.055095	
0.100000	0.734691	0.903372	83.022000	71.840000	23.415961	1.115425	
0.100000	0.739100	0.687583	83.036000	77.700000	24.122281	1.120647	
0.100000	0.726896	0.815678	83.352000	74.210000	24.026871	1.100813	
0.100000	0.716275	0.711522	83.920000	77.590000	24.490493	1.058340	
0.100000	0.715602	0.639220	83.898000	79.100000	23.975746	1.111040	
0.100000	0.701637	0.563841	84.288000	80.830000	24.275134	1.117308	
0.100000	0.709457	0.798065	84.080000	74.600000	24.496089	1.098946	
0.100000	0.697645	0.958687	84.434000	70.570000	24.356317	1.091715	
0.100000	0.704166	0.698353	84.012000	77.570000	23.626381	1.088841	
0.100000	0.694400	0.693674	84.568000	77.340000	24.287619	1.069662	
0.100000	0.685403	1.042304	84.752000	70.030000	23.935583	1.100359	
0.100000	0.696677	0.684167	84.324000	78.740000	24.568885	1.093493	
0.100000	0.686982	1.056384	84.762000	69.990000	25.691224	1.080146	
0.100000	0.678506	1.637681	85.076000	63.550000	25.163884	1.105173	
0.100000	0.684642	0.808028	84.974000	74.540000	25.451767	1.081158	
0.100000	0.669150	0.756500	85.372000	75.480000	23.005487	1.041931	
0.100000	0.671135	0.900345	85.090000	72.520000	23.409967	1.043553	
0.100000	0.674895	0.758250	85.080000	75.860000	23.126715	1.052676	
0.100000	0.666340	0.892615	85.600000	72.790000	22.372612	1.021322	
0.100000	0.675635	0.662895	85.174000	78.440000	23.407271	1.052490	
0.100000	0.670337	0.929801	85.288000	70.870000	22.934890	1.058013	
0.100000	0.667002	0.747743	85.402000	77.660000	22.681477	1.036737	
0.100000	0.671699	0.745051	85.348000	77.560000	23.052429	1.024961	
