LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.416267	1.552136	34.604000	44.560000	157.668851	3.217186	
0.100000	1.849438	1.192998	54.534000	57.420000	157.489000	2.720424	
0.100000	1.505273	1.474849	65.292000	55.600000	151.368320	3.053023	
0.100000	1.292571	1.111446	71.342000	62.690000	157.084948	3.116315	
0.100000	1.147175	1.317410	74.868000	59.350000	138.864821	2.857404	
0.100000	1.039796	0.759982	77.516000	74.020000	157.249876	3.309349	
0.100000	0.976002	0.849755	78.892000	73.480000	146.954882	3.132452	
0.100000	0.933871	1.222366	79.786000	64.940000	156.991840	3.179977	
0.100000	0.887503	0.789791	80.742000	72.990000	156.389305	2.902908	
0.100000	0.866996	0.914674	81.258000	71.650000	137.557554	3.086564	
0.100000	0.838794	0.939703	81.976000	68.730000	158.290555	3.368209	
0.100000	0.837313	0.753655	82.104000	75.170000	148.407312	3.303257	
0.100000	0.827958	0.588491	82.464000	80.210000	158.170625	3.437825	
0.100000	0.817462	0.698258	82.614000	77.570000	156.974914	3.371731	
0.100000	0.806800	0.840647	83.064000	72.560000	138.189239	3.318571	
0.100000	0.801883	0.639871	83.262000	78.420000	149.723501	2.912088	
0.100000	0.788344	0.920851	83.716000	71.310000	156.013463	3.251366	
0.100000	0.793913	0.662657	83.538000	77.770000	156.549441	3.375329	
0.100000	0.791856	0.635539	83.832000	78.900000	155.117838	3.246315	
0.100000	0.784608	0.773786	84.066000	74.520000	137.789569	3.178093	
0.100000	0.776764	1.100302	84.138000	68.860000	147.596488	3.302792	
0.100000	0.778920	0.732828	84.108000	76.450000	156.577725	3.128324	
0.100000	0.783938	0.642232	84.102000	78.850000	156.781166	3.212433	
0.100000	0.768110	0.673339	84.530000	77.470000	155.506759	2.789769	
0.100000	0.769957	0.681688	84.494000	76.840000	139.488421	3.167354	
0.100000	0.762010	0.732513	84.736000	76.750000	148.754340	3.479996	
