LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.428506	1.722530	27.870000	33.510000	194.575103	3.204772	
0.100000	1.975477	2.259889	40.936000	35.180000	202.723002	3.124611	
0.100000	1.719608	3.070653	49.268000	18.660000	197.561731	3.056748	
0.100000	1.576702	1.911318	54.240000	40.620000	202.674230	3.110147	
0.100000	1.510395	1.453005	57.390000	51.500000	187.555366	3.168661	
0.100000	1.452526	1.437092	59.796000	51.400000	199.873110	3.251406	
0.100000	1.427609	1.562875	61.124000	43.530000	204.453102	3.118006	
0.100000	1.401740	3.727202	62.684000	26.230000	199.474889	3.153124	
0.100000	1.380976	1.299936	63.712000	56.360000	204.833080	3.158241	
0.100000	1.369251	11.161017	64.230000	12.380000	188.551712	3.127947	
0.100000	1.344606	2.116075	65.140000	41.790000	199.185813	3.316976	
0.100000	1.348958	1.989125	65.288000	40.390000	204.084221	3.124651	
0.100000	1.335095	1.529219	66.034000	49.470000	199.507236	3.148083	
0.100000	1.321400	1.524330	66.120000	50.690000	204.672720	3.160175	
0.100000	1.327048	2.827807	65.988000	36.270000	188.863081	3.091811	
0.100000	1.308099	1.353865	66.628000	53.470000	199.379886	3.190151	
0.100000	1.303409	2.096856	66.748000	38.720000	204.367491	3.117302	
0.100000	1.303296	1.530557	67.024000	53.050000	199.080538	3.101361	
0.100000	1.307951	6.226089	67.044000	18.540000	204.549762	3.082050	
0.100000	1.291443	1.308834	67.252000	55.260000	186.134356	3.137106	
0.100000	1.287112	1.998626	67.626000	49.730000	199.434216	3.245884	
0.100000	1.289164	1.534499	67.698000	51.020000	203.517087	2.656828	
0.100000	1.293514	1.065664	67.482000	62.910000	200.065792	3.118016	
0.100000	1.288445	2.024926	67.904000	46.170000	204.625668	3.057815	
0.100000	1.283757	2.146576	67.912000	42.880000	188.593346	3.068324	
0.100000	1.269394	1.828833	68.388000	41.920000	199.728776	3.290200	
0.100000	1.272114	1.360118	68.322000	56.550000	199.331592	3.149725	
0.100000	1.272006	1.766842	68.278000	44.780000	204.339112	3.143915	
0.100000	1.275153	2.847738	68.262000	30.670000	198.843935	2.692231	
0.100000	1.262662	1.265096	68.472000	56.130000	194.659251	2.904442	
0.100000	1.258739	2.625560	68.762000	37.040000	188.636417	2.815090	
0.100000	1.266880	1.407890	68.398000	57.480000	192.540284	3.013995	
0.100000	1.271146	1.191883	68.488000	59.780000	192.563739	2.997105	
0.100000	1.265439	1.197703	68.510000	59.850000	183.722487	2.540632	
0.100000	1.257845	3.030598	68.792000	42.030000	186.304532	2.790370	
0.100000	1.255880	1.542065	69.018000	51.150000	187.857249	3.264848	
0.100000	1.260748	3.428934	68.732000	32.210000	192.441674	2.972806	
0.100000	1.260894	1.013626	68.586000	64.780000	191.933101	2.554967	
0.100000	1.252289	1.865673	68.944000	45.000000	183.517799	2.810977	
0.100000	1.250012	1.425552	68.934000	50.020000	187.403356	2.667081	
0.100000	1.248972	9.934058	68.834000	11.850000	188.340464	3.203916	
0.100000	1.254882	1.254697	68.980000	56.680000	192.108264	2.916499	
0.100000	1.256945	3.856764	68.634000	27.440000	186.873967	2.943121	
0.100000	1.248184	3.426034	68.800000	26.840000	187.417605	2.945666	
0.100000	1.250177	1.585411	69.058000	45.820000	187.043909	2.547783	
0.100000	1.243282	1.511596	68.938000	51.730000	181.787440	3.024902	
0.100000	1.251026	1.947245	68.644000	49.020000	180.227223	2.782620	
0.100000	1.250809	1.475382	69.010000	51.590000	175.324327	2.804266	
0.100000	1.244965	1.402377	68.866000	54.820000	180.179998	2.342747	
0.100000	1.256031	1.334530	68.564000	55.720000	168.501002	2.351066	
0.100000	1.239445	1.132913	69.050000	61.070000	176.910066	2.972699	
0.100000	1.254157	1.384482	68.386000	54.450000	180.792375	2.825845	
0.100000	1.246297	1.858182	68.666000	45.930000	175.678899	2.772576	
0.100000	1.242993	1.567540	69.078000	51.400000	180.694448	2.760160	
0.100000	1.248183	1.628280	68.562000	46.210000	165.415923	2.444588	
0.100000	1.236838	3.021146	69.210000	39.030000	176.366956	3.008836	
0.100000	1.244516	1.129566	69.038000	61.880000	181.062054	2.784125	
0.100000	1.246180	1.469922	69.006000	50.240000	176.123906	2.765630	
