LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.399637	1.922317	33.678000	34.380000	188.844548	3.613228	
0.100000	1.789830	1.336728	55.290000	54.720000	198.976019	3.345624	
0.100000	1.462439	1.487978	65.596000	55.880000	199.710073	3.363036	
0.100000	1.247693	0.979128	72.182000	67.170000	191.409879	3.346255	
0.100000	1.112966	0.947953	75.618000	67.600000	189.130812	3.110729	
0.100000	1.020200	1.231486	77.704000	62.000000	194.262311	3.592567	
0.100000	0.957969	0.955112	78.922000	68.860000	201.559950	3.314263	
0.100000	0.906204	0.969308	79.964000	71.000000	202.738380	3.776286	
0.100000	0.877113	0.758655	80.766000	75.090000	192.744787	3.587954	
0.100000	0.851789	0.797261	81.346000	73.140000	194.571942	3.323246	
0.100000	0.824009	0.658750	82.150000	78.510000	200.944893	3.808561	
0.100000	0.822737	1.028289	81.962000	68.020000	208.477535	3.744633	
0.100000	0.811920	0.849641	82.268000	74.400000	208.017740	4.130061	
0.100000	0.801040	0.886819	82.908000	70.750000	198.308923	3.815667	
0.100000	0.799945	1.273057	82.744000	64.880000	194.928359	3.450599	
0.100000	0.782990	0.691562	83.492000	77.120000	203.900204	3.922919	
0.100000	0.792344	0.741848	83.162000	74.860000	207.680456	3.758063	
0.100000	0.778668	0.700736	83.482000	77.740000	207.961401	3.855259	
0.100000	0.774239	0.920342	83.944000	72.960000	200.282480	3.629966	
0.100000	0.770277	0.737247	83.774000	76.090000	197.577224	3.551808	
0.100000	0.763313	0.884391	83.972000	71.490000	203.334230	4.176194	
0.100000	0.768327	0.867136	83.976000	73.180000	212.386397	3.892475	
0.100000	0.752921	0.971455	84.686000	72.080000	211.996208	3.949200	
0.100000	0.747367	0.770406	84.674000	76.110000	202.323667	3.973543	
0.100000	0.753077	0.732950	84.532000	75.700000	200.011154	3.952260	
0.100000	0.739532	0.646828	85.006000	79.380000	203.780570	4.060256	
0.100000	0.750454	1.022805	84.464000	70.480000	210.223325	3.676652	
0.100000	0.745722	0.698891	84.698000	77.370000	207.759105	3.908958	
0.100000	0.739780	0.701232	84.952000	77.640000	198.286514	4.210833	
0.100000	0.738702	0.769193	85.004000	75.380000	197.793435	4.115092	
0.100000	0.723232	0.741546	85.512000	73.570000	200.253802	4.345476	
0.100000	0.738253	0.670171	84.838000	78.110000	209.026296	4.241698	
0.100000	0.728704	0.768541	85.280000	76.020000	208.529029	4.061532	
0.100000	0.733383	1.126469	85.210000	69.650000	195.811068	3.672347	
0.100000	0.721521	0.767602	85.670000	75.400000	197.180703	3.492539	
0.100000	0.713161	0.628026	85.600000	79.100000	201.296714	4.527177	
0.100000	0.716345	0.643732	85.674000	79.600000	207.522473	3.902673	
0.100000	0.716068	0.582698	85.758000	80.820000	203.417784	3.945718	
0.100000	0.716422	0.770134	85.568000	75.860000	201.523253	3.966752	
0.100000	0.713485	0.816481	85.580000	75.420000	198.126785	3.874905	
0.100000	0.704957	0.911562	86.008000	73.610000	200.285072	4.628946	
0.100000	0.714603	0.719706	85.716000	76.980000	207.817906	4.147801	
0.100000	0.712821	0.473587	85.780000	84.090000	197.898038	3.975427	
0.100000	0.707588	0.955941	85.792000	71.740000	205.538326	4.268978	
0.100000	0.703160	0.600455	86.132000	80.610000	194.326136	3.840435	
0.100000	0.693379	0.877347	86.450000	73.930000	202.772802	4.840739	
0.100000	0.703109	0.655860	86.086000	78.240000	204.340142	3.846254	
0.100000	0.702986	0.527345	85.844000	82.750000	197.614710	3.952928	
0.100000	0.694980	0.670280	86.340000	77.890000	206.347704	3.826483	
0.100000	0.703871	0.992777	86.010000	68.470000	194.877279	3.825258	
0.100000	0.690789	0.751126	86.282000	76.760000	201.485755	4.303478	
0.100000	0.702396	1.005846	85.840000	68.570000	205.992506	3.777236	
0.100000	0.694925	0.662732	86.034000	78.730000	198.363599	3.715304	
0.100000	0.691818	0.716578	86.270000	77.440000	199.382873	3.512551	
0.100000	0.695130	0.694710	86.074000	77.170000	206.629603	3.288089	
0.100000	0.687437	0.725400	86.314000	76.150000	203.755176	4.127536	
0.100000	0.687044	0.750290	86.346000	77.500000	198.208014	3.552723	
0.100000	0.692010	1.012911	86.404000	69.240000	208.627527	3.638925	
0.100000	0.685191	0.629313	86.384000	79.380000	198.905523	3.749480	
0.100000	0.687644	1.498103	86.228000	64.450000	198.862635	3.837080	
0.100000	0.680562	0.771146	86.512000	74.860000	202.978462	4.118569	
0.100000	0.684552	0.586347	86.402000	80.920000	197.145392	3.591259	
0.100000	0.684222	0.887346	86.440000	72.400000	206.446079	3.463092	
0.100000	0.685826	0.744941	86.222000	75.850000	196.092714	3.777594	
0.100000	0.682368	0.779687	86.444000	75.670000	197.335314	3.552534	
0.100000	0.670477	0.627558	86.658000	79.470000	204.263585	4.053381	
0.100000	0.680464	0.525304	86.456000	82.250000	196.772583	3.655740	
0.100000	0.678346	1.025856	86.364000	70.030000	205.235497	3.761453	
0.100000	0.676561	0.631709	86.600000	78.990000	200.033816	3.840705	
0.100000	0.669988	0.842984	86.752000	73.910000	196.685413	3.563992	
0.100000	0.669280	0.602153	86.686000	80.660000	193.692464	4.475490	
0.100000	0.668553	0.785527	86.650000	75.590000	204.999091	3.569160	
0.100000	0.672900	0.605058	86.500000	80.010000	192.412221	3.456847	
0.100000	0.676218	1.053891	86.548000	68.730000	199.197380	3.371491	
0.100000	0.674135	0.712252	86.520000	77.330000	193.807212	3.540802	
0.100000	0.660474	0.725640	86.850000	76.410000	187.665918	3.914363	
0.100000	0.676292	0.604288	86.392000	79.920000	199.470410	3.354950	
0.100000	0.674144	0.552419	86.570000	81.560000	191.429408	3.364580	
0.100000	0.666447	0.862302	86.804000	74.710000	190.440591	3.381205	
0.100000	0.665242	0.637069	86.704000	79.240000	190.895125	3.256276	
0.100000	0.663589	0.622632	86.684000	79.270000	202.272378	3.848468	
0.100000	0.663793	0.515839	86.774000	82.330000	198.993542	3.215950	
0.100000	0.673633	0.698660	86.444000	77.880000	190.997133	3.435891	
0.100000	0.670948	0.906774	86.500000	72.670000	190.921960	3.153933	
0.100000	0.665790	0.582998	86.786000	81.240000	184.999143	3.358629	
0.100000	0.655927	0.728122	86.988000	77.250000	209.163893	4.469786	
0.100000	0.667311	0.596092	86.654000	81.460000	198.744537	3.499228	
