LearningRate,TrainLoss,ValidLoss,TrainAcc.,ValidAcc.,TrainEpochTime(s),TestEpochTime(s)
0.100000,2.513024,1.596651,31.478000,42.000000,208.933095,2.172755
0.100000,1.907646,1.236798,52.422000,56.960000,208.767389,2.072141
0.100000,1.554557,1.277612,63.392000,54.380000,204.032762,1.686337
0.100000,1.325397,1.867998,70.058000,50.310000,198.050043,2.114038
0.100000,1.170443,1.001044,74.048000,67.200000,208.600456,2.032480
0.100000,1.056071,0.872193,76.932000,70.990000,208.258563,2.404098
0.100000,0.986862,0.949569,78.470000,69.570000,208.044152,2.346054
0.100000,0.938207,0.642587,79.580000,77.940000,194.478643,2.329814
0.100000,0.897409,1.248056,80.428000,64.930000,207.788668,2.267433
0.100000,0.879902,0.843030,81.022000,71.770000,207.68705,2.211571
0.100000,0.845797,0.691111,81.808000,76.610000,207.982381,2.375635
0.100000,0.840324,0.698784,81.998000,75.590000,192.885725,2.267651
0.100000,0.829303,0.670550,82.320000,77.780000,208.003051,2.258291
0.100000,0.818017,0.726346,82.600000,75.470000,207.965672,2.265301
0.100000,0.817563,0.962617,82.970000,69.950000,208.108238,2.391364
0.100000,0.801586,1.205331,83.340000,65.900000,202.463461,1.690866
0.100000,0.804984,0.676665,83.486000,78.860000,198.589469,2.575274
0.100000,0.796508,0.790692,83.580000,75.280000,207.741686,2.611509
0.100000,0.798610,0.807842,83.446000,72.880000,207.431539,2.602386
0.100000,0.787070,0.869502,83.882000,74.050000,207.365501,2.578517
0.100000,0.777536,0.720900,84.280000,76.120000,192.659163,2.183465
0.100000,0.786079,1.093477,84.242000,67.050000,210.297091,2.282840
0.100000,0.791177,0.711951,83.772000,77.140000,210.075363,2.141325
0.100000,0.772046,0.916239,84.464000,71.930000,210.076567,2.112800
0.100000,0.776064,0.741725,84.382000,75.960000,209.776263,1.990903
0.100000,0.762237,0.768927,84.840000,76.100000,206.838145,2.249363
0.100000,0.773274,0.791828,84.490000,75.090000,207.391337,2.094157
0.100000,0.759844,0.757078,85.044000,77.980000,207.27879,2.085396
0.100000,0.764689,0.633433,84.622000,79.170000,207.251079,2.127776
0.100000,0.753921,0.805916,85.026000,75.010000,203.001761,1.626505
0.100000,0.745977,0.572233,85.172000,80.690000,206.522741,2.265308
0.100000,0.753960,0.653483,84.988000,78.730000,206.483602,2.208889
0.100000,0.747269,1.117140,85.158000,69.180000,206.507882,2.360692
0.100000,0.748178,0.697734,85.124000,77.260000,206.677664,2.213343
0.100000,0.742046,0.632924,85.176000,79.870000,192.156943,2.137976
0.100000,0.740871,0.600354,85.252000,80.260000,208.569461,2.508113
0.100000,0.734659,1.160056,85.598000,67.170000,207.711166,2.264700
0.100000,0.733581,0.814781,85.638000,73.740000,207.425118,2.110404
0.100000,0.734471,0.670580,85.474000,79.110000,193.232559,2.224196
0.100000,0.736642,0.543726,85.328000,81.310000,207.893381,2.243422
0.100000,0.720074,0.631849,85.840000,78.620000,208.619498,2.507677
0.100000,0.733655,0.713440,85.496000,77.170000,204.408145,1.766726
0.100000,0.734966,0.681070,85.592000,78.010000,196.068072,2.108078
0.100000,0.727001,0.722102,85.914000,76.010000,207.605263,2.071720
0.100000,0.736317,0.730828,85.514000,76.130000,206.804113,2.086657
0.100000,0.711891,0.787175,86.218000,73.860000,197.819905,1.847329
0.100000,0.716278,0.673649,86.114000,78.890000,200.668935,2.131552
0.100000,0.714333,0.734248,85.984000,76.480000,204.57346,2.151931
0.100000,0.725065,0.890454,85.600000,71.820000,206.171146,2.175914
0.100000,0.722855,0.795182,85.834000,75.290000,205.92312,2.184530
0.100000,0.706438,0.589701,86.198000,79.370000,198.335601,2.333299
0.100000,0.717181,0.688457,85.808000,77.610000,209.75632,2.266093
0.100000,0.714647,0.739926,85.922000,75.790000,209.609865,2.100477
0.100000,0.719809,1.098880,85.736000,66.940000,209.963284,2.056163
0.100000,0.712858,0.607857,86.190000,79.980000,193.90004,1.730755
0.100000,0.707717,0.852303,86.208000,74.390000,207.683382,2.389977
0.100000,0.717132,1.145172,85.858000,67.430000,206.437611,2.124822
0.100000,0.715804,0.541811,85.806000,82.040000,206.519813,2.099495
0.100000,0.708551,0.668935,86.166000,78.520000,190.276674,1.802813
0.100000,0.708207,0.562292,85.972000,81.240000,205.391497,2.007540
0.100000,0.704666,0.772973,86.122000,76.650000,201.142845,2.268368
0.100000,0.706100,0.680960,86.122000,76.750000,199.478013,1.999596
0.100000,0.701701,0.583707,86.410000,80.390000,193.410844,1.671588
0.100000,0.701694,0.767074,86.266000,75.950000,190.553641,1.954970
0.100000,0.710384,0.527359,86.008000,82.410000,199.767966,1.897292
0.100000,0.692042,0.606066,86.470000,79.790000,201.030347,2.223372
0.100000,0.710080,0.603725,85.802000,79.770000,198.743911,1.845663
0.100000,0.704001,0.709343,86.226000,76.640000,186.081804,1.958472
0.100000,0.704329,0.643555,86.082000,79.000000,199.748122,1.971020
0.100000,0.695664,0.515190,86.406000,82.460000,200.038322,1.866886
0.100000,0.693545,0.613182,86.508000,79.780000,200.942985,2.306750
0.100000,0.702245,0.634625,86.052000,79.620000,187.760174,2.075053
0.100000,0.698965,0.608213,86.382000,80.390000,200.006122,2.014736
0.100000,0.695929,0.749688,86.346000,77.210000,200.001729,1.972154
0.100000,0.698557,0.692545,86.328000,77.940000,200.039434,1.932887
0.100000,0.690676,0.761671,86.516000,76.610000,186.210137,2.288995
0.100000,0.696384,0.617830,86.406000,79.380000,199.835568,1.935465
0.100000,0.694309,0.696326,86.434000,77.760000,199.823912,1.935328
0.100000,0.698062,0.788804,86.306000,74.530000,199.736905,1.999721
0.100000,0.691047,0.654301,86.442000,78.400000,199.741128,1.962811
0.100000,0.682752,0.899335,86.662000,71.910000,197.667907,2.240172
0.100000,0.693985,0.900423,86.304000,72.380000,200.816538,2.220162
0.100000,0.687385,0.743550,86.576000,75.360000,200.763037,2.098186
0.100000,0.696899,0.522984,86.182000,82.720000,200.620552,2.044878
