LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.111328	2.315223	1.527924	36.134000	45.780000	159.980162	3.466132	
0.111328	1.739587	1.292330	55.968001	54.610000	184.210392	3.535738	
0.111328	1.409668	1.212772	66.844001	61.170000	182.906342	3.673573	
0.111328	1.213566	0.801326	72.592000	72.090000	178.150317	3.426760	
0.111328	1.085037	0.868556	76.020000	72.140000	179.256680	3.292786	
0.113672	0.973317	1.187557	77.552002	64.880000	168.941188	3.650674	
0.113672	0.919646	1.110521	78.854002	65.970000	179.282754	3.455881	
0.113672	0.878765	0.737105	79.872002	74.840000	180.093988	3.478153	
0.113672	0.835790	0.763879	81.270002	73.680000	171.583560	3.385239	
0.113672	0.820076	0.592660	81.280002	80.100000	171.904282	2.977089	
0.116797	0.806670	0.845360	81.071999	73.330000	163.553014	3.952886	
0.116797	0.787371	1.333119	81.673999	62.530000	174.994695	3.470713	
0.116797	0.773524	1.023723	82.323999	67.960000	175.068856	3.535295	
0.116797	0.767215	0.876153	82.487999	71.470000	167.242097	3.375758	
0.116797	0.760153	1.144945	82.604000	65.100000	166.217061	3.271111	
0.117188	0.735846	1.137711	83.420003	67.110000	172.699481	3.383132	
0.117188	0.740044	0.763894	83.344003	75.800000	171.084576	3.384256	
0.117188	0.732879	0.750217	83.448003	74.900000	172.394334	3.387258	
0.117188	0.731932	0.785753	83.664003	74.120000	165.223863	3.343866	
0.117188	0.725597	0.795949	83.684003	74.870000	154.716036	3.365055	
0.117969	0.714196	1.073386	84.071999	68.810000	171.861134	3.845129	
0.117969	0.706000	0.888975	84.369999	72.660000	171.913142	3.330916	
0.117969	0.707280	0.636223	84.271999	79.230000	168.698184	3.126346	
0.117969	0.696618	0.865152	84.835999	73.520000	168.599196	3.430524	
0.117969	0.705469	0.731953	84.468000	78.010000	156.230227	3.459465	
0.117969	0.693030	0.836872	84.655999	73.830000	173.800239	3.934472	
0.117969	0.697106	0.574870	84.631999	80.630000	172.858217	3.559596	
0.117969	0.687669	0.692465	84.964000	78.470000	163.372710	3.644269	
0.117969	0.692187	0.586630	84.725999	80.590000	165.622450	3.084193	
0.117969	0.690475	0.667394	84.779999	78.050000	162.143186	3.342395	
0.117969	0.674208	0.859428	85.293999	74.010000	173.593556	3.853978	
0.117969	0.673985	0.569594	85.469999	81.430000	169.961566	3.238259	
0.117969	0.684487	0.652317	84.984000	78.000000	165.029840	3.383030	
0.117969	0.674438	0.593802	85.349999	80.420000	156.003848	3.341905	
0.117969	0.674653	1.269586	85.436000	66.270000	170.128856	3.297132	
0.118359	0.664618	1.472728	85.730000	59.180000	172.572702	3.774402	
0.118359	0.922752	0.707474	78.174000	77.670000	163.465527	3.464746	
0.118359	0.735372	1.238213	84.172000	63.780000	161.645576	3.580305	
0.118359	0.847829	1.066337	80.360000	67.070000	163.338422	3.369256	
0.118359	0.766627	0.887330	83.306000	73.020000	168.769793	3.327633	
0.118359	0.682756	2.224789	85.288000	47.530000	173.688376	3.793295	
0.118359	0.910876	0.809085	78.718000	74.160000	156.602399	3.284036	
0.118359	0.901536	0.612494	78.924000	79.380000	166.826958	3.155246	
0.118359	0.753032	0.807073	83.416000	74.750000	166.273518	3.354058	
0.118359	0.737956	1.783148	83.604000	56.230000	163.404855	3.112426	
0.119531	0.672883	0.935514	85.204003	71.070000	164.940498	3.904346	
0.119531	0.669224	0.544550	85.102003	81.230000	161.424514	3.432303	
0.119531	0.659980	0.829446	85.348003	72.780000	161.287165	3.413673	
0.119531	0.667087	0.735845	85.052003	75.880000	168.664516	3.410204	
0.119531	0.657299	0.995523	85.364003	70.440000	160.884694	3.365220	
0.120313	0.651705	0.600320	85.409999	80.680000	144.386235	3.741648	
0.120313	0.658415	0.719534	85.265999	76.740000	159.351552	3.242757	
