LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.111328	2.325902	1.520284	35.002000	45.010000	173.585315	3.774197	
0.111328	1.758601	1.411633	55.362000	52.730000	183.450809	3.567893	
0.111328	1.431756	1.476394	66.072000	54.800000	183.316122	3.585791	
0.111328	1.245658	1.032832	71.304001	65.170000	175.215698	3.663481	
0.111328	1.105015	1.072539	75.152000	65.940000	175.647916	3.566724	
0.114844	0.983308	1.284594	76.747999	60.320000	175.670584	3.860572	
0.114844	0.947061	1.428547	77.683999	57.520000	179.677015	3.562391	
0.114844	0.951031	0.812791	77.477999	72.250000	179.769450	3.539663	
0.114844	0.853586	1.434561	80.267999	54.910000	170.029044	3.538810	
0.114844	0.845768	0.805707	80.303999	74.150000	170.185610	3.464853	
0.117578	0.802688	1.066565	81.108001	67.380000	173.900949	3.762296	
0.117578	0.807721	0.708052	80.904001	76.380000	172.885041	3.402604	
0.117578	0.782810	0.855923	81.790001	73.350000	173.739498	3.409226	
0.117578	0.772218	1.055722	82.174001	69.050000	165.545733	3.327024	
0.117578	0.757891	0.776199	82.790001	73.660000	162.943316	2.973409	
0.117578	0.738324	0.843437	83.178001	73.400000	174.614021	3.886699	
0.117578	0.752328	1.611866	82.928001	57.940000	171.795591	3.598865	
0.117578	0.757522	0.665221	82.688001	77.350000	172.705796	3.464484	
0.117578	0.727626	0.935948	83.680001	70.370000	164.793420	3.419789	
0.117578	0.732027	0.800154	83.484001	73.720000	154.517150	3.266731	
0.118359	0.710546	5.291535	83.988000	29.590000	174.485948	3.942297	
0.118359	0.945335	1.020418	77.462000	68.580000	171.754740	3.354659	
0.118359	0.820347	1.253191	81.462000	65.460000	164.727378	3.237042	
0.118359	0.860465	2.047221	79.990000	53.330000	170.804299	3.422039	
0.118359	0.934130	1.228162	78.190000	64.940000	155.192056	3.329552	
0.119141	0.740597	0.670494	83.901999	77.210000	172.896450	4.196434	
0.119141	0.714562	0.614435	83.855999	79.170000	168.920156	3.425965	
0.119141	0.705739	0.574477	84.143999	80.320000	161.705492	3.716199	
0.119141	0.698675	0.864724	84.193999	74.160000	164.211089	3.182736	
0.119141	0.691181	0.652044	84.419999	79.180000	160.133255	3.345372	
0.120313	0.681349	0.623816	84.719999	79.130000	170.579974	3.833082	
0.120313	0.690479	1.297350	84.297999	66.450000	168.474060	3.224174	
0.120313	0.683500	0.737220	84.517999	76.200000	160.465616	3.449419	
0.120313	0.683290	0.768555	84.603999	74.790000	152.821351	3.365474	
0.120313	0.674536	0.703914	84.827999	77.210000	168.637033	3.342611	
0.120313	0.663015	0.922050	85.098000	72.390000	166.905163	3.917288	
0.120313	0.682758	0.609305	84.571999	79.920000	160.341982	3.372016	
0.120313	0.664549	0.914736	85.235999	73.490000	159.950783	3.449496	
0.120313	0.669495	0.777968	85.055999	76.530000	160.500063	3.368741	
0.120313	0.669695	0.740621	85.073999	75.340000	166.772063	3.380935	
0.120703	0.657080	0.686322	85.407996	77.250000	162.554046	3.978663	
0.120703	0.657417	0.867445	85.255996	75.560000	158.786814	3.344736	
0.120703	0.662783	0.754071	84.995996	74.970000	158.368703	3.458788	
0.120703	0.655539	0.805541	85.457996	75.260000	158.442631	3.418303	
0.120703	0.662317	0.569409	85.239996	81.170000	167.289863	3.830015	
0.121094	0.648985	0.953789	85.627997	71.950000	152.282916	3.844284	
0.121094	0.660525	0.709870	85.183997	77.390000	141.719998	3.379989	
0.121094	0.651350	1.083609	85.463997	69.370000	157.151337	3.240355	
0.121094	0.654496	0.558748	85.563997	81.060000	149.658496	3.188581	
0.121094	0.658317	0.569478	85.325998	80.830000	155.927266	3.153479	
0.121094	0.637302	0.872730	86.089997	74.670000	153.057578	3.716682	
0.121094	0.656408	0.817152	85.247997	74.150000	140.307230	3.168949	
0.121094	0.654548	0.846852	85.393997	75.410000	157.453748	3.122159	
0.121094	0.648964	0.727995	85.551997	77.650000	149.426496	3.213564	
0.121094	0.649142	0.738039	85.603997	77.050000	157.155195	3.321599	
0.121094	0.643868	0.769021	85.667997	76.480000	151.646491	3.885970	
0.121094	0.647223	0.692292	85.691997	77.310000	140.349153	3.185307	
0.121094	0.652029	0.881556	85.219997	72.900000	157.249026	3.239934	
0.121094	0.645654	0.844934	85.725997	73.040000	149.004651	3.208168	
0.121094	0.647464	1.068866	85.587997	69.080000	156.671144	3.222490	
0.121094	0.635684	0.627993	86.133997	78.640000	141.420373	3.155280	
0.121094	0.640807	0.828710	85.837997	74.040000	129.766340	2.977462	
0.121094	0.646837	0.603705	85.649997	79.930000	147.484945	2.989104	
0.121094	0.643442	0.618669	85.871997	78.840000	140.439344	3.072403	
0.121094	0.647710	1.091388	85.465997	68.620000	147.487832	2.968966	
0.121094	0.633043	0.883632	85.901997	72.630000	146.860811	2.906098	
0.121094	0.642556	0.898730	85.723997	72.290000	123.281881	3.040378	
0.121094	0.642658	0.653137	85.813997	78.020000	148.284206	3.014220	
0.121094	0.637195	0.711213	85.853997	77.970000	143.589762	2.765802	
0.121094	0.635582	0.798536	85.913997	76.250000	144.056570	3.046141	
0.121484	0.633708	0.618158	85.853996	80.670000	149.311303	3.393903	
0.121484	0.635302	1.208487	85.729997	67.740000	105.433667	3.088661	
0.121484	0.638088	0.833987	85.703996	73.490000	146.455166	3.018942	
0.121484	0.634894	0.629017	86.155997	79.070000	144.884749	2.871928	
0.121484	0.633402	0.952911	86.007996	72.310000	141.899921	3.004434	
0.121484	0.628746	0.814228	86.145996	74.770000	150.033400	3.766236	
0.121484	0.630834	0.671699	86.293996	77.910000	125.581070	2.867134	
0.121484	0.636966	0.659967	85.941996	78.090000	145.424451	3.023170	
0.121484	0.632105	0.555296	86.173996	81.490000	146.411251	2.823574	
0.121484	0.633583	0.545523	86.131996	81.870000	139.669624	3.101114	
0.121484	0.625745	0.788886	86.239997	74.720000	146.869648	3.283637	
0.121484	0.628350	0.578666	86.337996	81.430000	135.109653	3.004760	
0.121484	0.634886	0.703122	85.965996	77.680000	139.416391	3.107209	
0.121484	0.636056	0.788218	85.835996	75.250000	146.061779	3.257860	
0.121484	0.628461	0.690477	86.111996	77.910000	138.870983	3.067754	
0.121484	0.619895	0.707535	86.461996	77.930000	142.654946	3.429804	
0.121484	0.630289	0.558426	86.139996	81.850000	139.750099	2.982194	
0.121484	0.623081	0.628790	86.363996	78.350000	138.154846	3.096341	
0.121484	0.623859	0.838053	86.331996	75.160000	147.297755	3.322515	
0.121484	0.625287	0.631575	86.353996	79.680000	138.929352	2.995488	
0.121484	0.625771	0.869028	86.117996	72.570000	132.649161	3.253491	
0.121484	0.627055	0.989752	86.173996	70.980000	129.422804	2.825098	
0.012148	0.504087	0.307900	90.417996	89.590000	137.697768	3.110812	
0.012148	0.449905	0.301168	92.215996	89.700000	129.722772	2.821172	
0.012148	0.429788	0.287418	92.681995	90.000000	129.450253	2.887209	
0.121484	0.621342	0.862713	86.007996	74.160000	133.094539	3.237134	
0.121484	0.626364	1.004491	86.123996	70.160000	137.180022	2.753771	
0.121484	0.626477	0.753098	86.195996	75.230000	130.161279	2.848395	
0.121484	0.617597	0.549595	86.567996	81.760000	132.095247	2.700195	
0.121484	0.626570	0.688335	86.117996	76.910000	134.051429	2.769828	
0.121484	0.620374	0.688615	86.339996	77.790000	132.131227	3.300389	
0.121484	0.628626	1.107166	86.237996	68.950000	136.781448	3.081082	
0.121484	0.627341	0.618385	86.135996	79.860000	129.591951	3.151149	
0.121484	0.625466	0.785453	86.331996	76.190000	137.084331	2.854409	
0.121484	0.618917	0.774688	86.429996	75.440000	129.335603	2.858845	
0.121484	0.624821	1.004774	86.307996	73.050000	125.143727	3.416493	
0.121484	0.629750	0.708070	86.157996	77.530000	137.685824	3.032961	
0.121484	0.623958	0.973261	86.255996	72.430000	130.840455	2.792040	
0.121484	0.620919	0.688418	86.303996	78.580000	136.261536	2.978559	
0.121484	0.621859	0.630806	86.359996	79.550000	136.499720	2.871704	
0.121484	0.611472	0.791562	86.833996	75.680000	120.370979	3.643877	
0.121484	0.624005	0.569364	86.179996	81.770000	137.502554	3.037773	
0.121484	0.610925	0.677969	86.767996	78.380000	136.799255	3.209154	
0.121484	0.629054	0.894313	86.131996	72.220000	128.998755	3.026990	
0.121484	0.619435	0.539357	86.503996	81.450000	136.171833	2.959336	
0.121484	0.617451	0.680596	86.527997	78.600000	114.110719	2.768604	
0.121484	0.615407	0.876290	86.617996	72.780000	133.363330	3.003499	
0.121484	0.622298	0.715191	86.389996	76.380000	136.883820	2.807376	
0.121484	0.625422	0.759178	86.225996	76.600000	128.636244	2.851834	
0.121484	0.626176	0.786381	86.169996	76.220000	136.168986	2.945784	
0.121484	0.612800	0.607487	86.645997	80.020000	135.641902	3.105660	
0.121484	0.626642	0.524822	86.207997	82.490000	115.269858	2.789553	
0.121484	0.613493	0.648399	86.477996	79.120000	136.622857	2.824720	
0.121484	0.618506	0.651872	86.413996	78.090000	134.692298	2.591343	
0.121484	0.626921	0.679964	86.175996	79.010000	131.137494	2.985943	
0.121484	0.611592	0.610230	86.597996	79.620000	136.640192	3.108844	
0.121484	0.618241	0.686681	86.489996	78.490000	127.036793	3.213276	
0.121484	0.618287	0.668988	86.447996	78.330000	129.268142	2.976811	
0.121484	0.623353	0.598215	86.257996	80.610000	136.334915	2.852076	
0.121484	0.614724	0.674208	86.543996	78.700000	129.468427	2.920753	
0.121484	0.612518	0.706418	86.629996	77.410000	138.431694	3.065160	
0.121484	0.624153	0.700207	86.269997	78.430000	131.538399	2.942843	
0.121484	0.622408	0.524923	86.457997	82.620000	124.765312	2.747047	
0.121484	0.619518	1.020605	86.489996	69.550000	134.916077	2.936038	
0.121484	0.619791	0.728223	86.355996	77.580000	129.671405	2.824332	
0.121484	0.611959	0.958257	86.563996	72.450000	138.205705	3.177766	
0.121484	0.623634	0.547318	86.261996	81.410000	130.135796	2.832870	
0.121484	0.611657	0.619498	86.631996	79.840000	128.083851	2.810852	
0.121484	0.623747	0.458113	86.329996	84.430000	129.764435	2.901610	
0.121484	0.625218	0.697131	86.023996	76.780000	135.439959	2.615646	
