LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.111328	2.493147	1.531044	31.378000	42.930000	181.661645	3.565386	
0.111328	1.906680	1.378105	51.824000	53.890000	184.968664	3.475595	
0.111328	1.565089	1.014707	62.832000	64.040000	183.719713	3.506411	
0.111328	1.331274	0.998466	69.580001	65.580000	176.503145	3.439152	
0.111328	1.157611	0.889840	74.238001	70.060000	170.726607	3.134357	
0.115234	1.023711	1.196344	75.804001	63.300000	179.044727	3.695148	
0.115234	0.947275	1.020575	78.250002	67.290000	178.832690	3.450353	
0.115234	0.898995	0.735741	79.378002	75.330000	178.587120	3.382433	
0.115234	0.854154	0.835064	80.672002	72.200000	170.271075	3.378171	
0.115234	0.839048	0.769312	81.118002	73.730000	165.484820	3.123634	
0.118359	0.818890	1.402616	80.730000	62.160000	165.359769	3.602772	
0.118359	0.858413	0.936166	79.768000	69.760000	161.886111	3.273524	
0.118359	0.838186	1.568941	80.748000	56.640000	161.703162	3.241024	
0.118359	0.893439	1.016851	79.260000	66.090000	155.143248	3.274227	
0.118359	0.933811	1.258310	78.114000	59.910000	154.862493	3.226113	
0.118750	0.784185	0.654237	82.721999	78.440000	150.823407	3.736821	
0.118750	0.773665	0.820452	82.705999	73.490000	160.471079	3.299747	
0.118750	0.759776	0.956638	83.179999	69.900000	160.719452	3.234910	
0.118750	0.750743	0.848344	83.209999	72.240000	152.587077	3.213241	
0.118750	0.754984	0.788351	82.929999	73.780000	159.605943	3.102079	
0.119141	0.734437	0.819217	83.587999	74.470000	143.180858	3.717793	
0.119141	0.738060	0.926351	83.633999	71.700000	159.165412	3.219684	
0.119141	0.730792	0.651048	83.761999	78.570000	158.872578	3.223028	
0.119141	0.723316	0.655722	83.981999	77.960000	150.623649	3.216884	
0.119141	0.724203	1.237344	84.103999	68.030000	159.257814	3.236432	
0.119531	0.717828	0.882823	84.276003	70.830000	138.852575	3.371926	
0.119531	0.719179	0.733732	84.124003	76.630000	159.384864	3.248819	
0.119531	0.723817	0.811193	83.962003	74.570000	160.074684	3.230432	
0.119531	0.716057	0.976571	84.328003	69.900000	151.617632	3.370710	
0.119531	0.714243	0.730873	84.540003	76.930000	158.625573	3.350535	
0.119531	0.704038	0.874567	84.888003	73.550000	146.239971	3.337264	
0.119531	0.698232	0.920061	84.946003	70.390000	129.159376	2.951401	
0.119531	0.701701	1.122560	84.736003	66.050000	149.553921	2.972379	
0.119531	0.707137	0.777127	84.910003	73.510000	142.515882	2.820773	
0.119531	0.701024	0.675040	84.790003	77.860000	148.816681	3.015347	
0.119531	0.693545	0.770582	85.158003	76.220000	143.822873	3.549999	
0.119531	0.707769	0.607172	84.640003	79.790000	145.096578	2.797714	
0.119531	0.693350	0.803407	85.080003	74.530000	137.649173	2.941157	
0.119531	0.695955	0.557451	85.212003	81.480000	149.450021	2.966349	
0.119531	0.693965	0.647440	85.286003	78.880000	142.280946	3.055128	
0.119922	0.683166	0.569659	85.375997	81.020000	144.220241	3.401950	
0.119922	0.688887	0.627940	85.375997	79.680000	147.743933	3.158415	
0.119922	0.689755	1.358768	85.339997	62.300000	133.050264	2.882095	
0.119922	0.693153	0.694027	85.213997	78.380000	148.316247	3.057817	
0.119922	0.688904	0.818146	85.325996	73.000000	140.916635	3.014982	
0.119922	0.676083	0.978771	85.701997	71.100000	149.874309	3.379199	
0.119922	0.685737	0.594181	85.461997	80.010000	141.366123	2.996799	
0.119922	0.682797	0.955335	85.553997	70.880000	147.285000	3.199481	
0.119922	0.685291	0.727698	85.431997	77.600000	133.370820	2.971818	
0.119922	0.682439	0.879696	85.463997	74.120000	140.559150	3.334296	
0.119922	0.675185	0.684122	85.705997	78.130000	151.514256	3.510286	
0.119922	0.687781	0.847668	85.315997	73.920000	140.113542	3.145487	
0.119922	0.680471	0.664951	85.633997	79.100000	149.381083	3.057747	
0.119922	0.675663	0.588073	85.767997	81.070000	141.063313	2.939267	
0.119922	0.676545	0.617408	85.683997	78.890000	140.665523	2.970430	
0.119922	0.670522	0.687925	85.987997	77.250000	151.821798	3.547904	
0.119922	0.674042	0.827130	85.715997	74.760000	140.957783	3.006120	
0.119922	0.677284	0.823019	85.693997	74.240000	148.989224	3.309508	
0.119922	0.669678	0.819877	85.857997	74.050000	141.645432	2.924270	
0.119922	0.683703	0.492493	85.461997	83.200000	141.395951	3.143681	
0.119922	0.665515	0.628425	86.017997	79.100000	148.113323	3.446465	
0.119922	0.674460	0.645037	85.839997	78.610000	147.584731	2.812225	
0.119922	0.663830	0.844481	86.029997	75.510000	144.173675	3.009557	
0.119922	0.679539	0.782139	85.519997	74.920000	146.067679	2.804590	
0.119922	0.676990	0.577016	85.697997	81.230000	136.752323	3.295955	
0.120313	0.660985	0.624000	86.149999	80.120000	149.980209	3.501876	
0.120313	0.668213	1.164199	85.871999	68.670000	148.405752	2.954668	
0.120313	0.675278	0.688904	85.817999	78.210000	141.184746	3.039066	
0.120313	0.667624	0.727055	86.112000	77.020000	143.231686	2.789328	
0.120313	0.669592	1.008644	85.957999	70.140000	146.035180	2.853433	
0.120313	0.662404	0.628033	86.162000	79.600000	151.056926	3.778268	
0.120313	0.671804	0.871392	85.913999	74.320000	148.850337	3.175026	
0.120313	0.669891	0.660845	85.921999	77.170000	140.552637	3.262493	
0.120313	0.668591	0.740611	85.971999	77.110000	141.230714	2.999998	
0.120313	0.670565	0.876526	85.843999	72.220000	148.909276	2.954773	
0.120313	0.661276	0.936860	86.147999	71.530000	140.599787	3.371311	
0.120313	0.660968	0.884739	86.206000	74.090000	139.329221	2.875426	
0.120313	0.667080	0.719291	86.111999	76.240000	130.656896	2.955462	
0.120313	0.666421	0.886881	85.901999	73.110000	131.992682	2.859777	
0.120313	0.672579	0.889374	85.907999	74.620000	138.238943	2.892136	
