LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.710156	1.425311	35.886000	46.380000	19.458496	1.116866	
0.100000	1.184471	1.347591	57.104000	56.260000	19.380714	1.090201	
0.100000	0.919202	1.124067	67.270000	64.430000	19.362865	1.087206	
0.100000	0.771030	1.149889	73.140000	62.580000	19.427905	1.093748	
0.100000	0.674111	0.764182	76.646000	73.760000	19.430291	1.103767	
0.100000	0.614461	0.746222	78.722000	74.900000	19.830627	1.108953	
0.100000	0.576169	0.767207	79.994000	75.480000	19.673395	1.126503	
0.100000	0.539899	0.940543	81.398000	68.990000	19.990259	1.132296	
0.100000	0.512866	0.635858	82.288000	78.620000	19.784633	1.102791	
0.100000	0.498642	0.974535	82.922000	68.030000	19.730160	1.121373	
0.100000	0.468003	0.666810	83.714000	77.910000	19.810558	1.096944	
0.100000	0.457683	0.695144	84.322000	77.490000	19.773194	1.127088	
0.100000	0.444076	0.741890	84.550000	75.180000	19.730280	1.134322	
0.100000	0.433304	0.692726	85.054000	78.270000	19.485970	1.128280	
0.100000	0.430347	0.695460	85.184000	77.850000	19.765099	1.117678	
0.100000	0.409571	0.629714	85.852000	78.960000	19.851715	1.120507	
0.100000	0.407307	0.516853	85.908000	82.520000	19.506448	1.225839	
0.100000	0.395216	0.634617	86.290000	79.660000	19.537638	1.095423	
0.100000	0.391785	0.625907	86.604000	80.230000	19.714205	1.115472	
0.100000	0.393421	1.152091	86.372000	65.400000	19.705759	1.108244	
0.100000	0.374710	0.624162	87.094000	78.630000	19.729186	1.117712	
0.100000	0.375770	0.781299	86.962000	76.940000	19.638751	1.094359	
0.100000	0.366687	0.625532	87.510000	79.710000	19.686518	1.128425	
0.100000	0.358074	0.746247	87.700000	77.810000	19.617051	1.244674	
0.100000	0.365777	0.848682	87.380000	74.920000	19.745616	1.102882	
0.100000	0.345932	0.591461	87.950000	80.590000	19.439140	1.119303	
0.100000	0.351902	0.661454	87.894000	79.840000	19.352580	1.116609	
0.100000	0.344033	0.607896	88.084000	80.270000	19.474433	1.112652	
0.100000	0.341650	0.681482	88.232000	79.220000	19.646893	1.115547	
0.100000	0.343635	0.602014	88.060000	80.490000	19.695120	1.093238	
0.100000	0.325163	0.508435	88.798000	83.190000	19.345430	1.100878	
0.100000	0.334553	0.504999	88.320000	83.250000	19.381666	1.100044	
0.100000	0.329863	0.559412	88.606000	81.570000	19.344761	1.128532	
0.100000	0.322548	0.672294	88.866000	80.030000	19.422016	1.098850	
0.100000	0.330493	0.630621	88.704000	80.010000	19.475161	1.142219	
