LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.743627	1.818748	33.630000	37.320000	21.522405	1.162058	
0.100000	1.239666	1.487864	54.658000	51.390000	21.191429	1.339170	
0.100000	0.992100	1.078282	64.496000	62.400000	21.155505	1.349350	
0.100000	0.803326	0.865521	71.842000	70.450000	21.119647	1.261565	
0.100000	0.690918	1.334571	75.832000	58.220000	21.314485	1.105815	
0.100000	0.615310	0.718393	78.898000	75.620000	21.325428	1.148647	
0.100000	0.578395	0.967678	79.992000	71.450000	21.381903	1.270122	
0.100000	0.542039	0.683141	81.450000	76.550000	21.321281	1.275137	
0.100000	0.516621	0.899586	82.126000	72.510000	21.365706	1.130878	
0.100000	0.492458	0.677076	83.128000	77.360000	21.369932	1.472250	
0.100000	0.456756	0.769070	84.364000	75.190000	21.721324	1.349086	
0.100000	0.463891	0.883002	83.976000	74.730000	22.109495	1.349316	
0.100000	0.448453	0.612732	84.744000	80.210000	21.479744	1.473052	
0.100000	0.435886	0.798543	84.992000	75.810000	21.383830	1.217239	
0.100000	0.418319	0.844406	85.802000	74.980000	21.658553	1.234599	
0.100000	0.401595	0.773781	86.322000	75.590000	21.231002	1.206506	
0.100000	0.402627	0.699625	86.312000	78.830000	21.446704	1.260339	
0.100000	0.399450	0.655236	86.264000	78.920000	20.972808	1.196149	
0.100000	0.388553	0.569730	86.754000	81.340000	20.723041	1.393923	
0.100000	0.378533	0.652984	86.998000	79.810000	20.737598	1.503734	
0.100000	0.366928	0.640405	87.368000	80.130000	21.517406	1.353245	
0.100000	0.367299	0.626980	87.384000	80.010000	21.570525	1.448533	
0.100000	0.362265	0.637589	87.638000	79.480000	21.490299	1.119731	
