LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.782636	1.730376	32.644000	37.150000	16.578485	0.981123	
0.100000	1.378480	1.517703	49.568000	50.260000	16.612152	1.031140	
0.100000	1.083915	1.444704	60.902000	54.400000	16.996860	1.003095	
0.100000	0.897891	1.126789	67.918000	61.780000	16.458229	0.919639	
0.100000	0.810932	1.095521	71.294000	63.980000	16.445996	0.965334	
0.100000	0.745502	1.020572	74.022000	65.850000	16.757091	0.957008	
0.100000	0.692930	0.944322	76.038000	69.280000	16.643574	0.969785	
0.100000	0.661868	0.797900	77.210000	72.120000	16.565781	0.960366	
0.100000	0.638022	0.956613	77.762000	68.610000	16.575606	0.976074	
0.100000	0.618559	0.904849	78.592000	71.690000	16.705459	0.958390	
0.100000	0.589174	0.733717	79.470000	74.790000	16.379268	0.953165	
0.100000	0.579076	0.702245	80.028000	76.670000	16.545951	0.934409	
0.100000	0.569879	0.941892	80.346000	70.170000	16.703484	0.992221	
0.100000	0.562272	0.795199	80.504000	74.180000	16.601146	0.930476	
0.100000	0.550027	0.894567	80.932000	71.820000	16.708480	1.100612	
0.100000	0.534855	0.755626	81.498000	75.450000	16.661679	0.962295	
0.100000	0.525074	0.861695	81.844000	73.620000	16.687800	0.958929	
0.100000	0.527404	0.636215	81.760000	78.040000	16.638464	0.953334	
0.100000	0.524642	0.763459	81.862000	75.680000	16.727510	0.937693	
0.100000	0.515468	0.763160	82.306000	75.680000	16.525225	0.994746	
0.100000	0.499438	0.666577	82.720000	77.030000	16.939371	0.990955	
0.100000	0.499318	0.734609	82.778000	76.470000	16.656683	0.955745	
0.100000	0.497762	0.903453	83.044000	72.380000	16.792653	0.987371	
0.100000	0.496740	0.754099	82.774000	74.410000	16.740226	1.091788	
0.100000	0.490487	0.889896	83.078000	71.870000	16.684255	0.956851	
0.100000	0.477713	0.702839	83.510000	76.740000	16.928648	0.967423	
0.100000	0.475904	0.842242	83.736000	73.030000	16.765747	0.960459	
0.100000	0.481380	0.903149	83.440000	72.370000	16.830445	0.980858	
