LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.688931	2.546994	37.108000	31.900000	19.568239	1.101508	
0.100000	1.166054	1.695176	57.718000	49.600000	19.505329	1.094428	
0.100000	0.909699	1.179664	67.894000	62.300000	19.634309	1.119597	
0.100000	0.773547	0.931321	72.928000	67.910000	19.316859	1.105595	
0.100000	0.676033	0.742959	76.474000	75.270000	19.549179	1.085617	
0.100000	0.613746	0.844747	78.588000	71.190000	19.573840	1.099073	
0.100000	0.580912	1.094125	80.010000	65.140000	19.490816	1.118541	
0.100000	0.543518	0.845124	81.224000	74.110000	19.491735	1.077799	
0.100000	0.520154	1.260784	82.044000	65.730000	19.566155	1.119605	
0.100000	0.498067	0.784695	82.968000	74.630000	19.501646	1.119300	
0.100000	0.468656	0.625471	83.892000	78.870000	19.450743	1.106294	
0.100000	0.464783	0.745398	84.110000	74.760000	19.335882	1.088940	
0.100000	0.456640	0.744670	84.302000	76.470000	19.536444	1.105698	
0.100000	0.439753	0.717839	84.944000	76.780000	19.447919	1.115503	
0.100000	0.430534	0.782863	85.202000	75.760000	19.530090	1.085820	
0.100000	0.411296	0.598808	85.792000	80.500000	19.378568	1.107750	
0.100000	0.414959	1.381495	85.754000	64.420000	19.379196	1.127717	
0.100000	0.406780	0.605389	85.970000	79.690000	19.538343	1.124609	
0.100000	0.397773	0.572306	86.402000	81.180000	19.421957	1.107278	
0.100000	0.392657	0.666816	86.502000	77.970000	19.424609	1.108103	
0.100000	0.376456	0.779242	87.038000	76.300000	19.795695	1.122006	
0.100000	0.389533	0.684306	86.694000	78.720000	19.977363	1.121468	
0.100000	0.373119	0.748894	87.198000	77.620000	19.883792	1.115036	
0.100000	0.373670	0.885245	87.106000	74.870000	19.550212	1.120573	
0.100000	0.365884	0.732854	87.408000	76.760000	19.738910	1.093270	
0.100000	0.355058	0.616589	87.630000	80.330000	19.574167	1.121521	
0.100000	0.361652	0.817353	87.530000	75.440000	19.458524	1.137463	
0.100000	0.358169	0.834823	87.578000	75.010000	19.369744	1.148975	
0.100000	0.347970	0.586753	87.882000	80.540000	19.638633	1.113012	
0.100000	0.345255	0.595609	88.118000	81.000000	19.700280	1.119015	
