LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.012500	2.460638	1.681453	32.708000	38.820000	25.280838	1.161875	
0.012500	2.028044	1.390110	49.424000	50.420000	25.305794	1.157842	
0.012500	1.800647	1.130646	58.168000	59.630000	25.408265	1.116965	
0.012500	1.652494	0.985091	63.652000	64.760000	26.007013	1.150385	
0.012500	1.540644	1.019048	67.348000	65.240000	25.585731	1.109323	
0.012500	1.444425	1.230594	70.506000	63.000000	25.499202	1.149532	
0.012500	1.372543	0.962399	72.884000	67.230000	25.310956	1.110068	
0.012500	1.309780	0.806917	74.888000	72.940000	26.320397	1.148771	
0.012500	1.251106	0.783201	76.738000	73.490000	25.791741	1.154593	
0.012500	1.201374	0.859378	78.182000	72.100000	25.606967	1.119491	
0.012500	1.146223	1.032968	79.802000	68.490000	25.908971	1.148019	
0.012500	1.110722	1.071576	80.688000	64.810000	26.174991	1.107567	
0.012500	1.077080	0.776553	81.576000	75.630000	26.237719	1.136783	
0.012500	1.046061	0.667275	82.324000	77.810000	26.318207	1.148809	
0.012500	1.012604	0.705683	83.028000	77.430000	26.014992	1.116465	
0.012500	0.979359	0.820576	83.936000	73.470000	25.301544	1.110958	
0.012500	0.957581	1.346340	84.442000	61.290000	25.476925	1.139952	
0.012500	0.935665	0.851894	85.112000	75.330000	25.581574	1.111024	
0.012500	0.908724	0.647359	85.780000	79.370000	25.542508	1.228917	
0.012500	0.885481	0.747428	86.194000	77.900000	25.736855	1.172588	
0.012500	0.863144	0.740431	86.540000	77.060000	26.256614	1.134392	
0.012500	0.848647	0.963889	86.952000	70.800000	25.820731	1.105128	
0.012500	0.829116	0.905530	87.380000	74.490000	25.775881	1.127167	
0.012500	0.814294	0.643121	87.628000	79.990000	25.884849	1.141759	
0.012500	0.794971	1.075389	87.860000	72.030000	25.867722	1.084527	
0.012500	0.768918	0.924386	88.448000	73.950000	25.390207	1.093552	
0.012500	0.762459	1.149359	88.642000	66.670000	25.448385	1.145545	
0.012500	0.743857	0.828992	88.900000	77.010000	25.594489	1.156647	
0.012500	0.736167	0.867395	89.210000	75.940000	25.698689	1.141864	
0.012500	0.716873	0.975493	89.378000	73.020000	26.074639	1.131015	
0.012500	0.689704	0.757196	89.396000	77.830000	25.538033	1.173212	
0.012500	0.683966	1.009360	89.434000	70.620000	25.457432	1.121965	
0.012500	0.671789	0.989327	89.638000	74.360000	25.496909	1.118203	
0.012500	0.657851	0.787588	89.972000	78.130000	25.553102	1.104844	
0.012500	0.652218	0.900766	89.886000	75.130000	26.011678	1.137721	
0.012500	0.636316	0.796910	89.368000	77.710000	25.133197	1.078003	
0.012500	0.627874	1.491656	89.454000	62.500000	25.165589	1.082087	
0.012500	0.615352	0.765798	89.770000	78.170000	25.356493	1.144792	
0.012500	0.603860	0.730575	89.906000	78.990000	25.845999	1.110092	
0.012500	0.601161	0.834845	89.994000	76.640000	25.306160	1.106041	
0.012500	0.605392	0.593366	89.476000	81.860000	25.434135	1.134304	
0.012500	0.585186	0.721581	89.942000	78.020000	25.326718	1.084332	
0.012500	0.574573	0.628606	90.248000	81.380000	25.804431	1.091151	
0.012500	0.566647	0.596553	90.292000	81.550000	26.111575	1.136146	
0.012500	0.560002	0.505424	90.628000	83.910000	25.645281	1.102696	
0.012500	0.574352	0.614198	89.750000	81.510000	25.270247	1.134317	
0.012500	0.552350	0.715224	90.164000	78.270000	25.410197	1.089138	
0.012500	0.540946	0.631009	90.524000	80.760000	25.945576	1.112166	
0.012500	0.540308	0.556657	90.498000	82.420000	25.435796	1.079168	
0.012500	0.533042	0.633524	90.716000	81.040000	25.362839	1.131144	
0.012500	0.545338	0.606808	89.910000	81.770000	25.356927	1.119800	
0.012500	0.531914	0.932725	90.332000	74.770000	25.581508	1.070104	
0.012500	0.526294	0.674704	90.402000	79.780000	25.339717	1.194878	
0.012500	0.513613	0.588067	90.778000	81.820000	25.524451	1.080725	
0.012500	0.515653	0.694547	90.596000	80.740000	25.346664	1.096967	
0.012500	0.513209	0.607912	90.544000	81.570000	25.706500	1.090158	
0.012500	0.514504	0.853043	90.484000	74.570000	25.956212	1.124630	
0.012500	0.504064	0.658177	90.862000	81.020000	25.289023	1.092003	
0.012500	0.496350	0.556787	91.214000	83.140000	25.497471	1.178883	
0.012500	0.490609	0.568589	91.254000	83.100000	25.650610	1.108448	
0.012500	0.488655	0.858507	91.218000	75.750000	25.535912	1.098598	
0.012500	0.490862	0.691116	91.110000	79.510000	25.166652	1.069467	
0.012500	0.486828	0.629854	91.238000	81.710000	25.098615	1.108721	
0.012500	0.476813	0.525550	91.632000	84.280000	25.095942	1.104518	
0.012500	0.479885	0.584757	91.338000	82.280000	25.195455	1.255146	
0.012500	0.472595	0.751462	91.704000	79.050000	25.481374	1.132643	
0.012500	0.475963	0.968848	91.494000	74.110000	25.204350	1.088900	
0.012500	0.467477	0.611907	91.662000	82.430000	25.201359	1.091872	
0.012500	0.463351	0.559985	91.854000	83.650000	25.128038	1.074635	
0.012500	0.468583	0.646069	91.626000	81.870000	25.556845	1.109049	
0.012500	0.465984	0.550628	91.692000	83.040000	25.076454	1.083782	
0.012500	0.466678	0.757382	91.672000	78.740000	24.978907	1.083957	
0.012500	0.453032	0.816357	92.122000	79.160000	25.014529	1.092162	
0.012500	0.450721	0.609419	92.162000	82.650000	25.198134	1.143530	
0.012500	0.453291	0.461972	92.022000	85.850000	25.445300	1.130042	
0.012500	0.454019	0.879914	92.064000	77.300000	25.057914	1.069020	
0.012500	0.444611	0.740058	92.372000	78.920000	24.931090	1.135624	
0.012500	0.439607	0.679324	92.472000	80.750000	25.217714	1.111945	
0.012500	0.443067	0.576781	92.262000	83.140000	25.316112	1.053036	
0.012500	0.444573	0.607844	92.310000	82.480000	25.543349	1.147754	
0.012500	0.446692	0.631216	91.946000	81.640000	24.673115	1.083040	
0.012500	0.439548	0.675681	92.360000	80.340000	24.811659	1.088518	
0.012500	0.435544	0.559571	92.404000	83.300000	24.818606	1.077318	
0.012500	0.434401	0.596700	92.536000	82.590000	25.549625	1.134537	
0.012500	0.431137	0.552862	92.532000	83.720000	24.919552	1.088252	
0.012500	0.429343	0.568873	92.468000	83.470000	25.034998	1.129873	
0.012500	0.428413	0.523891	92.486000	83.980000	24.987245	1.102014	
0.012500	0.433082	0.565453	92.336000	83.240000	25.237263	1.079895	
0.012500	0.426646	0.597542	92.626000	83.200000	25.590049	1.153984	
0.012500	0.430297	0.496314	92.478000	84.910000	25.116443	1.064778	
0.012500	0.426277	0.528445	92.466000	83.940000	24.985490	1.084759	
0.012500	0.424911	0.637397	92.478000	81.270000	24.792156	1.110377	
0.001250	0.360569	0.353581	94.952000	88.800000	25.037639	1.116971	
0.001250	0.330129	0.345982	96.206000	89.280000	24.909667	1.060977	
0.001250	0.315740	0.348973	96.702000	89.140000	24.882109	1.063684	
0.001250	0.310432	0.362574	96.798000	88.970000	24.713356	1.048933	
0.001250	0.284259	0.360634	97.750000	89.180000	24.516035	1.054756	
0.001250	0.303408	0.362103	96.914000	89.210000	25.211440	1.082036	
0.001250	0.296699	0.361917	97.232000	89.310000	24.675334	1.108452	
0.001250	0.289570	0.361871	97.482000	89.260000	24.822729	1.136789	
0.001250	0.287591	0.369031	97.696000	88.960000	24.946154	1.109239	
0.001250	0.270852	0.366250	98.380000	89.350000	24.999536	1.065645	
0.001250	0.285091	0.369966	97.704000	89.020000	25.116828	1.164534	
0.001250	0.280048	0.375738	97.882000	88.990000	25.102256	1.080899	
0.001250	0.275057	0.371715	98.052000	89.280000	24.902614	1.097898	
0.001250	0.277074	0.376823	97.918000	88.780000	24.816770	1.071569	
0.001250	0.260466	0.378719	98.508000	89.070000	25.311506	1.078539	
0.001250	0.271576	0.383917	97.942000	89.040000	25.054686	1.076321	
0.001250	0.267280	0.389749	98.202000	88.920000	24.905700	1.078640	
0.001250	0.262560	0.383748	98.362000	89.130000	24.842438	1.066445	
0.001250	0.291376	0.345805	98.046000	88.740000	24.245250	1.073569	
0.001250	0.273046	0.348375	98.656000	88.940000	23.905786	1.028702	
0.001250	0.279143	0.348828	98.298000	88.890000	23.821476	1.094348	
0.001250	0.273718	0.351087	98.390000	88.940000	23.783252	1.023863	
0.001250	0.269448	0.350315	98.508000	89.210000	23.867794	1.015060	
0.001250	0.265391	0.356475	98.394000	88.910000	24.057599	1.083418	
0.001250	0.255845	0.358453	98.790000	88.850000	23.774446	1.102537	
0.001250	0.262918	0.360972	98.414000	88.870000	24.123245	1.037366	
0.001250	0.259295	0.363893	98.518000	89.020000	24.174700	1.028191	
0.001250	0.256694	0.363825	98.594000	89.060000	24.036565	1.028247	
0.001250	0.258179	0.374378	98.498000	88.520000	24.722825	1.031301	
0.001250	0.247726	0.374069	98.942000	88.610000	24.242810	1.057500	
0.001250	0.253090	0.374589	98.598000	88.610000	24.204324	1.027702	
0.001250	0.249460	0.380875	98.676000	88.640000	24.044690	1.022931	
0.001250	0.247767	0.380393	98.704000	88.630000	24.063082	0.997480	
0.001250	0.256261	0.394401	98.080000	88.500000	24.352632	1.049463	
0.001250	0.246260	0.390665	98.506000	88.220000	23.772811	1.062898	
0.001250	0.251604	0.396479	98.258000	88.180000	23.947466	1.133693	
0.001250	0.248330	0.396885	98.368000	88.560000	23.861652	1.043924	
0.001250	0.246700	0.396865	98.346000	88.680000	24.139685	1.012732	
0.001250	0.260458	0.413065	97.514000	88.230000	24.013516	1.038816	
0.001250	0.246950	0.402381	98.170000	88.230000	23.990080	1.013002	
0.001250	0.251926	0.414332	97.916000	88.110000	24.164408	1.066294	
0.001250	0.248720	0.420306	97.978000	88.210000	23.891668	1.024110	
0.001250	0.246734	0.407581	98.060000	88.250000	24.162560	0.990746	
0.001250	0.259110	0.414437	97.696000	88.360000	23.375988	1.046855	
0.001250	0.242794	0.411368	98.372000	88.100000	23.428550	1.029981	
0.001250	0.245191	0.421571	98.196000	88.110000	23.255751	1.017457	
0.001250	0.240760	0.430260	98.370000	88.000000	23.340481	1.021857	
0.001250	0.239317	0.420961	98.334000	88.010000	23.622388	1.023287	
0.001250	0.258880	0.428142	97.358000	87.800000	23.705115	0.998455	
0.001250	0.242572	0.418322	97.992000	87.840000	23.831607	1.014449	
0.001250	0.244417	0.438678	97.880000	87.600000	23.618553	1.031731	
0.001250	0.240645	0.434808	98.080000	88.100000	23.779631	1.023877	
0.001250	0.238699	0.433916	98.082000	87.970000	24.325013	1.005739	
0.001250	0.263939	0.463656	96.710000	87.180000	23.460939	1.035804	
0.001250	0.250514	0.438103	97.250000	87.820000	23.248936	1.000228	
0.001250	0.251891	0.444017	97.182000	87.700000	23.368621	0.983314	
0.001250	0.245502	0.451655	97.458000	87.930000	23.122726	0.982085	
0.000125	0.240817	0.425684	97.598000	88.100000	23.909206	1.033309	
0.000125	0.288649	0.459180	95.474000	87.040000	23.495398	1.028451	
0.000125	0.262118	0.453687	96.590000	87.240000	23.544863	0.996813	
0.000125	0.258162	0.444459	96.818000	87.490000	23.743827	1.032016	
0.000125	0.249765	0.443784	97.280000	87.540000	23.676423	1.034095	
0.000125	0.267820	0.441739	96.296000	87.660000	23.821082	1.047650	
0.000125	0.254609	0.446233	96.918000	87.600000	23.519498	1.044622	
0.000125	0.246226	0.445643	97.274000	87.400000	23.541817	1.014203	
0.000125	0.247160	0.439626	97.254000	87.630000	23.447346	1.026555	
0.000125	0.243038	0.440023	97.500000	87.760000	23.617873	1.008282	
0.000125	0.258186	0.438440	96.652000	87.860000	23.719728	1.044437	
0.000125	0.247768	0.441588	97.180000	87.830000	23.686200	1.010919	
0.000125	0.242261	0.442268	97.420000	87.540000	23.791496	1.058484	
0.000125	0.242624	0.437946	97.440000	87.880000	23.854059	1.009365	
0.000125	0.240612	0.438693	97.564000	87.950000	24.052453	1.025124	
0.000125	0.253216	0.437321	96.884000	87.760000	24.106188	1.043907	
0.000125	0.236356	0.438427	97.692000	88.020000	23.571286	1.041188	
0.000125	0.233107	0.441624	97.912000	87.660000	23.729572	1.019914	
0.000125	0.234302	0.437522	97.824000	87.790000	23.760008	1.017329	
0.000125	0.233302	0.439064	97.884000	87.960000	23.710579	1.021286	
0.000125	0.245116	0.438689	97.302000	87.920000	23.907434	1.101213	
0.000125	0.230134	0.439443	97.934000	87.960000	23.571882	1.005682	
0.000125	0.227331	0.442948	98.164000	87.710000	23.703539	0.995748	
0.000125	0.228718	0.439074	98.078000	87.910000	23.594585	1.060224	
0.000125	0.228109	0.440887	98.120000	88.010000	23.643437	1.055617	
0.000125	0.239109	0.441084	97.598000	87.870000	23.543661	1.003720	
0.000125	0.237463	0.445909	97.494000	87.850000	23.594964	1.034635	
0.000125	0.233501	0.445030	97.724000	87.750000	23.612908	1.026718	
0.000125	0.233892	0.441627	97.752000	87.790000	23.539143	1.001752	
0.000125	0.232817	0.440833	97.788000	88.070000	24.153969	1.032506	
0.000125	0.242368	0.441063	97.276000	87.940000	23.815380	1.011588	
